id,target,arm,seed,lr,status,updates,optimizer_seconds,started_at,initial_hash,seconds,peak_allocated_bytes,peak_reserved_bytes,changed_tensors,trainable_parameters,frozen_unchanged,buffers_unchanged
T0_LATEST_61730_1e-04,T0,LATEST,61730,0.0001,COMPLETE,512,54.77133434676216,1789528977.970332,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,64.87803524898482,616999936,624951296,192,147456,True,True
T0_DROP_61730_1e-04,T0,DROP,61730,0.0001,COMPLETE,512,55.09379489594721,1789529043.912064,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,63.08356102000107,617917440,627048448,192,147456,True,True
T0_PATH_61730_1e-04,T0,PATH,61730,0.0001,COMPLETE,512,54.955389066948555,1789529108.0912056,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,62.83899329099222,617917440,627048448,192,147456,True,True
T0_POINT_61730_1e-04,T0,POINT,61730,0.0001,COMPLETE,512,55.11622170425835,1789529171.902156,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,62.92918494800688,617917440,627048448,192,147456,True,True
T0_LATEST_61730_3e-05,T0,LATEST,61730,3e-05,COMPLETE,512,55.02715108008124,1789529235.8090177,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,63.00745384901529,617917440,627048448,192,147456,True,True
T0_DROP_61730_3e-05,T0,DROP,61730,3e-05,COMPLETE,512,54.495852256717626,1789529299.8062525,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,62.27382654999383,617917440,627048448,192,147456,True,True
T0_PATH_61730_3e-05,T0,PATH,61730,3e-05,COMPLETE,512,54.95012404915178,1789529363.0507996,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,62.97280309899361,617917440,627048448,192,147456,True,True
T0_POINT_61730_3e-05,T0,POINT,61730,3e-05,COMPLETE,512,54.8410554920265,1789529427.128348,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,62.94167586500407,617917440,627048448,192,147456,True,True
T0_LATEST_61731_1e-04,T0,LATEST,61731,0.0001,COMPLETE,512,54.669273243926,1789529491.046914,afe009eef8afad18ba4784d2781f34d96e4dfd94215e75c6ddc1960d907732a2,62.55115957299131,617917440,627048448,192,147456,True,True
T0_DROP_61731_1e-04,T0,DROP,61731,0.0001,COMPLETE,512,54.90412382775685,1789529554.5609193,afe009eef8afad18ba4784d2781f34d96e4dfd94215e75c6ddc1960d907732a2,62.80837831000099,617917440,627048448,192,147456,True,True
T0_PATH_61731_1e-04,T0,PATH,61731,0.0001,COMPLETE,512,54.81161074296688,1789529618.3382382,afe009eef8afad18ba4784d2781f34d96e4dfd94215e75c6ddc1960d907732a2,62.762680877989624,617917440,627048448,192,147456,True,True
T0_POINT_61731_1e-04,T0,POINT,61731,0.0001,COMPLETE,512,55.13107505295193,1789529682.0705745,afe009eef8afad18ba4784d2781f34d96e4dfd94215e75c6ddc1960d907732a2,63.13296911600628,617917440,627048448,192,147456,True,True
T0_LATEST_61731_3e-05,T0,LATEST,61731,3e-05,COMPLETE,512,55.108224866649834,1789529746.1877751,afe009eef8afad18ba4784d2781f34d96e4dfd94215e75c6ddc1960d907732a2,62.9704548290174,617917440,627048448,192,147456,True,True
T0_DROP_61731_3e-05,T0,DROP,61731,3e-05,COMPLETE,512,54.65431381796952,1789529810.1212165,afe009eef8afad18ba4784d2781f34d96e4dfd94215e75c6ddc1960d907732a2,62.58878150500823,617917440,627048448,192,147456,True,True
T0_PATH_61731_3e-05,T0,PATH,61731,3e-05,COMPLETE,512,54.43062944136909,1789529873.6949282,afe009eef8afad18ba4784d2781f34d96e4dfd94215e75c6ddc1960d907732a2,62.45108959500794,617917440,627048448,192,147456,True,True
T0_POINT_61731_3e-05,T0,POINT,61731,3e-05,COMPLETE,512,55.08527671688353,1789529937.230633,afe009eef8afad18ba4784d2781f34d96e4dfd94215e75c6ddc1960d907732a2,62.95436998302466,617917440,627048448,192,147456,True,True
T1_LATEST_61730_1e-04,T1,LATEST,61730,0.0001,COMPLETE,512,55.14170444387128,1789530001.154384,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,65.33572845201707,617917440,627048448,192,147456,True,True
T1_DROP_61730_1e-04,T1,DROP,61730,0.0001,COMPLETE,512,54.648645856330404,1789530067.4713264,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,62.66488475800725,617917440,627048448,192,147456,True,True
T1_PATH_61730_1e-04,T1,PATH,61730,0.0001,COMPLETE,512,54.78448204748565,1789530131.2160316,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,62.75280985198333,617917440,627048448,192,147456,True,True
T1_POINT_61730_1e-04,T1,POINT,61730,0.0001,COMPLETE,512,54.857625399308745,1789530194.9349453,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,62.90410779201193,617917440,627048448,192,147456,True,True
T1_LATEST_61730_3e-05,T1,LATEST,61730,3e-05,COMPLETE,512,54.69243832185748,1789530258.896458,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,62.74332291301107,617917440,627048448,192,147456,True,True
T1_DROP_61730_3e-05,T1,DROP,61730,3e-05,COMPLETE,512,55.04425802783226,1789530322.6460342,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,63.065570865001064,617917440,627048448,192,147456,True,True
T1_PATH_61730_3e-05,T1,PATH,61730,3e-05,COMPLETE,512,55.10681590795866,1789530386.6689484,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,63.14695398102049,617917440,627048448,192,147456,True,True
T1_POINT_61730_3e-05,T1,POINT,61730,3e-05,COMPLETE,512,55.16468426695792,1789530450.786932,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,63.18950527100242,617917440,627048448,192,147456,True,True
T1_LATEST_61731_1e-04,T1,LATEST,61731,0.0001,COMPLETE,512,55.01924210082507,1789530514.958869,afe009eef8afad18ba4784d2781f34d96e4dfd94215e75c6ddc1960d907732a2,62.94823465900845,617917440,627048448,192,147456,True,True
T1_DROP_61731_1e-04,T1,DROP,61731,0.0001,COMPLETE,512,55.46079627997824,1789530578.8727355,afe009eef8afad18ba4784d2781f34d96e4dfd94215e75c6ddc1960d907732a2,63.568575171986595,617917440,627048448,192,147456,True,True
T1_PATH_61731_1e-04,T1,PATH,61731,0.0001,COMPLETE,512,55.81145008598105,1789530643.4500725,afe009eef8afad18ba4784d2781f34d96e4dfd94215e75c6ddc1960d907732a2,63.948846640996635,617917440,627048448,192,147456,True,True
T1_POINT_61731_1e-04,T1,POINT,61731,0.0001,COMPLETE,512,56.46460090929759,1789530708.3934543,afe009eef8afad18ba4784d2781f34d96e4dfd94215e75c6ddc1960d907732a2,64.65217365999706,617917440,627048448,192,147456,True,True
T1_LATEST_61731_3e-05,T1,LATEST,61731,3e-05,COMPLETE,512,56.37554390588775,1789530774.0399032,afe009eef8afad18ba4784d2781f34d96e4dfd94215e75c6ddc1960d907732a2,64.40088349499274,617917440,627048448,192,147456,True,True
T1_DROP_61731_3e-05,T1,DROP,61731,3e-05,COMPLETE,512,57.72718022571644,1789530839.4258127,afe009eef8afad18ba4784d2781f34d96e4dfd94215e75c6ddc1960d907732a2,66.11683479399653,617917440,627048448,192,147456,True,True
T1_PATH_61731_3e-05,T1,PATH,61731,3e-05,COMPLETE,512,56.03666600884753,1789530906.530051,afe009eef8afad18ba4784d2781f34d96e4dfd94215e75c6ddc1960d907732a2,64.39700850201189,617917440,627048448,192,147456,True,True
T1_POINT_61731_3e-05,T1,POINT,61731,3e-05,COMPLETE,512,56.80805154214613,1789530971.9148567,afe009eef8afad18ba4784d2781f34d96e4dfd94215e75c6ddc1960d907732a2,64.95759828199516,617917440,627048448,192,147456,True,True
T2_LATEST_61730_1e-04,T2,LATEST,61730,0.0001,COMPLETE,512,53.96040581987472,1789531037.8684173,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,64.00074567800038,617917440,627048448,192,147456,True,True
T2_DROP_61730_1e-04,T2,DROP,61730,0.0001,COMPLETE,512,54.906068825075636,1789531102.8611212,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,63.05501996399835,617917440,627048448,192,147456,True,True
T2_PATH_61730_1e-04,T2,PATH,61730,0.0001,COMPLETE,512,55.52837847897899,1789531167.0161493,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,63.76178760800394,617917440,627048448,192,147456,True,True
T2_POINT_61730_1e-04,T2,POINT,61730,0.0001,COMPLETE,512,55.43556650701794,1789531231.782908,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,63.75967174797552,617917440,627048448,192,147456,True,True
T2_LATEST_61730_3e-05,T2,LATEST,61730,3e-05,COMPLETE,512,55.17246378486743,1789531296.6212127,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,63.347749706998,617917440,627048448,192,147456,True,True
T2_DROP_61730_3e-05,T2,DROP,61730,3e-05,COMPLETE,512,55.27802834523027,1789531360.9510465,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,63.52261644299142,617917440,627048448,192,147456,True,True
T2_PATH_61730_3e-05,T2,PATH,61730,3e-05,COMPLETE,512,55.113437827152666,1789531425.4776187,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,63.16737568800454,617917440,627048448,192,147456,True,True
T2_POINT_61730_3e-05,T2,POINT,61730,3e-05,COMPLETE,512,55.04634134520893,1789531489.6127622,0c4670839789117dae52681321711ab1759a60115222ef5bb714bda085a7ea36,63.23580164500163,617917440,627048448,192,147456,True,True
T2_LATEST_61731_1e-04,T2,LATEST,61731,0.0001,COMPLETE,512,57.31950646516634,1789531553.8278077,afe009eef8afad18ba4784d2781f34d96e4dfd94215e75c6ddc1960d907732a2,65.79750694701215,617917440,627048448,192,147456,True,True
T2_DROP_61731_1e-04,T2,DROP,61731,0.0001,COMPLETE,512,55.4933508929098,1789531620.7432983,afe009eef8afad18ba4784d2781f34d96e4dfd94215e75c6ddc1960d907732a2,63.79335850698408,617917440,627048448,192,147456,True,True
