id,target,arm,seed,lr,updates,optimizer_seconds,fit_seconds,peak_allocated_bytes,peak_reserved_bytes,trainable_parameters
T0_LATEST_61730_1e-04,T0,LATEST,61730,0.0001,512,54.77133434676216,64.87803524898482,616999936,624951296,147456
T0_DROP_61730_1e-04,T0,DROP,61730,0.0001,512,55.09379489594721,63.08356102000107,617917440,627048448,147456
T0_PATH_61730_1e-04,T0,PATH,61730,0.0001,512,54.955389066948555,62.83899329099222,617917440,627048448,147456
T0_POINT_61730_1e-04,T0,POINT,61730,0.0001,512,55.11622170425835,62.92918494800688,617917440,627048448,147456
T0_LATEST_61730_3e-05,T0,LATEST,61730,3e-05,512,55.02715108008124,63.00745384901529,617917440,627048448,147456
T0_DROP_61730_3e-05,T0,DROP,61730,3e-05,512,54.495852256717626,62.27382654999383,617917440,627048448,147456
T0_PATH_61730_3e-05,T0,PATH,61730,3e-05,512,54.95012404915178,62.97280309899361,617917440,627048448,147456
T0_POINT_61730_3e-05,T0,POINT,61730,3e-05,512,54.8410554920265,62.94167586500407,617917440,627048448,147456
T0_LATEST_61731_1e-04,T0,LATEST,61731,0.0001,512,54.669273243926,62.55115957299131,617917440,627048448,147456
T0_DROP_61731_1e-04,T0,DROP,61731,0.0001,512,54.90412382775685,62.80837831000099,617917440,627048448,147456
T0_PATH_61731_1e-04,T0,PATH,61731,0.0001,512,54.81161074296688,62.762680877989624,617917440,627048448,147456
T0_POINT_61731_1e-04,T0,POINT,61731,0.0001,512,55.13107505295193,63.13296911600628,617917440,627048448,147456
T0_LATEST_61731_3e-05,T0,LATEST,61731,3e-05,512,55.108224866649834,62.9704548290174,617917440,627048448,147456
T0_DROP_61731_3e-05,T0,DROP,61731,3e-05,512,54.65431381796952,62.58878150500823,617917440,627048448,147456
T0_PATH_61731_3e-05,T0,PATH,61731,3e-05,512,54.43062944136909,62.45108959500794,617917440,627048448,147456
T0_POINT_61731_3e-05,T0,POINT,61731,3e-05,512,55.08527671688353,62.95436998302466,617917440,627048448,147456
T1_LATEST_61730_1e-04,T1,LATEST,61730,0.0001,512,55.14170444387128,65.33572845201707,617917440,627048448,147456
T1_DROP_61730_1e-04,T1,DROP,61730,0.0001,512,54.648645856330404,62.66488475800725,617917440,627048448,147456
T1_PATH_61730_1e-04,T1,PATH,61730,0.0001,512,54.78448204748565,62.75280985198333,617917440,627048448,147456
T1_POINT_61730_1e-04,T1,POINT,61730,0.0001,512,54.857625399308745,62.90410779201193,617917440,627048448,147456
T1_LATEST_61730_3e-05,T1,LATEST,61730,3e-05,512,54.69243832185748,62.74332291301107,617917440,627048448,147456
T1_DROP_61730_3e-05,T1,DROP,61730,3e-05,512,55.04425802783226,63.065570865001064,617917440,627048448,147456
T1_PATH_61730_3e-05,T1,PATH,61730,3e-05,512,55.10681590795866,63.14695398102049,617917440,627048448,147456
T1_POINT_61730_3e-05,T1,POINT,61730,3e-05,512,55.16468426695792,63.18950527100242,617917440,627048448,147456
T1_LATEST_61731_1e-04,T1,LATEST,61731,0.0001,512,55.01924210082507,62.94823465900845,617917440,627048448,147456
T1_DROP_61731_1e-04,T1,DROP,61731,0.0001,512,55.46079627997824,63.568575171986595,617917440,627048448,147456
T1_PATH_61731_1e-04,T1,PATH,61731,0.0001,512,55.81145008598105,63.948846640996635,617917440,627048448,147456
T1_POINT_61731_1e-04,T1,POINT,61731,0.0001,512,56.46460090929759,64.65217365999706,617917440,627048448,147456
T1_LATEST_61731_3e-05,T1,LATEST,61731,3e-05,512,56.37554390588775,64.40088349499274,617917440,627048448,147456
T1_DROP_61731_3e-05,T1,DROP,61731,3e-05,512,57.72718022571644,66.11683479399653,617917440,627048448,147456
T1_PATH_61731_3e-05,T1,PATH,61731,3e-05,512,56.03666600884753,64.39700850201189,617917440,627048448,147456
T1_POINT_61731_3e-05,T1,POINT,61731,3e-05,512,56.80805154214613,64.95759828199516,617917440,627048448,147456
T2_LATEST_61730_1e-04,T2,LATEST,61730,0.0001,512,53.96040581987472,64.00074567800038,617917440,627048448,147456
T2_DROP_61730_1e-04,T2,DROP,61730,0.0001,512,54.906068825075636,63.05501996399835,617917440,627048448,147456
T2_PATH_61730_1e-04,T2,PATH,61730,0.0001,512,55.52837847897899,63.76178760800394,617917440,627048448,147456
T2_POINT_61730_1e-04,T2,POINT,61730,0.0001,512,55.43556650701794,63.75967174797552,617917440,627048448,147456
T2_LATEST_61730_3e-05,T2,LATEST,61730,3e-05,512,55.17246378486743,63.347749706998,617917440,627048448,147456
T2_DROP_61730_3e-05,T2,DROP,61730,3e-05,512,55.27802834523027,63.52261644299142,617917440,627048448,147456
T2_PATH_61730_3e-05,T2,PATH,61730,3e-05,512,55.113437827152666,63.16737568800454,617917440,627048448,147456
T2_POINT_61730_3e-05,T2,POINT,61730,3e-05,512,55.04634134520893,63.23580164500163,617917440,627048448,147456
T2_LATEST_61731_1e-04,T2,LATEST,61731,0.0001,512,57.31950646516634,65.79750694701215,617917440,627048448,147456
T2_DROP_61731_1e-04,T2,DROP,61731,0.0001,512,55.4933508929098,63.79335850698408,617917440,627048448,147456
T2_PATH_61731_1e-04,T2,PATH,61731,0.0001,512,55.156192145776004,63.58209394500591,617917440,627048448,147456
T2_POINT_61731_1e-04,T2,POINT,61731,0.0001,512,56.89934398807236,65.12817043400719,617917440,627048448,147456
T2_LATEST_61731_3e-05,T2,LATEST,61731,3e-05,512,55.475981325580506,63.80768609201186,617917440,627048448,147456
T2_DROP_61731_3e-05,T2,DROP,61731,3e-05,512,55.2598899557197,63.45543907699175,617917440,627048448,147456
T2_PATH_61731_3e-05,T2,PATH,61731,3e-05,512,55.19504094324657,63.54129134499817,617917440,627048448,147456
T2_POINT_61731_3e-05,T2,POINT,61731,3e-05,512,55.09693254891317,63.367382961005205,617917440,627048448,147456
