target,arm,seed,policy,variant,case,id,date,month,prediction,prediction_index,primary,raw_2pinball,RMSE,MAE,coverage80,width80
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S0,T0_TEST_1001,2024-10-01,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,0,0.09498428400778075,40951.26813647073,78183.058703463,62420.56141493054,0.8333333333333334,216642.970703125
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S1,T0_TEST_1001,2024-10-01,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,0,0.10682076223676165,46054.41544983879,88677.09517828887,67611.12044270833,0.7916666666666666,239843.3662109375
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S2,T0_TEST_1001,2024-10-01,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,0,0.13190577899517217,56869.501947699646,122840.72139542479,82350.51453993055,0.7916666666666666,236826.03580729166
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S3,T0_TEST_1001,2024-10-01,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,0,0.2178307945231639,93914.98149491567,213159.62715839772,137800.39832899303,0.7083333333333334,279410.7288411458
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S0,T0_TEST_1002,2024-10-02,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,1,0.13248616974968624,57119.730052910054,126104.30784938057,88208.98394097223,0.7083333333333334,258008.18001302084
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S1,T0_TEST_1002,2024-10-02,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,1,0.14858213054059302,64059.29919477513,142352.55144422647,91888.06293402777,0.6666666666666666,210225.396484375
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S2,T0_TEST_1002,2024-10-02,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,1,0.13556669688203693,58447.86021587715,124760.10626846715,85815.29253472222,0.7083333333333334,231246.43619791666
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S3,T0_TEST_1002,2024-10-02,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,1,0.11293067929885268,48688.628620101685,103363.70707938698,71158.79188368055,0.8333333333333334,214111.56705729166
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S0,T0_TEST_1003,2024-10-03,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,2,0.12361341199644008,53294.353195477845,111158.94287970988,80193.82682291667,0.7916666666666666,209592.98958333334
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S1,T0_TEST_1003,2024-10-03,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,2,0.21206167604585002,91427.69930772569,204745.00809758573,138815.50965711806,0.625,264468.2610677083
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S2,T0_TEST_1003,2024-10-03,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,2,0.12730342487113885,54885.25539827215,113890.29287968055,84979.73177083333,0.8333333333333334,232343.296875
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S3,T0_TEST_1003,2024-10-03,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,2,0.10707841528937319,46165.499292328044,92506.19929631925,69650.07834201389,0.8333333333333334,204268.40462239584
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S0,T0_TEST_1004,2024-10-04,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,3,0.08574711074977907,36968.778160755624,89087.40993725344,50017.970269097226,0.9166666666666666,190590.01497395834
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S1,T0_TEST_1004,2024-10-04,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,3,0.11927687669560873,51424.711056857646,123151.54145817285,72930.58745659722,0.875,203740.09928385416
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S2,T0_TEST_1004,2024-10-04,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,3,0.09962078798064124,42950.23795965609,101619.86361512054,59735.0173611111,0.8333333333333334,187082.72200520834
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S3,T0_TEST_1004,2024-10-04,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,3,0.08826372386108376,38053.78395295967,90378.48971777242,51241.01540798612,0.8333333333333334,182298.01692708334
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S0,T0_TEST_1005,2024-10-05,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,4,0.12296504585681835,53014.81836598876,114867.60333334505,76697.35828993056,0.625,164245.11002604166
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S1,T0_TEST_1005,2024-10-05,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,4,0.14087779600463107,60737.67317325977,123451.85066667823,90291.21072048612,0.625,176341.10611979166
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S2,T0_TEST_1005,2024-10-05,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,4,0.133419378338106,57522.07108785963,119220.04364839352,85064.9223090278,0.6666666666666666,185437.88509114584
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S3,T0_TEST_1005,2024-10-05,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,4,0.1547723367408327,66728.12800760582,139588.24176366752,97020.3930121528,0.625,187793.13346354166
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S0,T0_TEST_1006,2024-10-06,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,5,0.14100105748886316,60790.81579726769,159750.15662543473,85963.50889756945,0.8333333333333334,217928.248046875
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S1,T0_TEST_1006,2024-10-06,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,5,0.11587138168786794,49956.47512018436,130404.55174185919,68174.21202256945,0.875,237925.77506510416
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S2,T0_TEST_1006,2024-10-06,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,5,0.23200889391138163,100027.68904203868,237139.7758809696,140771.0162760417,0.6666666666666666,231393.1142578125
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S3,T0_TEST_1006,2024-10-06,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,5,0.3274357172429868,141169.7523895296,315760.4741648704,184413.43109809028,0.6666666666666666,240403.43815104166
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S0,T0_TEST_1007,2024-10-07,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,6,0.11074614215104138,47746.7931635458,124148.55535422343,68651.86686197917,0.875,224683.27799479166
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S1,T0_TEST_1007,2024-10-07,10,.cache/forecast_path_structure_v1_20260916/predictions/T0_TEST_FROZEN_WEATHER_0.npz,6,0.11798792304311743,50868.9950540468,127182.95677023355,79766.96831597223,0.9166666666666666,249567.61263020834
