id,at
T0_LATEST_61730_1e-04,1789528977.9703593
T0_DROP_61730_1e-04,1789529043.9122953
T0_PATH_61730_1e-04,1789529108.091378
T0_POINT_61730_1e-04,1789529171.9023786
T0_LATEST_61730_3e-05,1789529235.8096235
T0_DROP_61730_3e-05,1789529299.8064415
T0_PATH_61730_3e-05,1789529363.0514948
T0_POINT_61730_3e-05,1789529427.128546
T0_LATEST_61731_1e-04,1789529491.0471032
T0_DROP_61731_1e-04,1789529554.5611455
T0_PATH_61731_1e-04,1789529618.3386285
T0_POINT_61731_1e-04,1789529682.070748
T0_LATEST_61731_3e-05,1789529746.1882632
T0_DROP_61731_3e-05,1789529810.1213255
T0_PATH_61731_3e-05,1789529873.6951778
T0_POINT_61731_3e-05,1789529937.2308996
T1_LATEST_61730_1e-04,1789530001.1545212
T1_DROP_61730_1e-04,1789530067.471903
T1_PATH_61730_1e-04,1789530131.216247
T1_POINT_61730_1e-04,1789530194.93513
T1_LATEST_61730_3e-05,1789530258.8967192
T1_DROP_61730_3e-05,1789530322.646324
T1_PATH_61730_3e-05,1789530386.669076
T1_POINT_61730_3e-05,1789530450.787045
T1_LATEST_61731_1e-04,1789530514.9591646
T1_DROP_61731_1e-04,1789530578.8729255
T1_PATH_61731_1e-04,1789530643.4501972
T1_POINT_61731_1e-04,1789530708.393574
T1_LATEST_61731_3e-05,1789530774.040109
T1_DROP_61731_3e-05,1789530839.4259145
T1_PATH_61731_3e-05,1789530906.530236
T1_POINT_61731_3e-05,1789530971.9152682
T2_LATEST_61730_1e-04,1789531037.8687847
T2_DROP_61730_1e-04,1789531102.8616042
T2_PATH_61730_1e-04,1789531167.0164433
T2_POINT_61730_1e-04,1789531231.7831469
T2_LATEST_61730_3e-05,1789531296.6213725
T2_DROP_61730_3e-05,1789531360.9517334
T2_PATH_61730_3e-05,1789531425.4778857
T2_POINT_61730_3e-05,1789531489.6129062
T2_LATEST_61731_1e-04,1789531553.8280106
T2_DROP_61731_1e-04,1789531620.7434444
T2_PATH_61731_1e-04,1789531685.633896
T2_POINT_61731_1e-04,1789531750.199239
T2_LATEST_61731_3e-05,1789531816.3145149
T2_DROP_61731_3e-05,1789531881.2254536
T2_PATH_61731_3e-05,1789531945.6579475
T2_POINT_61731_3e-05,1789532010.3248115
