scope,policy,variant,case,method,baseline,method_score,baseline_score,gain_percent,ci_low,ci_high,bootstrap_seed,replicates
ALL,SELECTED,RAW,S3,LATEST,FROZEN_WEATHER,0.11891945433110836,0.1186972442851072,-0.18720741777915237,-1.9523817169317057,1.3156304941638814,61916,2000
ALL,SELECTED,RAW,MEAN,LATEST,FROZEN_WEATHER,0.10821470506862917,0.10869631389673519,0.4430774244686584,-1.534178877888002,2.2655917790746933,61916,2000
ALL,SELECTED,RAW,WORST,LATEST,FROZEN_WEATHER,0.1189842189892331,0.11934717730591728,0.30411973276403564,-1.4812264131206145,1.4941833242666605,61916,2000
ADDITIONAL,SELECTED,RAW,S0,LATEST,FROZEN_WEATHER,0.10604522850244572,0.10508823711015489,-0.9106551014722019,-3.8231234368965104,1.7726816137968062,61916,2000
ADDITIONAL,SELECTED,RAW,S1,LATEST,FROZEN_WEATHER,0.11127454873925627,0.11187694894075766,0.5384489005151345,-2.061872820758008,3.113116177105454,61916,2000
ADDITIONAL,SELECTED,RAW,S2,LATEST,FROZEN_WEATHER,0.11492809175445215,0.11478491391788566,-0.12473576159051435,-2.7822677470985937,2.3160250750621767,61916,2000
ADDITIONAL,SELECTED,RAW,S3,LATEST,FROZEN_WEATHER,0.12170508587514564,0.12064575554716095,-0.8780502249584697,-3.3650252510665184,1.280400070095224,61916,2000
ADDITIONAL,SELECTED,RAW,MEAN,LATEST,FROZEN_WEATHER,0.11348823871782493,0.1130989638789898,-0.34418957122510846,-3.00468290206449,2.0177954979717327,61916,2000
ADDITIONAL,SELECTED,RAW,WORST,LATEST,FROZEN_WEATHER,0.12180223286233277,0.12162065507837606,-0.14929847552596476,-2.749456453574507,1.6043347845117792,61916,2000
T0,SELECTED,RAW,S0,DROP,FROZEN_WEATHER,0.08375647541384111,0.08523022827887197,1.7291433975851442,0.14999583220012652,3.454391756395499,61916,2000
T0,SELECTED,RAW,S1,DROP,FROZEN_WEATHER,0.09558421311897922,0.09762468145299348,2.0901152286952707,0.4327533282313197,3.768106856175751,61916,2000
T0,SELECTED,RAW,S2,DROP,FROZEN_WEATHER,0.09997903697565252,0.10190892423603877,1.8937372510343562,0.010616207961454509,3.57235848142906,61916,2000
T0,SELECTED,RAW,S3,DROP,FROZEN_WEATHER,0.11359177980067817,0.11480022176099972,1.0526477578043187,-0.3115343200741864,2.492106789114787,61916,2000
T0,SELECTED,RAW,MEAN,DROP,FROZEN_WEATHER,0.09822787632728776,0.09989101393222599,1.6649521708395496,0.2784339805271854,3.0405069602625736,61916,2000
T0,SELECTED,RAW,WORST,DROP,FROZEN_WEATHER,0.11359177980067817,0.11480022176099972,1.0526477578043187,-0.3115343200741864,2.492106789114787,61916,2000
T1,SELECTED,RAW,S0,DROP,FROZEN_WEATHER,0.08040819629920347,0.08161036915703702,1.4730638646178649,0.3661122689928762,2.5217819065576395,61916,2000
T1,SELECTED,RAW,S1,DROP,FROZEN_WEATHER,0.09145071700616475,0.0940109499977998,2.7233348792826435,1.4215329618579102,3.89254275214847,61916,2000
T1,SELECTED,RAW,S2,DROP,FROZEN_WEATHER,0.09395329461917126,0.09604120648989342,2.173975054074184,0.3789546264118143,3.541908302966845,61916,2000
T1,SELECTED,RAW,S3,DROP,FROZEN_WEATHER,0.10677584175269031,0.10971268881087423,2.6768526867904407,1.618192803140604,3.9773411878728187,61916,2000
T1,SELECTED,RAW,MEAN,DROP,FROZEN_WEATHER,0.09314701241930745,0.09534380361390113,2.304073375853222,1.2751093289294517,3.282693953923365,61916,2000
T1,SELECTED,RAW,WORST,DROP,FROZEN_WEATHER,0.10677584175269031,0.10971268881087423,2.6768526867904407,1.618192803140604,3.965229308876602,61916,2000
T2,SELECTED,RAW,S0,DROP,FROZEN_WEATHER,0.14031740498072315,0.12856610506327273,-9.140278389601294,-16.633267934853333,-1.583663346363859,61916,2000
T2,SELECTED,RAW,S1,DROP,FROZEN_WEATHER,0.13830205299254156,0.12974294788371551,-6.596971356391021,-14.08783938694614,1.0330885654049253,61916,2000
T2,SELECTED,RAW,S2,DROP,FROZEN_WEATHER,0.14382893556760123,0.1335286213458779,-7.713937370058315,-15.217520975170265,-0.49772169454445614,61916,2000
T2,SELECTED,RAW,S3,DROP,FROZEN_WEATHER,0.14489319057658193,0.13157882228344767,-10.118929522299865,-18.005724282869664,-2.6100297587705263,61916,2000
T2,SELECTED,RAW,MEAN,DROP,FROZEN_WEATHER,0.14183539602936196,0.13085412414407846,-8.39199525205063,-15.986677539046742,-0.9514472739409536,61916,2000
T2,SELECTED,RAW,WORST,DROP,FROZEN_WEATHER,0.14489319057658193,0.1335286213458779,-8.510961257711557,-16.57172035510513,-1.4641285464555982,61916,2000
ALL,SELECTED,RAW,S0,DROP,FROZEN_WEATHER,0.10149402556458924,0.09846890083306059,-3.0721625873099745,-7.27384678458946,0.7665093602366755,61916,2000
