target,seed,policy,variant,case,method,baseline,method_score,baseline_score,gain_percent
T0,61730,SELECTED,RAW,S0,PATH,LATEST,0.08359340273956965,0.08299486785830897,-0.7211709551517351
T0,61730,SELECTED,RAW,S1,PATH,LATEST,0.09392404705590093,0.09507890036215391,1.2146262754976784
T0,61730,SELECTED,RAW,S2,PATH,LATEST,0.0979920142821443,0.09930429781536114,1.3214770781188174
T0,61730,SELECTED,RAW,S3,PATH,LATEST,0.10940860685210055,0.11313792220977215,3.296255830787639
T0,61730,SELECTED,RAW,MEAN,PATH,LATEST,0.09622951773242885,0.09762899706139905,1.4334668705958933
T0,61730,SELECTED,RAW,WORST,PATH,LATEST,0.10940860685210055,0.11313792220977215,3.296255830787639
T0,61731,SELECTED,RAW,S0,PATH,LATEST,0.08409706303039664,0.08265464943671474,-1.7451088396258887
T0,61731,SELECTED,RAW,S1,PATH,LATEST,0.09395413848406911,0.09513199580108157,1.2381295137288302
T0,61731,SELECTED,RAW,S2,PATH,LATEST,0.09810094034315647,0.09948000840221308,1.3862765807988457
T0,61731,SELECTED,RAW,S3,PATH,LATEST,0.10948730773368391,0.11355846027629539,3.585071982048796
T0,61731,SELECTED,RAW,MEAN,PATH,LATEST,0.09640986239782653,0.09770627847907619,1.3268503328854984
T0,61731,SELECTED,RAW,WORST,PATH,LATEST,0.10948730773368391,0.11355846027629539,3.585071982048796
T1,61730,SELECTED,RAW,S0,PATH,LATEST,0.08003494645568612,0.08003966753822364,0.005898428470187099
T1,61730,SELECTED,RAW,S1,PATH,LATEST,0.08968591745505856,0.09166868744161515,2.162974121146254
T1,61730,SELECTED,RAW,S2,PATH,LATEST,0.09216225015533147,0.09386927353727643,1.8185113377564253
T1,61730,SELECTED,RAW,S3,PATH,LATEST,0.10337383635066709,0.10758898333403849,3.917823974862148
T1,61730,SELECTED,RAW,MEAN,PATH,LATEST,0.09131423760418582,0.09329165296278842,2.1196058766279346
T1,61730,SELECTED,RAW,WORST,PATH,LATEST,0.10337383635066709,0.10758898333403849,3.917823974862148
T1,61731,SELECTED,RAW,S0,PATH,LATEST,0.07978432958954362,0.0799722559121186,0.2349893978000116
T1,61731,SELECTED,RAW,S1,PATH,LATEST,0.08964203157783701,0.09180513334896137,2.3561882568180286
T1,61731,SELECTED,RAW,S2,PATH,LATEST,0.09220566947637301,0.09404771836242988,1.9586321902655812
T1,61731,SELECTED,RAW,S3,PATH,LATEST,0.10338647335233948,0.10782457299719034,4.1160373015959
T1,61731,SELECTED,RAW,MEAN,PATH,LATEST,0.09125462599902327,0.09341242015517505,2.3099649410295626
T1,61731,SELECTED,RAW,WORST,PATH,LATEST,0.10338647335233948,0.10782457299719034,4.1160373015959
T2,61730,SELECTED,RAW,S0,PATH,LATEST,0.13787724938795423,0.13095956077442364,-5.282308960585347
T2,61730,SELECTED,RAW,S1,PATH,LATEST,0.13633785094444265,0.12977165652298137,-5.059806276186717
T2,61730,SELECTED,RAW,S2,PATH,LATEST,0.14030621912081892,0.13461972164032743,-4.22411917897475
T2,61730,SELECTED,RAW,S3,PATH,LATEST,0.1393433223053256,0.13438929934448413,-3.686322486243989
T2,61730,SELECTED,RAW,MEAN,PATH,LATEST,0.13846616043963533,0.13243505957055413,-4.5540062341786225
T2,61730,SELECTED,RAW,WORST,PATH,LATEST,0.14030621912081892,0.13461972164032743,-4.22411917897475
T2,61731,SELECTED,RAW,S0,PATH,LATEST,0.1401759237809326,0.13320942978501704,-5.229730363052069
T2,61731,SELECTED,RAW,S1,PATH,LATEST,0.13827207763950278,0.13185271764346718,-4.868583758276185
T2,61731,SELECTED,RAW,S2,PATH,LATEST,0.14232695426612835,0.1371756534777748,-3.755258792470896
T2,61731,SELECTED,RAW,S3,PATH,LATEST,0.14152581861018512,0.13701748782486964,-3.290332392517556
T2,61731,SELECTED,RAW,MEAN,PATH,LATEST,0.1405751935741872,0.13481382218278218,-4.273576179446718
