role,origin,exclusive_label_end,exclusive_calendar_boundary,reason,applies_to
TRAIN,2024-06-29T08:00:00+00:00,2024-06-30T08:00:00+00:00,2024-06-30T00:00:00+00:00,HORIZON_EXCEEDS_ROLE_CALENDAR_BOUNDARY,"T0,T1,T2"
V_SELECT,2024-07-30T08:00:00+00:00,2024-07-31T08:00:00+00:00,2024-07-31T00:00:00+00:00,HORIZON_EXCEEDS_ROLE_CALENDAR_BOUNDARY,"T0,T1,T2"
V_CALIBRATE,2024-08-30T08:00:00+00:00,2024-08-31T08:00:00+00:00,2024-08-31T00:00:00+00:00,HORIZON_EXCEEDS_ROLE_CALENDAR_BOUNDARY,"T0,T1,T2"
TEST,2024-12-30T08:00:00+00:00,2024-12-31T08:00:00+00:00,2024-12-31T00:00:00+00:00,HORIZON_EXCEEDS_ROLE_CALENDAR_BOUNDARY,"T0,T1,T2"
