target,id,date,RMSE,MAE
T0,T0_TEST_1001,2024-10-01,323449.15506676247,137881.94485134547
T0,T0_TEST_1002,2024-10-02,214100.65507821104,131770.83441840275
T0,T0_TEST_1003,2024-10-03,258954.6195169455,148784.72407362194
T0,T0_TEST_1004,2024-10-04,92483.73265792406,48333.333251953125
T0,T0_TEST_1005,2024-10-05,120035.20028535365,60902.7781032986
T0,T0_TEST_1006,2024-10-06,137399.47691761403,82395.8315972222
T0,T0_TEST_1007,2024-10-07,118522.80562222814,72951.38764105903
T0,T0_TEST_1008,2024-10-08,103705.79021238409,66979.1684027778
T0,T0_TEST_1009,2024-10-09,178459.36126481846,111041.66948784725
T0,T0_TEST_1010,2024-10-10,183884.27289388533,117083.33218044705
T0,T0_TEST_1011,2024-10-11,130210.16704125493,65624.99837239584
T0,T0_TEST_1012,2024-10-12,234445.69838777432,153159.72306315103
T0,T0_TEST_1013,2024-10-13,197906.35998200087,111284.7240125868
T0,T0_TEST_1014,2024-10-14,237231.08748470744,157847.22086588544
T0,T0_TEST_1015,2024-10-15,346632.819620722,190868.0553148058
T0,T0_TEST_1016,2024-10-16,278759.30208285694,160468.75227864584
T0,T0_TEST_1017,2024-10-17,224712.8724056008,117812.49918619792
T0,T0_TEST_1018,2024-10-18,208565.09827109886,114149.30523003473
T0,T0_TEST_1019,2024-10-19,230666.93364710434,126666.666788737
T0,T0_TEST_1020,2024-10-20,175592.9139900131,91736.111328125
T0,T0_TEST_1021,2024-10-21,161476.92405683684,101840.27398003473
T0,T0_TEST_1022,2024-10-22,334510.7348322722,195295.13975694447
T0,T0_TEST_1023,2024-10-23,298676.68221498514,175295.1376953125
T0,T0_TEST_1024,2024-10-24,346767.823577398,198315.97005208334
T0,T0_TEST_1025,2024-10-25,205933.90754819187,116510.41818576388
T0,T0_TEST_1110,2024-11-10,73636.52607481631,64791.66710069444
T0,T0_TEST_1111,2024-11-11,233273.806179456,122430.55729166667
T0,T0_TEST_1112,2024-11-12,103663.36253481338,68159.71647135419
T0,T0_TEST_1113,2024-11-13,196039.71153013172,116145.83593749999
T0,T0_TEST_1114,2024-11-14,91922.46449926679,43645.83230251735
T0,T0_TEST_1115,2024-11-15,60590.74880229302,40069.44791666668
T0,T0_TEST_1116,2024-11-16,104095.25453884024,67291.6675347222
T0,T0_TEST_1117,2024-11-17,251031.25957710345,142534.7213541667
T0,T0_TEST_1118,2024-11-18,132206.9389912268,89756.94504123264
T0,T0_TEST_1119,2024-11-19,215767.8338152284,123506.94562360975
T0,T0_TEST_1120,2024-11-20,81100.47113195018,61215.28342013887
T0,T0_TEST_1121,2024-11-21,69205.55899098612,43541.664496527774
T0,T0_TEST_1122,2024-11-22,70648.86645554022,47708.338541666664
T0,T0_TEST_1123,2024-11-23,72542.08952466419,60798.60850694444
T0,T0_TEST_1124,2024-11-24,197771.9528155025,158645.83506944447
T0,T0_TEST_1125,2024-11-25,128292.06729383835,106458.33485243056
T0,T0_TEST_1126,2024-11-26,81779.25499802842,62986.108072916664
T0,T0_TEST_1127,2024-11-27,116636.53193402733,71701.39409722223
T0,T0_TEST_1128,2024-11-28,318582.7393232487,184861.10416666666
T0,T0_TEST_1129,2024-11-29,66441.67960638805,47951.39095052082
T0,T0_TEST_1130,2024-11-30,113474.04933310702,80243.05623372394
T0,T0_TEST_1201,2024-12-01,76508.55400122893,54895.83355034722
T0,T0_TEST_1202,2024-12-02,189275.08456291302,105902.77590772843
T0,T0_TEST_1203,2024-12-03,124336.43286974776,85138.8882378472
T0,T0_TEST_1204,2024-12-04,91576.81970232812,60868.05544704862
T0,T0_TEST_1205,2024-12-05,153248.76765825343,100138.88802083333
