target,arm,seed,policy,variant,case,n_origins,primary,raw_2pinball,RMSE,MAE,coverage80,width80
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S0,75,0.08523022827887197,36745.93084572586,90388.73431851446,53154.53049189814,0.7683333333333333,141970.61422743055
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S1,75,0.09762468145299348,42089.641972682424,102747.08037878603,60308.65023726852,0.7088888888888889,144134.11920138888
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S2,75,0.10190892423603877,43936.73885616112,106787.39281661637,62320.47483072915,0.7038888888888889,142901.4455512153
T0,FROZEN_WEATHER,-1,SELECTED,RAW,S3,75,0.11480022176099974,49494.658117082785,125835.15691019427,69263.68456597222,0.6866666666666665,146314.96173177083
T0,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S0,75,0.0896589137559294,38655.30236289407,93534.14230071224,55728.25956307872,0.9061111111111111,197055.85901909723
T0,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S1,75,0.0980543608282096,42274.892780129114,103419.43433498731,60506.28339409723,0.8694444444444444,199219.36399305557
T0,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S2,75,0.10250785075378258,44194.95842035935,107686.45318946123,62843.90037471067,0.8538888888888888,197986.69034288192
T0,FROZEN_WEATHER,-1,SELECTED,CALIBRATED,S3,75,0.11422084182876524,49244.86581506489,126464.49740324008,69266.91244791666,0.846111111111111,201400.20652343752
T0,FROZEN_HISTORY,-1,SELECTED,RAW,S0,75,0.12216931277564377,52671.748150609026,138602.04115283804,76214.63225694445,0.7333333333333333,201995.1225
T0,FROZEN_HISTORY,-1,SELECTED,RAW,S1,75,0.12216931277564377,52671.748150609026,138602.04115283804,76214.63225694445,0.7333333333333333,201995.1225
T0,FROZEN_HISTORY,-1,SELECTED,RAW,S2,75,0.12216931277564377,52671.748150609026,138602.04115283804,76214.63225694445,0.7333333333333333,201995.1225
T0,FROZEN_HISTORY,-1,SELECTED,RAW,S3,75,0.12216931277564377,52671.748150609026,138602.04115283804,76214.63225694445,0.7333333333333333,201995.1225
T0,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S0,75,0.1223770785573966,52761.323729632655,138584.0601300332,75556.53083912037,0.8477777777777777,245722.83083333328
T0,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S1,75,0.1223770785573966,52761.323729632655,138584.0601300332,75556.53083912037,0.8477777777777777,245722.83083333328
T0,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S2,75,0.1223770785573966,52761.323729632655,138584.0601300332,75556.53083912037,0.8477777777777777,245722.83083333328
T0,FROZEN_HISTORY,-1,SELECTED,CALIBRATED,S3,75,0.1223770785573966,52761.323729632655,138584.0601300332,75556.53083912037,0.8477777777777777,245722.83083333328
T1,FROZEN_WEATHER,-1,SELECTED,RAW,S0,75,0.08161036915703702,46527.20199511409,111414.20747779656,67767.16838831018,0.8066666666666666,196195.69109375
T1,FROZEN_WEATHER,-1,SELECTED,RAW,S1,75,0.0940109499977998,53596.944916196815,128233.94625503183,77440.80799479166,0.7422222222222221,196276.71460069442
T1,FROZEN_WEATHER,-1,SELECTED,RAW,S2,75,0.09604120648989344,54754.422267239854,132275.03971569575,79152.55105468752,0.7377777777777778,196525.5537847222
