source,method,seed,variant,crossing_reference,window,lead_start,lead_end,n_origins,n_series,scaled_pinball,pce,coverage80,coverage_deficit80,scaled_width80,scaled_mae,raw_mae,scaled_rmse,raw_quantile_crossing_rate,raw_quantile_crossing_any_rate
Electricity,CHRONOS2_DIRECT,0,raw,pre_sort_raw_q,full_256,1,256,209,32,0.17325484912318068,0.028668754776382244,0.7610015139055024,0.03899848609449766,0.6243235581419158,0.21704677586449259,72.00410592880402,0.35175934776093254,0.0009274277390475479,0.0063908773175837316
Electricity,CHRONOS2_DIRECT,0,raw,pre_sort_raw_q,tail_129_256,129,256,209,32,0.19348812422015726,0.03186184418195109,0.7624686939294258,0.03753130607057421,0.694008395665979,0.2416761285096362,81.23231502432536,0.38654861823154507,0.0009981730337918662,0.006861636513157894
Electricity,CHRONOS2_DIRECT,0,raw,pre_sort_raw_q,block_1,1,64,209,32,0.14196941596622087,0.02512911807216906,0.7651554089413876,0.03484459105861248,0.5231655011650441,0.17929061732592194,57.503541197877325,0.28950420541094857,0.0007405988337320573,0.005093077153110048
Electricity,CHRONOS2_DIRECT,0,raw,pre_sort_raw_q,block_2,65,128,209,32,0.1640737320861873,0.030760784240430626,0.7539132588217703,0.04608674117822971,0.5861119400706607,0.20554422911277584,68.04825246868806,0.3323578841967313,0.0009727660548744019,0.006747159090909091
Electricity,CHRONOS2_DIRECT,0,raw,pre_sort_raw_q,block_3,129,192,209,32,0.19310336594126626,0.030810313247607655,0.7591278222188995,0.04087217778110053,0.6858077595352756,0.24100786905360566,81.19845985171149,0.3852085798071878,0.0009745182603169856,0.006656044407894737
Electricity,CHRONOS2_DIRECT,0,raw,pre_sort_raw_q,block_4,193,256,209,32,0.19387288249904827,0.03356877782761829,0.7658095656399522,0.034190434360047886,0.7022090317966827,0.24234438796566682,81.26617019693924,0.3876326671079443,0.0010218278072667464,0.007067228618421052
Electricity,CHRONOS2_DIRECT,0,raw,pre_sort_raw_q,prefix_64,1,64,209,32,0.14196941596622087,0.02512911807216906,0.7651554089413876,0.03484459105861248,0.5231655011650441,0.17929061732592194,57.503541197877325,0.28950420541094857,0.0007405988337320573,0.005093077153110048
Electricity,CHRONOS2_DIRECT,0,raw,pre_sort_raw_q,prefix_128,1,128,209,32,0.1530215740262041,0.027466222670786817,0.759534333881579,0.040465666118421104,0.5546387206178525,0.19241742321934885,62.775896833282694,0.31206656680118305,0.0008566824443032296,0.005920118122009569
Electricity,CHRONOS2_DIRECT,0,raw,pre_sort_raw_q,prefix_192,1,192,209,32,0.16638217133122485,0.02782514356835903,0.7593988299940192,0.0406011700059809,0.5983617335903268,0.20861423849743446,68.91675117275896,0.33856188609382704,0.0008959610496411484,0.006165426883971292
Electricity,CHRONOS2_DIRECT,0,raw,pre_sort_raw_q,prefix_256,1,256,209,32,0.17325484912318068,0.028668754776382244,0.7610015139055024,0.03899848609449766,0.6243235581419158,0.21704677586449259,72.00410592880402,0.35175934776093254,0.0009274277390475479,0.0063908773175837316
Electricity,CHRONOS2_DIRECT,0,ordered,pre_sort_raw_q,full_256,1,256,209,32,0.17325414048019167,0.028668754776382244,0.7610336376719498,0.038966362328050286,0.6243292467755318,0.21704496554707645,72.00319943916159,0.35175849535622994,0.0009274277390475479,0.0063908773175837316
Electricity,CHRONOS2_DIRECT,0,ordered,pre_sort_raw_q,tail_129_256,129,256,209,32,0.19348751692929067,0.03186174034755449,0.7625084105861245,0.03749158941387564,0.6940121807445385,0.24167432029562994,81.23135845274018,0.38654847523444535,0.0009981730337918662,0.006861636513157894
Electricity,CHRONOS2_DIRECT,0,ordered,pre_sort_raw_q,block_1,1,64,209,32,0.14196872475646227,0.02512911807216906,0.7651694265849283,0.03483057341507181,0.5231714919310145,0.17928932969384892,57.50314261242926,0.2895020858324562,0.0007405988337320573,0.005093077153110048
Electricity,CHRONOS2_DIRECT,0,ordered,pre_sort_raw_q,block_2,65,128,209,32,0.16407280330572302,0.030760784240430626,0.753948302930622,0.046051697069378034,0.5861211336820358,0.20554189190319688,68.04693823873677,0.33235687407657555,0.0009727660548744019,0.006747159090909091
Electricity,CHRONOS2_DIRECT,0,ordered,pre_sort_raw_q,block_3,129,192,209,32,0.1931026633054988,0.030808755731658692,0.7591768839712919,0.04082311602870818,0.6858125339507808,0.24100577238039536,81.19743384767555,0.3852084690240516,0.0009745182603169856,0.006656044407894737
Electricity,CHRONOS2_DIRECT,0,ordered,pre_sort_raw_q,block_4,193,256,209,32,0.19387237055308246,0.03356877782761829,0.765839937200957,0.03416006279904311,0.7022118275382965,0.24234286821086454,81.26528305780481,0.38763248500409714,0.0010218278072667464,0.007067228618421052
Electricity,CHRONOS2_DIRECT,0,ordered,pre_sort_raw_q,prefix_64,1,64,209,32,0.14196872475646227,0.02512911807216906,0.7651694265849283,0.03483057341507181,0.5231714919310145,0.17928932969384892,57.50314261242926,0.2895020858324562,0.0007405988337320573,0.005093077153110048
Electricity,CHRONOS2_DIRECT,0,ordered,pre_sort_raw_q,prefix_128,1,128,209,32,0.15302076403109266,0.027466222670786817,0.7595588647577751,0.040441135242224924,0.5546463128065251,0.19241561079852287,62.775040425583015,0.31206499315794145,0.0008566824443032296,0.005920118122009569
Electricity,CHRONOS2_DIRECT,0,ordered,pre_sort_raw_q,prefix_192,1,192,209,32,0.1663813971225614,0.02782514356835903,0.7594315378289473,0.04056846217105267,0.598368386521277,0.2086123313258137,68.9158382329472,0.3385608200478354,0.0008959610496411484,0.006165426883971292
Electricity,CHRONOS2_DIRECT,0,ordered,pre_sort_raw_q,prefix_256,1,256,209,32,0.17325414048019167,0.028668754776382244,0.7610336376719498,0.038966362328050286,0.6243292467755318,0.21704496554707645,72.00319943916159,0.35175849535622994,0.0009274277390475479,0.0063908773175837316
Electricity,CHRONOS2_DIRECT,0,affine,pre_sort_raw_q,full_256,1,256,209,32,0.17325414048019167,0.028668754776382244,0.7610336376719498,0.038966362328050286,0.6243292467755318,0.21704496554707645,72.00319943916159,0.35175849535622994,0.0009274277390475479,0.0063908773175837316
Electricity,CHRONOS2_DIRECT,0,affine,pre_sort_raw_q,tail_129_256,129,256,209,32,0.19348751692929067,0.03186174034755449,0.7625084105861245,0.03749158941387564,0.6940121807445385,0.24167432029562994,81.23135845274018,0.38654847523444535,0.0009981730337918662,0.006861636513157894
Electricity,CHRONOS2_DIRECT,0,affine,pre_sort_raw_q,block_1,1,64,209,32,0.14196872475646227,0.02512911807216906,0.7651694265849283,0.03483057341507181,0.5231714919310145,0.17928932969384892,57.50314261242926,0.2895020858324562,0.0007405988337320573,0.005093077153110048
Electricity,CHRONOS2_DIRECT,0,affine,pre_sort_raw_q,block_2,65,128,209,32,0.16407280330572302,0.030760784240430626,0.753948302930622,0.046051697069378034,0.5861211336820358,0.20554189190319688,68.04693823873677,0.33235687407657555,0.0009727660548744019,0.006747159090909091
Electricity,CHRONOS2_DIRECT,0,affine,pre_sort_raw_q,block_3,129,192,209,32,0.1931026633054988,0.030808755731658692,0.7591768839712919,0.04082311602870818,0.6858125339507808,0.24100577238039536,81.19743384767555,0.3852084690240516,0.0009745182603169856,0.006656044407894737
Electricity,CHRONOS2_DIRECT,0,affine,pre_sort_raw_q,block_4,193,256,209,32,0.19387237055308246,0.03356877782761829,0.765839937200957,0.03416006279904311,0.7022118275382965,0.24234286821086454,81.26528305780481,0.38763248500409714,0.0010218278072667464,0.007067228618421052
