source,comparison,baseline,candidate,baseline_variant,candidate_variant,window,metric,seed_summary,repeat_seed_count,selection_seed_included,a_mean,b_mean,effect_a_minus_b,relative_gain_percent,ci95_low,ci95_high,bootstrap_seed,bootstrap_reps,block_origins,n_origins,method,positive_favors,quantile_method,scope
Electricity,general_rollout_training,F0_MEDIAN,R_ROLLOUT_LORA,ordered,ordered,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.1842656757216378,0.1791099024825243,0.0051557732391134,2.798010654410806,0.0038704255788997,0.0064801925336238,3897198931,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,generated_state_information,R_ROLLOUT_LORA,S_STATE_ADAPTER,ordered,ordered,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.1791099024825243,0.1785657343827291,0.0005441680997951,0.3038179867515954,0.000212228496127,0.0008327356687197,2929376624,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,additional_width_information,S_STATE_ADAPTER,U_UNCERTAINTY_ADAPTER,ordered,ordered,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.1785657343827291,0.1785344040981418,3.133028458727433e-05,0.0175455188508465,8.496396479750196e-06,6.092418727362733e-05,660187038,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,total_U_vs_R,R_ROLLOUT_LORA,U_UNCERTAINTY_ADAPTER,ordered,ordered,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.1791099024825243,0.1785344040981418,0.0005754983843824,0.3213101991603042,0.0002366713326221,0.0008536972130223,3459549518,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,U_vs_official_F0,F0_NATIVE,U_UNCERTAINTY_ADAPTER,ordered,ordered,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.1807296478058286,0.1785344040981418,0.0021952437076866,1.2146561089109007,0.0009076665656212,0.0033327083329176,1189194631,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,U_vs_official_R,R_NATIVE,U_UNCERTAINTY_ADAPTER,ordered,ordered,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.1792999070861444,0.1785344040981418,0.0007655029880025,0.4269399803061598,0.0001243558608196,0.0014444484334687,1466675619,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,U_vs_MC16,R_MC16,U_UNCERTAINTY_ADAPTER,ordered,ordered,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.1870342459164961,0.1785344040981418,0.0084998418183542,4.544537700410799,0.0075893802944861,0.0094642063185146,3347062615,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,U_vs_direct_long_model,CHRONOS2_DIRECT,U_UNCERTAINTY_ADAPTER,ordered,ordered,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.1732541404801916,0.1785344040981418,-0.0052802636179502,-3.0476983714879573,-0.0075064876743015,-0.0034635646630159,1351676770,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,official_branching_vs_median,F0_MEDIAN,F0_NATIVE,ordered,ordered,full_256,scaled_pinball,fixed_model,0,False,0.1842656757216378,0.1807296478058286,0.0035360279158092,1.9189835013825296,0.0030311544104249,0.0039753074268711,2618203433,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,R_native_vs_R_median,R_ROLLOUT_LORA,R_NATIVE,ordered,ordered,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.1791099024825243,0.1792999070861444,-0.0001900046036201,-0.106082690564058,-0.0006403071746098,0.0002380450646005,1923459733,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,general_rollout_training,F0_MEDIAN,R_ROLLOUT_LORA,affine,affine,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.18046590466885,0.1789831129700594,0.0014827916987906,0.8216464497886825,0.0003601492036938,0.0024935476616841,288665948,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,generated_state_information,R_ROLLOUT_LORA,S_STATE_ADAPTER,affine,affine,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.1789831129700594,0.1787022488900578,0.0002808640800015,0.1569221114444001,-4.5636717518408094e-05,0.0005716601025864,2561552381,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,additional_width_information,S_STATE_ADAPTER,U_UNCERTAINTY_ADAPTER,affine,affine,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.1787022488900578,0.1786746599522369,2.758893782094421e-05,0.0154384950342273,5.008052141136136e-06,5.727042263029022e-05,3693034344,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,total_U_vs_R,R_ROLLOUT_LORA,U_UNCERTAINTY_ADAPTER,affine,affine,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.1789831129700594,0.1786746599522369,0.0003084530178224,0.1723363800662445,1.4063693070580484e-05,0.0005983532325582,1133022807,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,U_vs_official_F0,F0_NATIVE,U_UNCERTAINTY_ADAPTER,affine,affine,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.1795074736829137,0.1786746599522369,0.0008328137306768,0.4639437643403921,-0.0003629790644499,0.0018757204597028,60757447,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,U_vs_official_R,R_NATIVE,U_UNCERTAINTY_ADAPTER,affine,affine,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.1793014398060212,0.1786746599522369,0.0006267798537842,0.3495676635181272,1.2424179639920984e-05,0.001253000658808,3886147794,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,U_vs_MC16,R_MC16,U_UNCERTAINTY_ADAPTER,affine,affine,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.1870899247243599,0.1786746599522369,0.0084152647721229,4.497978597469223,0.0075568124473653,0.0093709591376922,3333145251,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
