source,comparison,baseline,candidate,baseline_variant,candidate_variant,window,metric,seed_summary,repeat_seed_count,selection_seed_included,a_mean,b_mean,effect_a_minus_b,relative_gain_percent,ci95_low,ci95_high,bootstrap_seed,bootstrap_reps,block_origins,n_origins,method,positive_favors,quantile_method,scope
Electricity,general_rollout_training,F0_MEDIAN,R_ROLLOUT_LORA,raw,raw,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.1842708697675306,0.17913646517036935,0.00513440459716122,2.7863354656319785,0.003817786030761722,0.006380498645490238,3822318128,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,generated_state_information,R_ROLLOUT_LORA,S_STATE_ADAPTER,raw,raw,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.17913646517036935,0.17859202998942073,0.0005444351809486658,0.3039220297391018,0.00019709970190892888,0.0008349607298430636,2653045620,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,additional_width_information,S_STATE_ADAPTER,U_UNCERTAINTY_ADAPTER,raw,raw,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.17859202998942073,0.17856077942833945,3.125056108123631e-05,0.017498295463178003,6.5796267095740375e-06,6.213294054423827e-05,3605342344,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,total_U_vs_R,R_ROLLOUT_LORA,U_UNCERTAINTY_ADAPTER,raw,raw,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.17913646517036935,0.17856077942833945,0.0005756857420299021,0.3213671440275384,0.00023799825591912395,0.0008813728966624043,3313067096,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,U_vs_official_F0,F0_NATIVE,U_UNCERTAINTY_ADAPTER,raw,raw,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.1807312470065344,0.17856077942833945,0.0021704675781949122,1.2009365365118287,0.0009360148724597226,0.003353290579314565,650243464,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,U_vs_official_R,R_NATIVE,U_UNCERTAINTY_ADAPTER,raw,raw,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.17931103347639554,0.17856077942833945,0.0007502540480560598,0.41840930449760805,0.0001221861825655249,0.0014194707616098244,2495575695,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,U_vs_MC16,R_MC16,U_UNCERTAINTY_ADAPTER,raw,raw,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.18703424591649612,0.17856077942833945,0.008473466488156636,4.530435828281268,0.007570132527227757,0.009433726169732535,3198552900,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,U_vs_direct_long_model,CHRONOS2_DIRECT,U_UNCERTAINTY_ADAPTER,raw,raw,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.17325484912318068,0.17856077942833945,-0.005305930305158796,-3.062500317890893,-0.007442805534798141,-0.0034095345867942786,3217193592,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,official_branching_vs_median,F0_MEDIAN,F0_NATIVE,raw,raw,full_256,scaled_pinball,fixed_model,0,False,0.1842708697675306,0.1807312470065344,0.00353962276099621,1.9208802592952803,0.00304118289286134,0.003963833064150308,3412187124,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
Electricity,R_native_vs_R_median,R_ROLLOUT_LORA,R_NATIVE,raw,raw,full_256,scaled_pinball,repeat_mean_92121_92122,2,False,0.17913646517036935,0.17931103347639554,-0.00017456830602615778,-0.09744989991855262,-0.0006275862150039891,0.00024819263183919235,2859534820,2000,7,209,paired_non_circular_moving_block_percentile,b,linear,origin uncertainty conditional on fixed seeds and selected series
