source,method,variant,window,seed_count,scaled_pinball,pce,coverage80,scaled_width80,scaled_mae,raw_mae,scaled_rmse
Electricity,CHRONOS2_DIRECT,ordered,full_256,1,0.1732541404801916,0.0286687547763822,0.7610336376719498,0.6243292467755318,0.2170449655470764,72.00319943916159,0.3517584953562299
Electricity,CHRONOS2_DIRECT,affine,full_256,1,0.1732541404801916,0.0286687547763822,0.7610336376719498,0.6243292467755318,0.2170449655470764,72.00319943916159,0.3517584953562299
Electricity,F0_MEDIAN,ordered,full_256,1,0.1842656757216378,0.0546547142892743,0.6665956050014952,0.4847237006553684,0.2231954173784729,74.7573870377722,0.3516413427153916
Electricity,F0_MEDIAN,affine,full_256,1,0.18046590466885,0.0293440028367557,0.7930622009569378,0.6688347054039678,0.2231954173784729,74.7573870377722,0.3516413427153916
Electricity,F0_NATIVE,ordered,full_256,1,0.1807296478058286,0.0378246901581605,0.7192464582087321,0.5484576640076234,0.2239155148961223,74.93079004232865,0.3515983353186864
Electricity,F0_NATIVE,affine,full_256,1,0.1795074736829138,0.0292161177980462,0.8038522820723684,0.6801761224333658,0.2239155148961223,74.93079004232865,0.3515983353186864
Electricity,R_MC16,ordered,full_256,2,0.1870342459164961,0.0339447556880482,0.7557206587357954,0.6556612429922422,0.233084600986816,78.0830432068891,0.3639651287346397
Electricity,R_MC16,affine,full_256,2,0.1870899247243599,0.0322545977870813,0.7535304019325657,0.653968318635551,0.233084600986816,78.0830432068891,0.3639651287346397
Electricity,R_NATIVE,ordered,full_256,2,0.1792999070861444,0.0386931610513025,0.7946409380607058,0.6811742027290284,0.2234540940337014,74.40954082891564,0.3525675168403517
Electricity,R_NATIVE,affine,full_256,2,0.1793014398060212,0.0359521601188696,0.7918242678117524,0.680378177776984,0.2234540940337014,74.40954082891564,0.3525675168403517
Electricity,R_ROLLOUT_LORA,ordered,full_256,2,0.1791099024825243,0.0346683386600378,0.8021990762372906,0.6918503324131775,0.2226891067681329,74.3474411088238,0.3526921150480092
Electricity,R_ROLLOUT_LORA,affine,full_256,2,0.1789831129700594,0.0324818783019338,0.7991557874177632,0.6906577664967875,0.2226891067681329,74.3474411088238,0.3526921150480092
Electricity,S_STATE_ADAPTER,ordered,full_256,2,0.1785657343827291,0.0312027748184974,0.7968125046725479,0.6813997884003917,0.2224001101804438,74.24126900154562,0.3532827714544871
Electricity,S_STATE_ADAPTER,affine,full_256,2,0.1787022488900579,0.0308870858045919,0.8059412029941687,0.7032922686844876,0.2224001101804438,74.24126900154562,0.3532827714544871
Electricity,U_UNCERTAINTY_ADAPTER,ordered,full_256,2,0.1785344040981419,0.0314198341349348,0.7974695817135167,0.682567979252529,0.2223774133493632,74.24324591053343,0.3531970566764387
Electricity,U_UNCERTAINTY_ADAPTER,affine,full_256,2,0.1786746599522369,0.0311798403961489,0.8066204746374103,0.7044950141735128,0.2223774133493632,74.24324591053343,0.3531970566764387
ETTh1,CHRONOS2_DIRECT,ordered,full_256,1,0.3850994298049289,0.0464772560258671,0.7514715608465609,1.3713877292932195,0.4914182379048054,1.912390774012403,0.7011766301083474
ETTh1,CHRONOS2_DIRECT,affine,full_256,1,0.3850994298049289,0.0464772560258671,0.7514715608465609,1.3713877292932195,0.4914182379048054,1.912390774012403,0.7011766301083474
ETTh1,F0_MEDIAN,ordered,full_256,1,0.424235925362194,0.1078111221340388,0.4644138558201058,0.7234184609703929,0.4906181025473355,1.8991432978189984,0.6939016703583646
ETTh1,F0_MEDIAN,affine,full_256,1,0.399506041292606,0.0495572457378012,0.6787119708994709,1.2768861653152033,0.4906181025473355,1.8991432978189984,0.6939016703583646
ETTh1,F0_NATIVE,ordered,full_256,1,0.4019915361522382,0.0614808384773662,0.6126860119047619,1.0013632340861016,0.4925788479656462,1.9021478468711053,0.6939293954311048
ETTh1,F0_NATIVE,affine,full_256,1,0.3913802731038758,0.0325782627865961,0.7496031746031747,1.3869595398812251,0.4925788479656462,1.9021478468711053,0.6939293954311048
ETTh1,R_MC16,ordered,full_256,2,0.4004938712470796,0.0416515101410934,0.7257833167989418,1.351727236430062,0.5053519040597936,1.924351906663729,0.6979573736593199
ETTh1,R_MC16,affine,full_256,2,0.4007147939352458,0.0447087650646678,0.6979208002645502,1.2579555140804084,0.5053519040597936,1.924351906663729,0.6979573736593199
ETTh1,R_NATIVE,ordered,full_256,2,0.3898734892073916,0.0575038580246913,0.7588686342592592,1.4256409847313354,0.4922000289337396,1.885167640027539,0.6805037959556488
ETTh1,R_NATIVE,affine,full_256,2,0.3888763457970908,0.0282276510141093,0.7107266865079365,1.2874644890858162,0.4883918219114165,1.8625820787305216,0.672326001607769
ETTh1,R_ROLLOUT_LORA,ordered,full_256,2,0.3871592736622186,0.0485702344209288,0.7652695105820106,1.445823362212335,0.4869335407289577,1.863388875207045,0.6769234629175671
ETTh1,R_ROLLOUT_LORA,affine,full_256,2,0.3862805215647594,0.0332915380658436,0.7668754133597884,1.487943657290472,0.4856093102342678,1.8579695148728832,0.6741402590749259
ETTh1,S_STATE_ADAPTER,ordered,full_256,2,0.3904814547974795,0.0479123034244562,0.7790013227513228,1.544770244320167,0.487815316014999,1.8693225133287343,0.6767863079246306
ETTh1,S_STATE_ADAPTER,affine,full_256,2,0.3910078158676952,0.0378988921957672,0.7358961640211641,1.395480834122738,0.4889964568098059,1.8701954620134864,0.6743287701547098
ETTh1,U_UNCERTAINTY_ADAPTER,ordered,full_256,2,0.3904782725732812,0.0479327417695473,0.779348544973545,1.545655751673097,0.4878426131517205,1.869398686476864,0.6768173297688345
ETTh1,U_UNCERTAINTY_ADAPTER,affine,full_256,2,0.3910059744800948,0.0378350510728982,0.7362123842592593,1.3963725757192198,0.4890082821708578,1.870225992266408,0.6743314133800324
