arm,lr,step,validation_loss,train_loss
STANDARD_LORA,3e-05,0,0.5586621286351124,
STANDARD_LORA,3e-05,4,0.5589896578548008,8.748893737792969
STANDARD_LORA,3e-05,8,0.5584964528717201,4.809002876281738
STANDARD_LORA,3e-05,15,0.5578818300173776,5.517789840698242
STANDARD_LORA,3e-05,30,0.5561965744040246,8.366857528686523
STANDARD_LORA,3e-05,60,0.5533755196688148,6.3048810958862305
STANDARD_LORA,3e-05,120,0.5476294613064884,10.073753356933594
STANDARD_LORA,3e-05,180,0.5471599166598187,5.667015075683594
STANDARD_LORA,3e-05,240,0.5600970864200743,4.235706329345703
STANDARD_LORA,3e-05,360,0.5904468903302881,4.020014762878418
STANDARD_LORA,0.0001,0,0.5586621286351124,
STANDARD_LORA,0.0001,4,0.5598702713977892,8.75593090057373
STANDARD_LORA,0.0001,8,0.5582165573206301,4.827193260192871
STANDARD_LORA,0.0001,15,0.556255706323556,5.4636030197143555
STANDARD_LORA,0.0001,30,0.5503080410507427,7.844870567321777
STANDARD_LORA,0.0001,60,0.5507548407151136,5.468454837799072
STANDARD_LORA,0.0001,120,0.5700930437128093,6.841192722320557
STANDARD_LORA,0.0001,180,0.6242464203883007,3.207733392715454
STANDARD_LORA,0.0001,240,0.6541137217507766,2.3554434776306152
STANDARD_LORA,0.0001,360,0.7251873825404781,2.0604093074798584
FEATURE_LORA,3e-05,0,0.5586621286351124,
FEATURE_LORA,3e-05,4,0.5589888849958201,8.748892784118652
FEATURE_LORA,3e-05,8,0.5584946919914316,4.809023857116699
FEATURE_LORA,3e-05,15,0.5578748150056503,5.517453193664551
FEATURE_LORA,3e-05,30,0.55612574288962,8.363779067993164
FEATURE_LORA,3e-05,60,0.5531836085219299,6.310715198516846
FEATURE_LORA,3e-05,120,0.5474998122351187,9.982765197753906
FEATURE_LORA,3e-05,180,0.5480558140059214,5.617043495178223
FEATURE_LORA,3e-05,240,0.5634225737291577,4.2208051681518555
FEATURE_LORA,3e-05,360,0.5910364765365832,3.9501242637634277
FEATURE_LORA,0.0001,0,0.5586621286351124,
FEATURE_LORA,0.0001,4,0.5598610236159179,8.755925178527832
FEATURE_LORA,0.0001,8,0.558195210802616,4.827436447143555
FEATURE_LORA,0.0001,15,0.5562118401006013,5.461874008178711
FEATURE_LORA,0.0001,30,0.5498904309942392,7.826909065246582
FEATURE_LORA,0.0001,60,0.5516256723321035,5.505892753601074
FEATURE_LORA,0.0001,120,0.5740178220860432,6.824579238891602
FEATURE_LORA,0.0001,180,0.6240862762761605,3.2426400184631348
FEATURE_LORA,0.0001,240,0.662044439720142,2.3070430755615234
FEATURE_LORA,0.0001,360,0.714636678339124,1.8703163862228394
FRESHNESS_GATED_LORA,3e-05,0,0.5586621286351124,
FRESHNESS_GATED_LORA,3e-05,4,0.5589896572559275,8.748892784118652
FRESHNESS_GATED_LORA,3e-05,8,0.5584964608978149,4.809002876281738
FRESHNESS_GATED_LORA,3e-05,15,0.5578818165529754,5.517786979675293
FRESHNESS_GATED_LORA,3e-05,30,0.5561959703328588,8.366790771484375
FRESHNESS_GATED_LORA,3e-05,60,0.5533708292726585,6.304351806640625
FRESHNESS_GATED_LORA,3e-05,120,0.5476346812166661,10.069130897521973
FRESHNESS_GATED_LORA,3e-05,180,0.547199681483631,5.664484977722168
FRESHNESS_GATED_LORA,3e-05,240,0.5603513971141909,4.227702617645264
FRESHNESS_GATED_LORA,3e-05,360,0.5912336612254124,4.010652542114258
FRESHNESS_GATED_LORA,0.0001,0,0.5586621286351124,
FRESHNESS_GATED_LORA,0.0001,4,0.5598702400016398,8.755931854248047
FRESHNESS_GATED_LORA,0.0001,8,0.5582165194536474,4.827192306518555
FRESHNESS_GATED_LORA,0.0001,15,0.5562559035949928,5.463592529296875
FRESHNESS_GATED_LORA,0.0001,30,0.5502975364352495,7.844281196594238
FRESHNESS_GATED_LORA,0.0001,60,0.5507720461792832,5.4650468826293945
FRESHNESS_GATED_LORA,0.0001,120,0.5704398025322086,6.810670852661133
FRESHNESS_GATED_LORA,0.0001,180,0.6250996316690469,3.242361545562744
FRESHNESS_GATED_LORA,0.0001,240,0.6571666755046655,2.3000080585479736
FRESHNESS_GATED_LORA,0.0001,360,0.7233620195160444,2.0107011795043945
