state,region,fp32_loss,bf16_loss,bf16_minus_fp32,prediction_max_abs,cached_bf16_prediction_max_abs,fp32_sort_ties,fp32_target_ties,missing_targets
beijing_233_34000_native,T,0.13002454208148026,0.1302548198861258,0.0002302778046455456,7.30511474609375,,0,0,0
beijing_233_34000_native,S,0.16254916698336086,0.1625824647878477,3.329780448685371e-05,4.585662841796875,0.0,0,0,34
beijing_233_34000_native,D,0.2244862426078422,0.22448268915556416,-3.5534522780378275e-06,2.3510894775390625,0.0,0,0,1
beijing_233_34000_native_anchor,T,0.13089944766945333,0.13094032667092556,4.087900147223267e-05,4.243682861328125,,0,0,0
beijing_233_34000_native_anchor,S,0.16359881300540874,0.1635685895289652,-3.022347644354717e-05,6.008453369140625,0.0,0,0,34
beijing_233_34000_native_anchor,D,0.21438566679259746,0.2145741088314523,0.0001884420388548469,2.2091064453125,0.0,0,0,1
beijing_233_34001_native,T,0.12775563602987422,0.12779748991315532,4.1853883281095516e-05,5.39141845703125,,0,0,0
beijing_233_34001_native,S,0.16318026195457028,0.16327198490836542,9.17229537951425e-05,5.944366455078125,0.0,0,0,34
beijing_233_34001_native,D,0.22962989998030225,0.22976740149031033,0.00013750151000807564,2.17486572265625,0.0,0,0,1
beijing_233_34001_native_anchor,T,0.1288450572017413,0.12873964363097257,-0.00010541357076873648,4.10205078125,,0,0,0
beijing_233_34001_native_anchor,S,0.16344180887207296,0.16334097661241478,-0.00010083225965817899,6.798065185546875,0.0,0,0,34
beijing_233_34001_native_anchor,D,0.2154955079778003,0.21558516973049668,8.966175269639609e-05,2.120269775390625,0.0,0,0,1
ettm2_later_233_34000_native,T,0.1640726880428167,0.1640376577886934,-3.503025412329719e-05,0.12211036682128906,,0,0,0
ettm2_later_233_34000_native,S,0.18868880754060519,0.18815632605452295,-0.0005324814860822313,0.2561683654785156,7.62939453125e-06,0,0,0
ettm2_later_233_34000_native,D,0.19344372991646266,0.1932954842294576,-0.00014824568700505525,0.2012462615966797,7.62939453125e-06,0,0,0
ettm2_later_233_34000_native_anchor,T,0.15826607617587893,0.15817817033379045,-8.790584208848151e-05,0.12781715393066406,,0,0,0
ettm2_later_233_34000_native_anchor,S,0.17351383581308913,0.17286291911342705,-0.0006509166996620797,0.2679862976074219,7.62939453125e-06,0,0,0
ettm2_later_233_34000_native_anchor,D,0.19135376535777482,0.19100157636410173,-0.00035218899367309153,0.1719207763671875,7.62939453125e-06,0,0,0
ettm2_later_233_34001_native,T,0.1719699002042553,0.171856352124931,-0.00011354807932428823,0.16724777221679688,,0,0,0
ettm2_later_233_34001_native,S,0.1818693304126515,0.18129189193860562,-0.0005774384740458716,0.3454608917236328,7.62939453125e-06,0,0,0
ettm2_later_233_34001_native,D,0.18396096707648982,0.18345797591855795,-0.0005029911579318702,0.23473167419433594,7.62939453125e-06,0,0,0
ettm2_later_233_34001_native_anchor,T,0.16495034461132874,0.16480693253766157,-0.00014341207366716513,0.12372970581054688,,0,0,0
ettm2_later_233_34001_native_anchor,S,0.16920595892484008,0.16878173784605968,-0.00042422107878040127,0.4091835021972656,7.62939453125e-06,0,0,0
ettm2_later_233_34001_native_anchor,D,0.1890281023522701,0.18881704279927405,-0.00021105955299605128,0.20436859130859375,7.62939453125e-06,0,0,0
electricity_new_233_34000_native,T,0.14305871708895063,0.14293385822773624,-0.00012485886121438305,17.1431884765625,,0,0,0
electricity_new_233_34000_native,S,0.10581908011271679,0.10580500899615641,-1.407111656037685e-05,7.6392822265625,3.0517578125e-05,0,0,0
electricity_new_233_34000_native,D,0.11826425511234649,0.1183221648897849,5.790977743841408e-05,6.2330322265625,0.0,0,0,0
electricity_new_233_34000_native_anchor,T,0.14174819022055613,0.14165408942516283,-9.410079539329264e-05,16.278076171875,,0,0,0
electricity_new_233_34000_native_anchor,S,0.10679238429123945,0.10680925183740245,1.6867546162993574e-05,7.2244873046875,3.0517578125e-05,0,0,0
electricity_new_233_34000_native_anchor,D,0.11782649478998344,0.11789731095404651,7.081616406307001e-05,5.2947998046875,0.0,0,0,0
electricity_new_233_34001_native,T,0.14661002838973092,0.1464395677352206,-0.00017046065451031822,13.4609375,,0,0,0
electricity_new_233_34001_native,S,0.10766141809120149,0.10757646814618697,-8.494994501451192e-05,5.661376953125,3.0517578125e-05,0,0,0
electricity_new_233_34001_native,D,0.11612414304204241,0.11620429144629711,8.014840425470127e-05,5.59912109375,0.0,0,0,0
electricity_new_233_34001_native_anchor,T,0.1426306376836881,0.14250812140740315,-0.00012251627628495632,16.19580078125,,0,0,0
electricity_new_233_34001_native_anchor,S,0.10729236367598917,0.10725251151055026,-3.9852165438905574e-05,7.9034423828125,3.0517578125e-05,0,0,0
electricity_new_233_34001_native_anchor,D,0.11737922736375483,0.11744239600759591,6.316864384108001e-05,7.0057373046875,0.0,0,0,0
