dataset,seed,baseline,candidate_mse,baseline_mse,gain_percent,candidate_mae,baseline_mae,candidate_raw_mae,baseline_raw_mae,candidate_epoch,baseline_epoch,candidate_trainable,baseline_trainable,candidate_peak_mib,baseline_peak_mib,candidate_active_seconds,baseline_active_seconds
electricity,41000,LH,0.4713374316173539,0.465861103308871,-1.175528128359768,0.4824949273392422,0.48103583429264624,50.31650970313103,50.229639000429,1,1,1319712,761952,1111.4375,1068.10009765625,20.48974629791337,18.55057549609046
electricity,41000,SHARED_BUDGET,0.4713374316173539,0.4897444158000055,3.7584878129918984,0.4824949273392422,0.5122768842514661,50.31650970313103,53.75077721998339,1,3,1319712,1319711,1111.4375,1109.23095703125,20.48974629791337,27.23852640003315
electricity,41000,SEASONAL_NAIVE,0.4713374316173539,0.5256090952856125,10.32548031513186,0.4824949273392422,0.4456026747733812,50.31650970313103,46.8871407117185,1,,1319712,0,1111.4375,,20.48974629791337,
electricity,41001,LH,0.45807098414914477,0.4728988286472915,3.135521511136154,0.4878082888462778,0.495081530629835,50.81156945717635,51.55786004965365,3,3,1319712,761952,1110.9375,1072.60009765625,27.400206856284058,25.08174276293721
electricity,41001,SHARED_BUDGET,0.45807098414914477,0.48827589370627533,6.186033336165573,0.4878082888462778,0.5055732648900296,50.81156945717635,53.024620303257635,3,10,1319712,1319711,1110.9375,1111.48095703125,27.400206856284058,51.335273614822654
electricity,41001,SEASONAL_NAIVE,0.45807098414914477,0.5256090952856125,12.8494943756192,0.4878082888462778,0.4456026747733812,50.81156945717635,46.8871407117185,3,,1319712,0,1110.9375,,27.400206856284058,
traffic,41000,LH,1.2439765021874354,1.2202585133997836,-1.9436855819649757,0.8016945166384005,0.7939525135288578,0.040810075816214916,0.04042788344229952,1,1,1319712,761952,1114.6875,1070.85009765625,20.44381759793032,17.363847374130273
traffic,41000,SHARED_BUDGET,1.2439765021874354,1.7033355154297236,26.968204976715903,0.8016945166384005,0.9516000653979277,0.040810075816214916,0.049033219472313205,1,0,1319712,1319711,1114.6875,1113.98095703125,20.44381759793032,16.83925429302326
traffic,41000,SEASONAL_NAIVE,1.2439765021874354,0.9814488091024985,-26.748995021452973,0.8016945166384005,0.4887845378201704,0.040810075816214916,0.02545441171014752,1,,1319712,0,1114.6875,,20.44381759793032,
traffic,41001,LH,1.3212525899119916,1.2504652887958343,-5.660876935202545,0.826553868363378,0.8061045795327129,0.04206706251927869,0.041060269688288985,7,1,1319712,761952,1113.4375,1070.85009765625,40.804383799637435,18.568433483029366
traffic,41001,SHARED_BUDGET,1.3212525899119916,1.5986546478196701,17.352219147895028,0.826553868363378,0.9037913049587911,0.04206706251927869,0.04658857725707845,7,0,1319712,1319711,1113.4375,1110.23095703125,40.804383799637435,16.830908278061543
traffic,41001,SEASONAL_NAIVE,1.3212525899119916,0.9814488091024985,-34.622669838504564,0.826553868363378,0.4887845378201704,0.04206706251927869,0.02545441171014752,7,,1319712,0,1113.4375,,40.804383799637435,
