topic,dataset,seed,contrast,scope,reference_loss,method_loss,method_step,reference_step,improvement_percent
anchor,etth1,33000,native_anchor_vs_plain,V_selected,0.28520116872982065,0.28339236639361143,450,450,0.6342198190368409
anchor,etth1,33000,native_anchor_vs_plain,fixed_step_0_lr_3e-05,0.2926677659112712,0.2926677659112712,0,0,0.0
anchor,etth1,33000,native_anchor_vs_plain,fixed_step_0_lr_0.0001,0.2926677659112712,0.2926677659112712,0,0,0.0
anchor,etth1,33000,native_anchor_vs_plain,fixed_step_150_lr_3e-05,0.28652077030986084,0.28889202638759454,150,150,-0.8276035538956839
anchor,etth1,33000,native_anchor_vs_plain,fixed_step_150_lr_0.0001,0.28856478483665715,0.28625189874955503,150,150,0.8015136318214711
anchor,etth1,33000,native_anchor_vs_plain,fixed_step_450_lr_3e-05,0.28520116872982065,0.28339236639361143,450,450,0.6342198190368409
anchor,etth1,33000,native_anchor_vs_plain,fixed_step_450_lr_0.0001,0.3271500134060036,0.30518297197436917,450,450,6.714669274481311
anchor,etth1,33000,native_anchor_vs_plain,fixed_step_900_lr_3e-05,0.3250936899027853,0.29479529773637203,900,900,9.319895497040742
anchor,etth1,33000,native_anchor_vs_plain,fixed_step_900_lr_0.0001,0.41055268176069054,0.34255597617303934,900,900,16.56223637269679
anchor,etth1,33000,raw_anchor_vs_plain,V_selected,0.2879121976932787,0.2858722468695216,450,150,0.708532267858375
anchor,etth1,33000,raw_anchor_vs_plain,fixed_step_0_lr_3e-05,0.2926677659112712,0.2926677659112712,0,0,0.0
anchor,etth1,33000,raw_anchor_vs_plain,fixed_step_0_lr_0.0001,0.2926677659112712,0.2926677659112712,0,0,0.0
anchor,etth1,33000,raw_anchor_vs_plain,fixed_step_150_lr_3e-05,0.2879121976932787,0.28925114934067697,150,150,-0.46505554753353273
anchor,etth1,33000,raw_anchor_vs_plain,fixed_step_150_lr_0.0001,0.2901445059540873,0.28806186865773076,150,150,0.7177931181251096
anchor,etth1,33000,raw_anchor_vs_plain,fixed_step_450_lr_3e-05,0.2887347552701686,0.2858722468695216,450,450,0.9913972420703465
anchor,etth1,33000,raw_anchor_vs_plain,fixed_step_450_lr_0.0001,0.32678187806736914,0.31197537709951556,450,450,4.5310043064264
anchor,etth1,33000,raw_anchor_vs_plain,fixed_step_900_lr_3e-05,0.32335635216533365,0.29931325315406393,900,900,7.435480654784343
anchor,etth1,33000,raw_anchor_vs_plain,fixed_step_900_lr_0.0001,0.42366787144265294,0.36386899266231876,900,900,14.114565396877987
anchor,etth1,33001,native_anchor_vs_plain,V_selected,0.28779493264772016,0.2861535772250889,450,150,0.570321168455179
anchor,etth1,33001,native_anchor_vs_plain,fixed_step_0_lr_3e-05,0.2926677659112712,0.2926677659112712,0,0,0.0
anchor,etth1,33001,native_anchor_vs_plain,fixed_step_0_lr_0.0001,0.2926677659112712,0.2926677659112712,0,0,0.0
anchor,etth1,33001,native_anchor_vs_plain,fixed_step_150_lr_3e-05,0.28779493264772016,0.28988365522871073,150,150,-0.7257676713673389
anchor,etth1,33001,native_anchor_vs_plain,fixed_step_150_lr_0.0001,0.2918507457262405,0.28953911392876186,150,150,0.7920595822794141
anchor,etth1,33001,native_anchor_vs_plain,fixed_step_450_lr_3e-05,0.2918198231917153,0.2861535772250889,450,450,1.9416933039891116
anchor,etth1,33001,native_anchor_vs_plain,fixed_step_450_lr_0.0001,0.33108885702692853,0.3029403090396771,450,450,8.501810734440395
anchor,etth1,33001,native_anchor_vs_plain,fixed_step_900_lr_3e-05,0.34878561694311516,0.3091843731470012,900,900,11.354035795166606
anchor,etth1,33001,native_anchor_vs_plain,fixed_step_900_lr_0.0001,0.3621455194656849,0.3423179141816315,900,900,5.475038131993837
anchor,etth1,33001,raw_anchor_vs_plain,V_selected,0.28821382750484886,0.28870038943306986,450,150,-0.1688197726088747
