arm,seed,seconds,optimizer_seconds,peak_allocated_MiB,peak_reserved_MiB,selected_updates
REVERSE,61710,23.564435247011716,13.008644960005768,589.2919921875,598.0,120
SHUFFLE,61710,23.343359088001307,12.970255493069999,589.2919921875,598.0,120
REVERSE,61711,23.96818493201863,13.277079450053861,589.2919921875,598.0,0
SHUFFLE,61711,23.46238153098966,12.92102366196923,589.2919921875,598.0,0
