arm,baseline,source,path_index,seed,candidate_primary,baseline_primary,gain_percent,positive_months,ci_low,ci_high
REVERSE,CYCLE,FIXED120,0,-1,0.14264708357261863,0.142617769773132,-0.020554100329327477,3,-0.1426084923252554,0.04321752791240253
REVERSE,CYCLE,FIXED120,0,61710,0.1420566081498638,0.14184264473295763,-0.15084562002420476,1,-0.3609765889166154,0.00042201588890470335
REVERSE,CYCLE,FIXED120,0,61711,0.14323755899537344,0.14339289481330642,0.10832881094647034,3,-0.00924416622253214,0.30111528955921235
REVERSE,STD,FIXED120,0,-1,0.14264708357261863,0.15112937234741397,5.612601073533464,4,2.0192644832906215,7.927220843465827
REVERSE,STD,FIXED120,0,61710,0.1420566081498638,0.14927680483975098,4.8367840520421685,3,0.881443753791481,7.256153268530173
REVERSE,STD,FIXED120,0,61711,0.14323755899537344,0.152981939855077,6.369628250847526,4,3.1847083006287646,8.58421297815017
REVERSE,INIT0,FIXED120,0,-1,0.14264708357261863,0.14947867266943127,4.570276799233123,2,-1.138698811736316,10.756738507799344
REVERSE,INIT0,FIXED120,0,61710,0.1420566081498638,0.14947867266943127,4.965299990307786,3,-0.5938253787298614,11.255446495987279
REVERSE,INIT0,FIXED120,0,61711,0.14323755899537344,0.14947867266943127,4.175253608158478,2,-1.6835722447427521,10.25803051961141
SHUFFLE,CYCLE,FIXED120,0,-1,0.1423983788445552,0.142617769773132,0.15383141169982306,3,-0.18733611977546846,0.42836035074093937
SHUFFLE,CYCLE,FIXED120,0,61710,0.14254951208701305,0.14184264473295763,-0.4983461464542058,1,-1.2565869141562729,0.47235164014767483
SHUFFLE,CYCLE,FIXED120,0,61711,0.14224724560209737,0.14339289481330642,0.7989581441260757,4,0.2647337041298876,1.3189134432445437
SHUFFLE,STD,FIXED120,0,-1,0.1423983788445552,0.15112937234741397,5.777165197767179,4,2.031054431705572,8.006633701721546
SHUFFLE,STD,FIXED120,0,61710,0.14254951208701305,0.14927680483975098,4.506589459735348,3,-0.10686248752474381,7.8150013240344585
SHUFFLE,STD,FIXED120,0,61711,0.14224724560209737,0.152981939855077,7.01696831871058,4,4.101506942721598,8.948375802776555
SHUFFLE,INIT0,FIXED120,0,-1,0.1423983788445552,0.14947867266943127,4.736658212462177,2,-0.6332445126846689,10.855662286646853
SHUFFLE,INIT0,FIXED120,0,61710,0.14254951208701305,0.14947867266943127,4.635551318910824,3,-0.7342611303940773,10.388934609108054
SHUFFLE,INIT0,FIXED120,0,61711,0.14224724560209737,0.14947867266943127,4.837765106013511,2,-1.0118712084155848,11.3407456483491
REVERSE,CYCLE,FIXED120,3,-1,0.17789990880759413,0.17824023902049524,0.19093904652023036,3,-0.030173400139601857,0.3484803377527993
REVERSE,CYCLE,FIXED120,3,61710,0.17831993406812324,0.17812297522474477,-0.11057464267591788,1,-0.3594711760293784,0.19434400631178755
REVERSE,CYCLE,FIXED120,3,61711,0.17747988354706495,0.1783575028162457,0.4920562663881495,4,0.24612797910809248,0.7839915693029386
REVERSE,STD,FIXED120,3,-1,0.17789990880759413,0.1971657463503529,9.771391785530744,4,5.361206855545051,13.739136586358415
REVERSE,STD,FIXED120,3,61710,0.17831993406812324,0.19559973399288358,8.834265554465949,4,4.458869681701088,12.649143796477807
REVERSE,STD,FIXED120,3,61711,0.17747988354706495,0.19873175870782223,10.693748849675321,4,6.248559967918779,14.816074676086437
REVERSE,INIT0,FIXED120,3,-1,0.17789990880759413,0.17716063061242793,-0.41729259633507865,1,-7.162402517256841,7.817150207971763
REVERSE,INIT0,FIXED120,3,61710,0.17831993406812324,0.17716063061242793,-0.6543798425686962,1,-7.060838817966829,7.677410319540793
REVERSE,INIT0,FIXED120,3,61711,0.17747988354706495,0.17716063061242793,-0.1802053501014298,2,-7.263966216546836,7.956890096402779
SHUFFLE,CYCLE,FIXED120,3,-1,0.1782855832877224,0.17824023902049524,-0.02543997218380402,2,-0.4015549590587104,0.4027994704029924
SHUFFLE,CYCLE,FIXED120,3,61710,0.17904721599389145,0.17812297522474477,-0.5188779089168776,2,-2.2786951980268055,0.5984160368443391
