dataset,arm,mse,mae,raw_mae
electricity,FULL,0.27033761803023104,0.3539349936133048,35.80407505241894
electricity,QK_ONLY,0.5235600955533324,0.5345249032627748,57.27668072388689
electricity,V_ONLY,0.36024745319125917,0.41434627333951085,43.28435804524631
electricity,NONE,1.3301626918411618,0.866134526261142,93.33864882801089
traffic,FULL,0.2756697138910371,0.2741331054677483,0.014874245473738914
traffic,QK_ONLY,0.6783950517930117,0.6150283435650054,0.03215218262023615
traffic,V_ONLY,0.4125031062867829,0.3794658427400382,0.020177146907305085
traffic,NONE,1.7918705558357195,1.034977242696078,0.05381813036985454
