dataset,seed,full,qk_only,v_only,none,qk_removal_cost,v_removal_cost,total_reduction,qk_symmetric_allocation,v_symmetric_allocation,v_allocation_percent,nonadditivity
electricity,41000,0.2654228351158259,0.49387892528734323,0.3751041162639889,1.2254838038085132,0.109681281148163,0.22845609017151736,0.9600609686926873,0.4206430798346665,0.5394178888580208,56.18579511596485,0.621923597373007
electricity,41001,0.27525240094463627,0.5532412658193214,0.34539079011852947,1.4348415798738101,0.0701383891738932,0.27798886487468516,1.159589178929174,0.47586935161419097,0.6837198273149828,58.96224626262604,0.8114619248805954
traffic,41000,0.27585937899875557,0.6396257333547202,0.4059619933620652,1.78618796189308,0.1301026143633096,0.3637663543559646,1.5103285828943245,0.6383324214508348,0.8719961614434897,57.7355266476144,1.0164596141750502
traffic,41001,0.2754800487833187,0.7171643702313032,0.41904421921150065,1.7975531497783588,0.14356417042818193,0.4416843214479845,1.5220731009950401,0.6119764749876186,0.9100966260074212,59.7932271066649,0.9368246091188734
