run,arm,seed,pinball,nmae,nmse,coverage80,width80,raw_crossing,raw_mae,nrmse
Q_FP_92201,Q_FP,92201,0.1633432083004015,0.20468201077420833,0.09853396910196358,0.789706399754619,0.6161525480922987,0.0002346963860421478,72.16928181293964,0.3061188720691304
Q_FP_92202,Q_FP,92202,0.16320615516099835,0.20447891660219483,0.0982920464758761,0.7968930427251733,0.6258221417949038,0.00017577561164838337,72.08740146650005,0.3057304964937228
Q_STD_92201,Q_STD,92201,0.16447252746022323,0.20587431001785564,0.09930522794412613,0.7823630106091224,0.6189700535274282,0.04393995606596421,72.58153378313051,0.3073667355260634
Q_STD_92202,Q_STD,92202,0.16397335891466652,0.20517493004675463,0.0984516550722459,0.7856050627886837,0.6239860732579253,0.04553730107895497,72.33710875158256,0.3060339828396068
Q_LOFTQ_92201,Q_LOFTQ,92201,0.1643329952693564,0.20563335719722853,0.09897021388842919,0.7796475804705543,0.6118181062211565,0.05000541281755196,72.52933499574075,0.30686184975499964
Q_LOFTQ_92202,Q_LOFTQ,92202,0.16394958775294707,0.2051320271582372,0.09831183511961761,0.7855768710306005,0.6203855971029097,0.050313266815819865,72.3408154098201,0.30585145728453156
Q_QERA_92201,Q_QERA,92201,0.16413137181441995,0.20553343048166972,0.09892112114488286,0.7811631693851039,0.6143566385477732,0.0341626314863597,72.4982545155662,0.3067904348092483
Q_QERA_92202,Q_QERA,92202,0.1636536291307492,0.20494339157379263,0.09813181006863221,0.7880194049509237,0.6235467695282448,0.034007576816902425,72.27221930159502,0.30557937426571846
Q_IO16_92201,Q_IO16,92201,0.16340966527340528,0.20475279274149166,0.09850175590794719,0.7879393403579678,0.6158204580810752,0.0003326627453810624,72.19901863435675,0.30609777362486484
Q_IO16_92202,Q_IO16,92202,0.1632919709427615,0.2045692613577705,0.09830739205330602,0.799461875721709,0.6309851290698381,0.00020340353456986142,72.12602030356817,0.3057812060895797
Q_FORECAST_92201,Q_FORECAST,92201,0.1640086918680113,0.20555927093407422,0.09908733935340588,0.7967520839347575,0.6271801490533921,0.02151087525259815,72.49567019444724,0.30701693293684995
Q_FORECAST_92202,Q_FORECAST,92202,0.163499937177798,0.20479640745867458,0.09805064426104627,0.7882268962904156,0.6207548089552963,0.021516936480586026,72.227688886165,0.30546670737978576
T_A1_92201,T_A1,92201,0.16312656325445946,0.20435771088758797,0.09824901135551528,0.795808223874134,0.6219540730403056,9.02136258660508e-05,72.02612039353914,0.30564718705018257
T_A1_92202,T_A1,92202,0.1631593397530628,0.20440796195979233,0.09831762311339537,0.7982417364318706,0.6256830926003893,9.33147192551963e-05,72.04544152884677,0.3057315137831944
T_RECENT_92201,T_RECENT,92201,0.15965628461139764,0.19983561586577897,0.09563337333091058,0.8090560948325636,0.6237230166708607,0.0001279905816974596,70.46341347155823,0.30163519691856666
T_RECENT_92202,T_RECENT,92202,0.15971763101503045,0.19992392835830922,0.0957622315704681,0.8110554543158199,0.6257951667104705,0.000112062238380485,70.49993088860364,0.3018245536641579
T_KD_92201,T_KD,92201,0.15973119583077428,0.1999031768783946,0.09554857584104468,0.8164457184613164,0.635620368832855,9.00726670756351e-05,70.4773199460781,0.30149083636100615
T_KD_92202,T_KD,92202,0.15973119583077428,0.1999031768783946,0.09554857584104468,0.8164457184613164,0.635620368832855,9.00726670756351e-05,70.4773199460781,0.30149083636100615
T_BLEND_92201,T_BLEND,92201,0.1595693213960891,0.19971191023248241,0.09525474589857472,0.8126217883949192,0.629300011001828,8.429335666859121e-05,70.40099145077153,0.3010715165467719
