panel,kind,condition,contexts,C3_RECENCY_exact_equal_contexts,equal_context_fraction,C3_all_one_context_fraction,mean_abs_gate_difference,max_abs_gate_difference,posthoc,new_model_predictions,optimizer_updates
electricity,standard,REFERENCE,1024,408,0.3984375,0.39453125,0.027480261676828377,1.0,True,0,0
electricity,standard,POINT4,1024,10,0.009765625,0.0048828125,0.027904928308998933,1.0,True,0,0
electricity,standard,POINT8,1024,0,0.0,0.0,0.02782389777712524,1.0,True,0,0
electricity,standard,POINT16,1024,0,0.0,0.0,0.028047221057931893,1.0,True,0,0
electricity,standard,BURST4,1024,11,0.0107421875,0.0009765625,0.0395008177983982,1.0,True,0,0
electricity,standard,BURST8,1024,11,0.0107421875,0.0,0.042978023338946514,1.0,True,0,0
electricity,standard,BURST16,1024,7,0.0068359375,0.0,0.04245959237232455,1.0,True,0,0
electricity,standard,SHIFT4,1024,384,0.375,0.0068359375,0.027402927775256103,1.0,True,0,0
electricity,standard,SHIFT8,1024,456,0.4453125,0.001953125,0.02501536779527669,1.0,True,0,0
electricity,standard,SHIFT_POINT,1024,1,0.0009765625,0.0,0.02738196964855888,1.0,True,0,0
electricity,shape,STEP6_D17,512,215,0.419921875,0.001953125,0.02584556399961002,1.0,True,0,0
electricity,shape,STEP6_D63,512,225,0.439453125,0.0078125,0.023632376549358014,1.0,True,0,0
electricity,shape,STEP12_D17,512,215,0.419921875,0.0,0.02579025088925846,1.0,True,0,0
electricity,shape,STEP12_D63,512,261,0.509765625,0.001953125,0.02000459944974864,1.0,True,0,0
electricity,shape,STEP8_D31,512,228,0.4453125,0.001953125,0.025106820634391624,1.0,True,0,0
electricity,shape,STEP8_D33,512,232,0.453125,0.001953125,0.024871635469025932,1.0,True,0,0
electricity,shape,RAMP8_D32,512,224,0.4375,0.001953125,0.0253392446829821,1.0,True,0,0
electricity,shape,PULSE8_D32,512,227,0.443359375,0.001953125,0.02516830083914101,1.0,True,0,0
electricity,shape,PAIRED_SHIFT8_D32,512,227,0.443359375,0.001953125,0.02516830083914101,1.0,True,0,0
electricity_transfer,standard,REFERENCE,4096,2672,0.65234375,0.6484375,0.0207062902936741,1.0,True,0,0
electricity_transfer,standard,POINT4,4096,96,0.0234375,0.013427734375,0.021263491546051227,1.0,True,0,0
electricity_transfer,standard,POINT8,4096,7,0.001708984375,0.0,0.021380171328928554,1.0,True,0,0
