panel,kind,condition,arm,seed,nmae,mae,normalized_mse,pinball,crossing
electricity,shape,PAIRED_SHIFT8_D32,C0,81551,0.21142078463748246,13.783960023444152,0.16771648808912534,0.17301395010613094,0.00018310546875
electricity,shape,PAIRED_SHIFT8_D32,C0,81552,0.2143870549534957,13.806072913704034,0.16960578031424736,0.17636629834535997,0.0006103515625
electricity,shape,PAIRED_SHIFT8_D32,C0,81553,0.2083058927238127,13.581998136519726,0.16631511316321623,0.16951863069231113,4.9591064453125e-05
electricity,shape,PAIRED_SHIFT8_D32,C2,81551,0.20505801983541472,13.429455710805604,0.1633901258974887,0.16889890633188673,0.001827239990234375
electricity,shape,PAIRED_SHIFT8_D32,C2,81552,0.21016006454604294,13.523435527442944,0.1664279430768605,0.1728226147030927,0.00311279296875
electricity,shape,PAIRED_SHIFT8_D32,C2,81553,0.20471650191958302,13.293202388711366,0.16237218089902233,0.16736482577581116,0.001434326171875
electricity,shape,PAIRED_SHIFT8_D32,C3,81551,0.20478331838228295,13.391985777561056,0.1624594253587069,0.1684548768383346,0.0010223388671875
electricity,shape,PAIRED_SHIFT8_D32,C3,81552,0.20495632134116135,13.207620875162494,0.16349914006385674,0.1686081019043513,0.002269744873046875
electricity,shape,PAIRED_SHIFT8_D32,C3,81553,0.20506294612476453,13.31911281765932,0.16318613883553235,0.1672849946551771,0.0005035400390625
electricity,shape,PAIRED_SHIFT8_D32,C3_W_RECENCY_G,81551,0.20503166937096343,13.397752141758208,0.1628596356165918,0.16863186178591894,0.001026153564453125
electricity,shape,PAIRED_SHIFT8_D32,C3_W_RECENCY_G,81552,0.20496165139776906,13.206361672254282,0.16347196293530503,0.1686239524512055,0.0022735595703125
electricity,shape,PAIRED_SHIFT8_D32,C3_W_RECENCY_G,81553,0.20526848487864657,13.323839186592847,0.16360338839307353,0.1674625156761532,0.0005035400390625
electricity,shape,PAIRED_SHIFT8_D32,F0,0,0.3239126702860632,21.68241803943128,0.29340779969240044,0.28775113958942417,0.000225067138671875
electricity,shape,PAIRED_SHIFT8_D32,FIX_C2_GC2,81551,0.2088059125347873,13.624492612900493,0.1646993827930459,0.17224520116614203,0.0050048828125
electricity,shape,PAIRED_SHIFT8_D32,FIX_C2_GC2,81552,0.21016006454604297,13.523435527442944,0.16642794307686054,0.17282261470309276,0.00311279296875
electricity,shape,PAIRED_SHIFT8_D32,FIX_C2_GC2,81553,0.20471650191958304,13.293202388711366,0.16237218089902236,0.16736482577581122,0.001434326171875
electricity,shape,PAIRED_SHIFT8_D32,FIX_C2_GC3,81551,0.20697739619307387,13.501869059906424,0.16419748326014197,0.16974403195082813,0.000152587890625
electricity,shape,PAIRED_SHIFT8_D32,FIX_C2_GC3,81552,0.21024010338301777,13.52112935279902,0.16685095366785646,0.17290204999259584,0.003692626953125
electricity,shape,PAIRED_SHIFT8_D32,FIX_C2_GC3,81553,0.205821428829668,13.354707074289038,0.16378819134446768,0.16786640026460395,4.9591064453125e-05
electricity,shape,PAIRED_SHIFT8_D32,FIX_C3_GC2,81551,0.20710541242292185,13.55539396989341,0.16485499543137846,0.17079966403718472,0.006168365478515625
electricity,shape,PAIRED_SHIFT8_D32,FIX_C3_GC2,81552,0.20969540251653798,13.542974018205626,0.16620697827953435,0.17265770083031848,0.000858306884765625
electricity,shape,PAIRED_SHIFT8_D32,FIX_C3_GC2,81553,0.20444040349572273,13.327736756393637,0.1632466971128254,0.16709030806960573,0.00272369384765625
electricity,shape,PAIRED_SHIFT8_D32,FIX_C3_GC3,81551,0.20549214519604123,13.397298962514139,0.1626401627390196,0.1691515535918283,0.001209259033203125
electricity,shape,PAIRED_SHIFT8_D32,FIX_C3_GC3,81552,0.20594848758418766,13.259556825058754,0.16409839294716183,0.16950484409804845,0.002254486083984375
electricity,shape,PAIRED_SHIFT8_D32,FIX_C3_GC3,81553,0.20506294612476456,13.31911281765932,0.1631861388355324,0.16728499465517715,0.0005035400390625
electricity,shape,PAIRED_SHIFT8_D32,M_MEAN,81551,0.20501019499571485,13.432569564049999,0.16334276742587905,0.16889185654673228,0.002044677734375
electricity,shape,PAIRED_SHIFT8_D32,M_MEAN,81552,0.20894709437191292,13.447617000420086,0.16574650979969857,0.17189923109518618,0.00281524658203125
electricity,shape,PAIRED_SHIFT8_D32,M_MEAN,81553,0.20482295837300638,13.29928245755809,0.16249943969423233,0.167417494845274,0.001499176025390625
electricity,shape,PAIRED_SHIFT8_D32,M_RECENCY,81551,0.20528135498552608,13.414741239237944,0.16290177075572237,0.1688363320869801,0.00115966796875
electricity,shape,PAIRED_SHIFT8_D32,M_RECENCY,81552,0.20503378683250695,13.217611147904467,0.16348787173743437,0.1687270034240328,0.002941131591796875
electricity,shape,PAIRED_SHIFT8_D32,M_RECENCY,81553,0.20502694343610567,13.320203341682998,0.1632267285611897,0.1672938162121979,0.0006256103515625
electricity,shape,PAIRED_SHIFT8_D32,M_ROTATE16,81551,0.20525933838778032,13.446490338924795,0.16343978907949197,0.16910860877839087,0.00269317626953125
electricity,shape,PAIRED_SHIFT8_D32,M_ROTATE16,81552,0.21003725758870712,13.514659124666512,0.1664608114169298,0.17275289785769404,0.002834320068359375
electricity,shape,PAIRED_SHIFT8_D32,M_ROTATE16,81553,0.20469030848187955,13.287969263351492,0.16231125984266367,0.16733466103521694,0.001399993896484375
electricity,shape,PAIRED_SHIFT8_D32,PERSISTENCE,0,0.5094778212370088,41.91894565100648,0.7546104224425948,0.5094778212370088,0.0
electricity,shape,PAIRED_SHIFT8_D32,RECENCY_W_C3_G,81551,0.20512117339652355,13.411503966551951,0.16253758133910817,0.16872856175152626,0.00115966796875
electricity,shape,PAIRED_SHIFT8_D32,RECENCY_W_C3_G,81552,0.2050328829572077,13.218968578170864,0.16353900948836297,0.1687361184917625,0.002933502197265625
electricity,shape,PAIRED_SHIFT8_D32,RECENCY_W_C3_G,81553,0.20496138507322464,13.318811734470742,0.1628895789734971,0.1672153736868783,0.0006256103515625
electricity,shape,PAIRED_SHIFT8_D32,SEASONAL,0,0.23605420759629395,16.767212300197567,0.2404595301390103,0.23605420759629395,0.0
electricity,shape,PULSE8_D32,C0,81551,2.993564815341061,227.36221388525155,13.325944659597024,2.8912659557006837,0.00018310546875
electricity,shape,PULSE8_D32,C0,81552,2.9513351355726445,223.56778593568015,12.893512066750057,2.8377340143590426,0.0006103515625
electricity,shape,PULSE8_D32,C0,81553,3.0355623950344652,230.91201511553663,13.741531459036112,2.937833553218288,4.9591064453125e-05
electricity,shape,PULSE8_D32,C2,81551,2.988170780966064,226.39645462145563,13.24534106454134,2.8849178424565673,0.001827239990234375
electricity,shape,PULSE8_D32,C2,81552,2.9610386759809084,224.5384540480154,12.990270351867673,2.8574467732403,0.00311279296875
electricity,shape,PULSE8_D32,C2,81553,3.0047850672086382,228.2180468634033,13.436668354851246,2.9120140173067126,0.001434326171875
