panel,kind,condition,comparison,A,B,C,D,total,gate,weights,interaction,total_low,total_high,gate_low,gate_high,weights_low,weights_high
electricity,shape,PAIRED_SHIFT8_D32,C3_vs_C2_fixed1024,0.20550119296833114,0.20708040614506085,0.2076796428019199,0.20789415966680444,0.0023929666984733033,0.0008968650208071305,0.0014961016776661729,-0.0013646963118451594,0.0015229994202967778,0.0033159827836655507,-0.0005215442097799613,0.0023959452551364194,0.0004708061325257241,0.002480300177982952
electricity,shape,PULSE8_D32,C3_vs_C2_fixed1024,2.9957914481944687,2.988668500866774,2.993239392601788,2.9771403033003474,-0.01865114489412134,-0.011611018314567678,-0.007040126579553663,-0.008976141973745744,-0.019963600304606234,-0.017477780794764444,-0.0127503373727809,-0.010436659890582624,-0.008036097713441315,-0.006147167085303729
electricity,shape,RAMP8_D32,C3_vs_C2_fixed1024,0.4896126794891377,0.507106158339882,0.4868406488251769,0.49941618349400657,0.009803504004868846,0.015034506759786986,-0.00523100275491814,-0.004917944181914657,0.008111679288885622,0.011443535441793426,0.01333497691466359,0.01663687440829245,-0.007077092218108907,-0.003517429909532528
electricity,shape,STEP12_D17,C3_vs_C2_fixed1024,0.29328915445892095,0.2968264626170786,0.30090385499012834,0.3025760504626048,0.00928689600368382,0.0026047518153170524,0.006682144188366768,-0.0018651126856812361,0.007390300695213509,0.011194526442505768,0.00010934072028567086,0.005155957806558776,0.004954100315540918,0.00828912429619002
electricity,shape,STEP12_D63,C3_vs_C2_fixed1024,0.21833945102450258,0.22341382310317112,0.22281790589333508,0.21754551750101606,-0.0007939335234865286,-9.900815682524489e-05,-0.0006949253666612837,-0.010346760470987565,-0.0017345155945071862,8.212236507820847e-05,-0.0011678144343434508,0.0010542215926982541,-0.0019335953350252811,0.0005713957841192877
electricity,shape,STEP6_D17,C3_vs_C2_fixed1024,0.23584676096956148,0.23969494273288675,0.23708849165466903,0.2380841709218514,0.002237409952289937,0.0024219305152538284,-0.0001845205629638913,-0.0028525024961428835,0.0009621124325835895,0.0035453619179359104,0.0007834477906429324,0.004189914259320761,-0.0010704113143299727,0.0006437063800769609
electricity,shape,STEP6_D63,C3_vs_C2_fixed1024,0.19509781231434473,0.19483455557108942,0.19717017026121542,0.19427883879368926,-0.0008189735206554638,-0.0015772941053907308,0.000758320584735267,-0.0026280747242708458,-0.0014888692694274245,-0.00012584805387545127,-0.0021621114035066734,-0.0009690406458802689,9.073385394289189e-05,0.001436196377457798
electricity,shape,STEP8_D31,C3_vs_C2_fixed1024,0.208145770041815,0.21016010524903747,0.2083827153525345,0.2088778584190497,0.0007320883772347075,0.0012547391368688404,-0.0005226507596341329,-0.001519192140707254,-5.612343405815566e-05,0.0015369607013855993,2.994429610399391e-05,0.0025383334001275845,-0.0016629587209397781,0.0005617788181972963
electricity,shape,STEP8_D33,C3_vs_C2_fixed1024,0.2083501895588521,0.20987392035123922,0.21065028032492814,0.2111110715118679,0.002760881953015798,0.0009922609896634432,0.0017686209633523547,-0.0010629396054473716,0.0019009537935098394,0.0036463391037951805,-0.0002904110364766028,0.002333825415818014,0.0007916755916370872,0.00270688395235286
electricity,standard,FAULT,C3_vs_C2_fixed1024,0.17308535799439959,0.17316515382429387,0.17286668635329983,0.1729556628604655,-0.00012969513393409904,8.438616852997349e-05,-0.00021408130246407253,9.180677271375393e-06,-0.0003026598479884117,7.098733079949888e-05,-9.594782083069096e-05,0.00031477016995812003,-0.00034787413836112407,-5.95911978721657e-05
