comparison,baseline,candidate,selected,variant,window,seed,baseline_score,candidate_score,effect,relative_percent,ci95_low,ci95_high,bootstrap_block,draws
CONTINUATION_vs_SHARED,SHARED,CONTINUATION,True,ordered,block1,92241,0.16814499618249237,0.16733701131836032,0.0008079848641320065,0.48052864044501636,-0.0032631172446410017,0.004098286988484199,7,2000
CONTINUATION_vs_SHARED,SHARED,CONTINUATION,True,ordered,block1,92242,0.1673409655397162,0.16733701131836032,3.954221355858937e-06,0.0023629727144965267,-0.003968903235150015,0.003703967146386888,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,True,ordered,block1,92241,0.16733701131836032,0.16814499618249237,-0.0008079848641320065,-0.48284886754362794,-0.004098286988484199,0.0032631172446410004,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,True,ordered,block1,92242,0.16733701131836032,0.1673409655397162,-3.954221355858937e-06,-0.002363028552216451,-0.003703967146386889,0.003968903235150014,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,True,ordered,block1,92241,0.17634991750227674,0.16814499618249237,0.008204921319784422,4.652636891468033,0.002055440825101798,0.017530465933901496,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,True,ordered,block1,92242,0.17634991750227674,0.1673409655397162,0.009008951962560569,5.108566020420303,0.0030223489316402517,0.018436886218436373,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,True,ordered,block1,92241,0.16733701131836032,0.16733701131836032,0.0,0.0,0.0,0.0,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,True,ordered,block1,92242,0.16733701131836032,0.16733701131836032,0.0,0.0,0.0,0.0,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,True,ordered,block1,92241,0.17634991750227674,0.16733701131836032,0.009012906183916428,5.110808279113635,0.004251770238882853,0.01648158943612767,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,True,ordered,block1,92242,0.17634991750227674,0.16733701131836032,0.009012906183916428,5.110808279113635,0.004251770238882853,0.01648158943612767,7,2000
CONTINUATION_vs_SHARED,SHARED,CONTINUATION,True,ordered,block2,92241,0.12213131462491059,0.12325867940943332,-0.0011273647845226923,-0.9230759432870189,-0.0020983570041816354,-0.0004566238542198772,7,2000
CONTINUATION_vs_SHARED,SHARED,CONTINUATION,True,ordered,block2,92242,0.12095369528625619,0.1210301963520721,-7.650106581592539e-05,-0.06324822539308363,-0.0014609175274091092,0.0007522454682351556,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,True,ordered,block2,92241,0.1261566490955197,0.12213131462491059,0.004025334470609117,3.1907430162966186,-0.0036889566348356495,0.014245501372824066,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,True,ordered,block2,92242,0.1261566490955197,0.12095369528625619,0.005202953809263525,4.124201020371191,-0.0008197297671620264,0.013237951286766797,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,True,ordered,block2,92241,0.12567173555479189,0.12213131462491059,0.0035404209298813016,2.817197450366796,-0.002790403035329688,0.012328092608924134,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,True,ordered,block2,92242,0.12567173555479189,0.12095369528625619,0.00471804026853571,3.7542572701072245,-0.00015283617068697123,0.011817712289600076,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,True,ordered,block2,92241,0.1261566490955197,0.12325867940943332,0.002897969686086425,2.2971200542051444,-0.005188717354505899,0.01328664342483958,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,True,ordered,block2,92242,0.1261566490955197,0.1210301963520721,0.0051264527434476,4.063561278935136,-0.0005383155506136764,0.01195414949997972,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,True,ordered,block2,92241,0.12567173555479189,0.12325867940943332,0.0024130561453586086,1.9201263790190084,-0.004284166162704744,0.0114822378679921,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,True,ordered,block2,92242,0.12567173555479189,0.1210301963520721,0.0046415392027197855,3.6933835458141746,-5.337142839943944e-05,0.010718872311194899,7,2000
CONTINUATION_vs_SHARED,SHARED,CONTINUATION,True,ordered,full128,92241,0.14513815540370145,0.1452978453638968,-0.00015968996019534136,-0.11002617454464751,-0.0022382463885573583,0.0014263631351539678,7,2000
CONTINUATION_vs_SHARED,SHARED,CONTINUATION,True,ordered,full128,92242,0.14414733041298616,0.14418360383521622,-3.627342223003348e-05,-0.025164130425541303,-0.0026079788635532783,0.0020320974417831292,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,True,ordered,full128,92241,0.14674683020694004,0.14513815540370145,0.001608674803238557,1.0962245664659764,-0.0035931474198899723,0.008444600454487652,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,True,ordered,full128,92242,0.14674683020694004,0.14414733041298616,0.0025994997939538357,1.7714180199245917,-0.001757413740769423,0.008118806505220134,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,True,ordered,full128,92241,0.15101082652853434,0.14513815540370145,0.0058726711248328605,3.88890734514536,0.0002544769005151403,0.013318191076621586,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,True,ordered,full128,92242,0.15101082652853434,0.14414733041298616,0.00686349611554814,4.545035792020702,0.0021791420879761223,0.01356727517558684,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,True,ordered,full128,92241,0.14674683020694004,0.1452978453638968,0.0014489848430432157,0.9874045258762302,-0.0025943586772529483,0.006643321712419796,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,True,ordered,full128,92242,0.14674683020694004,0.14418360383521622,0.0025632263717238024,1.7466996514399658,-0.0002691577753068387,0.005977074749989864,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,True,ordered,full128,92241,0.15101082652853434,0.1452978453638968,0.00571298116463752,3.783159986584162,0.0013269859852105767,0.011431968944658828,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,True,ordered,full128,92242,0.15101082652853434,0.14418360383521622,0.006827222693318106,4.521015380329752,0.0032210740953462587,0.011654317297392065,7,2000
CONTINUATION_vs_SHARED,SHARED,CONTINUATION,True,affine,block1,92241,0.16814499618249237,0.16733701131836032,0.0008079848641320065,0.48052864044501636,-0.0032631172446410017,0.004098286988484199,7,2000
CONTINUATION_vs_SHARED,SHARED,CONTINUATION,True,affine,block1,92242,0.1673409655397162,0.16733701131836032,3.954221355858937e-06,0.0023629727144965267,-0.003968903235150015,0.003703967146386888,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,True,affine,block1,92241,0.16733701131836032,0.16814499618249237,-0.0008079848641320065,-0.48284886754362794,-0.004098286988484199,0.0032631172446410004,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,True,affine,block1,92242,0.16733701131836032,0.1673409655397162,-3.954221355858937e-06,-0.002363028552216451,-0.003703967146386889,0.003968903235150014,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,True,affine,block1,92241,0.17634991750227674,0.16814499618249237,0.008204921319784422,4.652636891468033,0.002055440825101798,0.017530465933901496,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,True,affine,block1,92242,0.17634991750227674,0.1673409655397162,0.009008951962560569,5.108566020420303,0.0030223489316402517,0.018436886218436373,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,True,affine,block1,92241,0.16733701131836032,0.16733701131836032,0.0,0.0,0.0,0.0,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,True,affine,block1,92242,0.16733701131836032,0.16733701131836032,0.0,0.0,0.0,0.0,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,True,affine,block1,92241,0.17634991750227674,0.16733701131836032,0.009012906183916428,5.110808279113635,0.004251770238882853,0.01648158943612767,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,True,affine,block1,92242,0.17634991750227674,0.16733701131836032,0.009012906183916428,5.110808279113635,0.004251770238882853,0.01648158943612767,7,2000
CONTINUATION_vs_SHARED,SHARED,CONTINUATION,True,affine,block2,92241,0.12213131462491059,0.12325867940943332,-0.0011273647845226923,-0.9230759432870189,-0.0020983570041816354,-0.0004566238542198772,7,2000
CONTINUATION_vs_SHARED,SHARED,CONTINUATION,True,affine,block2,92242,0.12095369528625619,0.1210301963520721,-7.650106581592539e-05,-0.06324822539308363,-0.0014609175274091092,0.0007522454682351556,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,True,affine,block2,92241,0.12365074686281485,0.12213131462491059,0.0015194322379042525,1.2288095918983903,-0.006456458359650049,0.012493043857406246,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,True,affine,block2,92242,0.12365074686281485,0.12095369528625619,0.002697051576558661,2.181185027172484,-0.0034244588216353167,0.011444026015639803,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,True,affine,block2,92241,0.12567173555479189,0.12213131462491059,0.0035404209298813016,2.817197450366796,-0.002790403035329688,0.012328092608924134,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,True,affine,block2,92242,0.12567173555479189,0.12095369528625619,0.00471804026853571,3.7542572701072245,-0.00015283617068697123,0.011817712289600076,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,True,affine,block2,92241,0.12365074686281485,0.12325867940943332,0.00039206745338155947,0.31707649434298885,-0.008080747510811937,0.011771783014647614,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,True,affine,block2,92242,0.12365074686281485,0.1210301963520721,0.002620550510742735,2.119316362601627,-0.003132771750409589,0.010186402429096792,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,True,affine,block2,92241,0.12567173555479189,0.12325867940943332,0.0024130561453586086,1.9201263790190084,-0.004284166162704744,0.0114822378679921,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,True,affine,block2,92242,0.12567173555479189,0.1210301963520721,0.0046415392027197855,3.6933835458141746,-5.337142839943944e-05,0.010718872311194899,7,2000
CONTINUATION_vs_SHARED,SHARED,CONTINUATION,True,affine,full128,92241,0.14513815540370145,0.1452978453638968,-0.00015968996019534136,-0.11002617454464751,-0.0022382463885573583,0.0014263631351539678,7,2000
CONTINUATION_vs_SHARED,SHARED,CONTINUATION,True,affine,full128,92242,0.14414733041298616,0.14418360383521622,-3.627342223003348e-05,-0.025164130425541303,-0.0026079788635532783,0.0020320974417831292,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,True,affine,full128,92241,0.14549387909058759,0.14513815540370145,0.0003557236868861205,0.24449391899480005,-0.005064373871803038,0.007494209907170934,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,True,affine,full128,92242,0.14549387909058759,0.14414733041298616,0.0013465486776013992,0.9255019427745359,-0.0031340365371755026,0.007249743512979015,7,2000
