key,phase,seconds,units,ms_per_unit,peak_allocated_mib,trainable_parameters,selected_step,conditional_forward_calls,backward_calls,peak_reserved_mib
SHARED_s92241,training,44.36096020016703,512,86.64250039095123,465.96044921875,294912.0,256.0,1024.0,1024.0,
CONTINUATION_s92241,training,34.87633219984127,512,68.11783632781498,465.22607421875,294912.0,256.0,1024.0,512.0,
SHARED_s92242,training,43.64884050001274,512,85.25164160158738,466.35107421875,294912.0,256.0,1024.0,1024.0,
CONTINUATION_s92242,training,34.81172460038215,512,67.99164961012139,465.22607421875,294912.0,256.0,1024.0,512.0,
CHRONOS2_DIRECT,inference,1.3835732000006828,544,2.5433330882365492,533.6005859375,,,,,556.0
CONTINUATION_s92241,inference,2.9831144000054337,544,5.483666176480576,334.5703125,,,,,378.0
CONTINUATION_s92241_fixed512,inference,3.0975405999924988,544,5.6940084558685635,334.5703125,,,,,378.0
CONTINUATION_s92242,inference,3.100180300010834,544,5.69886084560815,334.5703125,,,,,378.0
CONTINUATION_s92242_fixed512,inference,2.9629248999990523,544,5.446553124998258,334.5703125,,,,,378.0
F0_NATIVE,inference,2.3215796999866143,544,4.267609742622453,333.4453125,,,,,376.0
SHARED_s92241,inference,2.78939530000207,544,5.127564889709688,334.5703125,,,,,378.0
SHARED_s92241_fixed512,inference,2.7668000000121538,544,5.086029411787047,334.5703125,,,,,378.0
SHARED_s92242,inference,2.744456300017191,544,5.0449564338551305,334.5703125,,,,,378.0
SHARED_s92242_fixed512,inference,2.9427883000171278,544,5.409537316207955,334.5703125,,,,,378.0
