comparison,baseline,candidate,selected,variant,window,baseline_score,candidate_score,effect,relative_percent,ci95_low,ci95_high,bootstrap_block,draws
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,True,ordered,block1,0.16733701131836032,0.16774298086110426,-0.00040596954274393346,-0.2426059480479056,-0.003775303388351039,0.00367972393513753,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,True,ordered,block1,0.17634991750227674,0.16774298086110426,0.008606936641172491,4.880601455944184,0.002497239393680925,0.017996217355911597,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,True,ordered,block1,0.16733701131836032,0.16733701131836032,0.0,0.0,0.0,0.0,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,True,ordered,block1,0.17634991750227674,0.16733701131836032,0.009012906183916428,5.110808279113635,0.004251770238882853,0.01648158943612767,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,True,ordered,block2,0.1261566490955197,0.12154250495558339,0.00461414413993632,3.657472018333905,-0.002159983017557675,0.013649607204977071,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,True,ordered,block2,0.12567173555479189,0.12154250495558339,0.004129230599208505,3.2857273602370105,-0.0013774920652643136,0.01207173636709156,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,True,ordered,block2,0.1261566490955197,0.1221444378807527,0.004012211214767011,3.1803406665701566,-0.0028773785390453117,0.012574906410571867,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,True,ordered,block2,0.12567173555479189,0.1221444378807527,0.0035272976740391964,2.806754962416608,-0.001868348529189867,0.01101649170356589,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,True,ordered,full128,0.14674683020694002,0.1446427429083438,0.002104087298596196,1.433821293195284,-0.002584255389297628,0.00811033007036249,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,True,ordered,full128,0.15101082652853434,0.1446427429083438,0.006368083620190501,4.216971568583031,0.00116607008694399,0.013327646969369581,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,True,ordered,full128,0.14674683020694002,0.14474072459955653,0.0020061056073835087,1.3670520886580886,-0.0014386892695226522,0.006287453205285937,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,True,ordered,full128,0.15101082652853434,0.14474072459955653,0.0062701019289778115,4.152087683456948,0.0023386476828897614,0.011548143583411627,7,2000
