key,arm,seed,selected,variant,window,series,scaled_pinball,raw_mae,scaled_rmse,coverage80,scaled_width80,pce,crossing
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,36,0.16865110763717328,2.0696721549923978,0.45398745858260653,0.8685661764705882,0.7154580470861721,0.1995251225490196,0.021714154411764705
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,10,0.17913223979229081,2.0994875851949257,0.48475687496461783,0.8846507352941176,0.7266061605011269,0.19366319444444444,0.021627987132352942
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,44,0.1642380869695298,2.87209782687526,0.41758166793364915,0.9051011029411765,0.733676982169221,0.1744127859477124,0.026999080882352942
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,119,0.172766874471537,1.4896347843795785,0.4725547412848112,0.8586856617647058,0.7098605372506702,0.1964613970588235,0.022374770220588234
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,62,0.18197184464443136,2.1570967282344045,0.5068524609160201,0.8876378676470589,0.7488336157585076,0.20448835784313724,0.020421645220588234
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,104,0.19608483189687442,3.745505918388731,0.5440880282403574,0.8414522058823529,0.8021619895524152,0.20909926470588236,0.02030675551470588
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,116,0.17599038216094498,2.1823141307977494,0.48285623803826294,0.8517922794117647,0.7090860968890809,0.20223141339869283,0.023380055147058824
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,118,0.17202181803576305,2.077500839894021,0.4734262776678695,0.8616727941176471,0.69742943608372,0.19610396241830066,0.022116268382352942
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block2,36,0.11975376514663638,1.4658298676941366,0.3792878953193407,0.8501838235294118,0.509837801034352,0.24346405228758167,0.031192555147058824
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block2,10,0.12506585988300875,1.455039068714969,0.400759632469006,0.8837316176470589,0.5115800050180086,0.2276705473856209,0.030675551470588234
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block2,44,0.12215739625042336,2.0926717608862795,0.35440026982871253,0.9175091911764706,0.5417605842322948,0.2196537990196078,0.04348575367647059
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block2,119,0.12145352237575616,1.0481139544525135,0.3918965328065217,0.8478860294117647,0.5043499767479385,0.23797487745098037,0.03372012867647059
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block2,62,0.1279076322046349,1.5135251358530213,0.42568077688317835,0.8892463235294118,0.5251922495438198,0.23508986928104575,0.027573529411764705
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block2,104,0.14164432634367305,2.678678634169474,0.4586721240489839,0.7973345588235294,0.5755605248831968,0.2565359477124183,0.028664981617647058
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block2,116,0.12741022705625935,1.570825949892049,0.40836517097554603,0.8329503676470589,0.5024102488507707,0.24211090686274506,0.034380744485294115
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block2,118,0.12004623599615423,1.4437572046427865,0.3899906404523265,0.8573069852941176,0.4965354782340184,0.23330269607843135,0.030215992647058824
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,full128,36,0.14420243639190486,1.767751011343267,0.41830845083865387,0.859375,0.612647924060262,0.22149458741830064,0.026453354779411766
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,full128,10,0.1520990498376498,1.7772633269549474,0.4447457199581323,0.8841911764705882,0.6190930827595676,0.21066687091503267,0.02615176930147059
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,full128,44,0.14319774160997656,2.4823847938807697,0.38728155174815176,0.9113051470588235,0.6377187832007579,0.19703329248366014,0.03524241727941176
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,full128,119,0.14711019842364656,1.268874369416046,0.43410302690520824,0.8532858455882353,0.6071052569993043,0.21721813725490194,0.02804744944852941
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,full128,62,0.1549397384245331,1.835310932043713,0.46802966836755766,0.8884420955882353,0.6370129326511637,0.21970741421568626,0.02399758731617647
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,full128,104,0.16886457912027372,3.2120922762791024,0.5031957371908502,0.8193933823529411,0.6888612572178059,0.23281760620915032,0.02448586856617647
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,full128,116,0.15170030460860218,1.8765700403448993,0.4471645443672556,0.8423713235294118,0.6057481728699257,0.22217116013071894,0.02888039981617647
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,full128,118,0.14603402701595866,1.7606290222684038,0.4337194600354418,0.8594898897058824,0.5969824571588691,0.21470332924836602,0.02616613051470588
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,ordered,block1,36,0.16864323711508575,2.069517801204604,0.4539870280179679,0.8685661764705882,0.7156285077203551,0.1995251225490196,0.0
