fit,source,arm,b,i,o,step,probe_loss,gradient_norm,down_gradient_norm,up_gradient_norm,down_relative_drift,up_parameter_norm,residual_relative_norm,tanh_saturation_fraction
electricity_C3_b81551_i81551_o81551_lr0.0003,electricity,C3,81551,81551,81551,0,0.16932247206568718,0.005258318900192644,0.0,0.005258318900192644,0.0,0.0,0.0,0.0
electricity_C3_b81551_i81551_o81551_lr0.0003,electricity,C3,81551,81551,81551,256,0.1682370975613594,0.010188049418922183,0.0011684225017754748,0.010120827032399346,0.5932438969612122,0.7403017282485962,0.048335363157093525,0.0
electricity_C3_b81551_i81551_o81551_lr0.0003,electricity,C3,81551,81551,81551,512,0.16760580614209175,0.013924146123651062,0.0016526013517623559,0.013825727975225757,0.9499255418777466,1.019378423690796,0.08056046441197395,0.0
electricity_C3_b81551_i81551_o81551_lr0.0003,electricity,C3,81551,81551,81551,768,0.16821018978953362,0.015531576144607718,0.0021543319222348447,0.015381440488607933,1.0955982208251953,1.1544530391693115,0.08489594608545303,0.0
electricity_C3_b81551_i81551_o81551_lr0.0003,electricity,C3,81551,81551,81551,1024,0.16785012185573578,0.017467370340593227,0.0019107494257915773,0.01736254771763848,1.3475747108459473,1.315802812576294,0.11162297427654266,2.384185791015625e-06
electricity_MAG_ONLY_b81551_i81551_o81551_lr0.0003,electricity,MAG_ONLY,81551,81551,81551,0,0.16932247206568718,0.005041128661439831,0.0,0.005041128661439831,0.0,0.0,0.0,0.0
electricity_MAG_ONLY_b81551_i81551_o81551_lr0.0003,electricity,MAG_ONLY,81551,81551,81551,256,0.16833488270640373,0.009683665419824005,0.0010654593589511571,0.009624872587079716,0.5936072468757629,0.7454175353050232,0.049626498483121395,0.0
electricity_MAG_ONLY_b81551_i81551_o81551_lr0.0003,electricity,MAG_ONLY,81551,81551,81551,512,0.1677994318306446,0.013613849990822796,0.0016605915292366305,0.013512192543982393,0.9525116682052612,1.0098472833633423,0.08137600496411324,0.0
electricity_MAG_ONLY_b81551_i81551_o81551_lr0.0003,electricity,MAG_ONLY,81551,81551,81551,768,0.1683306023478508,0.014804541641386764,0.0019301947821217728,0.014678174318171335,1.1239218711853027,1.1436303853988647,0.08737361244857311,0.0
electricity_MAG_ONLY_b81551_i81551_o81551_lr0.0003,electricity,MAG_ONLY,81551,81551,81551,1024,0.16806978359818459,0.01743882666393047,0.001894463574259425,0.017335618915412753,1.390873908996582,1.3018449544906616,0.1150189395993948,2.86102294921875e-06
electricity_C3_b81551_i81551_o81552_lr0.0003,electricity,C3,81551,81551,81552,0,0.16932247206568718,0.005258318900192644,0.0,0.005258318900192644,0.0,0.0,0.0,0.0
electricity_C3_b81551_i81551_o81552_lr0.0003,electricity,C3,81551,81551,81552,256,0.16831877827644348,0.009865895994043505,0.0010723965403532229,0.009807439493849662,0.5708212852478027,0.7245047688484192,0.04621317982673645,0.0
electricity_C3_b81551_i81551_o81552_lr0.0003,electricity,C3,81551,81551,81552,512,0.16763973608613014,0.013892083370731003,0.0017099302083053007,0.013786446933929929,0.9319025874137878,1.0018877983093262,0.07952497154474258,0.0
electricity_C3_b81551_i81551_o81552_lr0.0003,electricity,C3,81551,81551,81552,768,0.16815242171287537,0.01566739543474787,0.00199815661741572,0.015539454618519794,1.1162694692611694,1.1482131481170654,0.08833058923482895,0.0
electricity_C3_b81551_i81551_o81552_lr0.0003,electricity,C3,81551,81551,81552,1024,0.16791335493326187,0.018134597899270036,0.0018806121018722884,0.018036821756908853,1.3612784147262573,1.3033360242843628,0.11372541077435017,2.384185791015625e-06
electricity_MAG_ONLY_b81551_i81551_o81552_lr0.0003,electricity,MAG_ONLY,81551,81551,81552,0,0.16932247206568718,0.005041128661439831,0.0,0.005041128661439831,0.0,0.0,0.0,0.0
electricity_MAG_ONLY_b81551_i81551_o81552_lr0.0003,electricity,MAG_ONLY,81551,81551,81552,256,0.16838514804840088,0.009446516117084174,0.0011265822766173934,0.009379097990976672,0.5729221105575562,0.7271332144737244,0.047078280709683895,0.0
electricity_MAG_ONLY_b81551_i81551_o81552_lr0.0003,electricity,MAG_ONLY,81551,81551,81552,512,0.16781575232744217,0.01350437981281097,0.001850618768326873,0.01337697590275817,0.9299896359443665,0.990337610244751,0.0798483956605196,0.0
electricity_MAG_ONLY_b81551_i81551_o81552_lr0.0003,electricity,MAG_ONLY,81551,81551,81552,768,0.16830464452505112,0.014801744293538059,0.001964626358631844,0.01467078312164199,1.1271384954452515,1.1315537691116333,0.09008065238595009,0.0
electricity_MAG_ONLY_b81551_i81551_o81552_lr0.0003,electricity,MAG_ONLY,81551,81551,81552,1024,0.1681528352200985,0.017583481230284085,0.0018945151717554148,0.01748112194453609,1.3810933828353882,1.279287576675415,0.11595573648810387,9.5367431640625e-07
electricity_C3_b81551_i81552_o81551_lr0.0003,electricity,C3,81551,81552,81551,0,0.16932247206568718,0.0051399179417438625,0.0,0.0051399179417438625,0.0,0.0,0.0,0.0
electricity_C3_b81551_i81552_o81551_lr0.0003,electricity,C3,81551,81552,81551,256,0.1683712676167488,0.009367068276827841,0.0015736637708483805,0.009233934721399852,0.577123761177063,0.8172422647476196,0.04150810372084379,0.0
electricity_C3_b81551_i81552_o81551_lr0.0003,electricity,C3,81551,81552,81551,512,0.16762767732143402,0.01260957183330522,0.0020113470393903414,0.012448123750446093,0.9159094095230103,1.1213703155517578,0.06890132836997509,0.0
electricity_C3_b81551_i81552_o81551_lr0.0003,electricity,C3,81551,81552,81551,768,0.16826508939266205,0.014696157619986423,0.0023821687402621303,0.014501804056199453,1.0487655401229858,1.2554062604904175,0.07462194748222828,0.0
electricity_C3_b81551_i81552_o81551_lr0.0003,electricity,C3,81551,81552,81551,1024,0.1679413765668869,0.01635591041048611,0.00216994983116567,0.01621132699954177,1.279205322265625,1.4188672304153442,0.09391339495778084,4.76837158203125e-07
electricity_MAG_ONLY_b81551_i81552_o81551_lr0.0003,electricity,MAG_ONLY,81551,81552,81551,0,0.16932247206568718,0.00493003692224929,0.0,0.004930036922249289,0.0,0.0,0.0,0.0
electricity_MAG_ONLY_b81551_i81552_o81551_lr0.0003,electricity,MAG_ONLY,81551,81552,81551,256,0.16836323216557503,0.009031150413645054,0.0015872926992987755,0.00889056689309709,0.5989260673522949,0.8266277313232422,0.044028352946043015,0.0
electricity_MAG_ONLY_b81551_i81552_o81551_lr0.0003,electricity,MAG_ONLY,81551,81552,81551,512,0.16767773777246475,0.012334799699743416,0.002213865992351325,0.01213449961888419,0.9477421641349792,1.1184548139572144,0.0714984517544508,0.0
electricity_MAG_ONLY_b81551_i81552_o81551_lr0.0003,electricity,MAG_ONLY,81551,81552,81551,768,0.16831327602267265,0.014185993906379615,0.0024637982621618076,0.013970401613239614,1.0974665880203247,1.2508974075317383,0.07789411582052708,0.0
electricity_MAG_ONLY_b81551_i81552_o81551_lr0.0003,electricity,MAG_ONLY,81551,81552,81551,1024,0.16791903972625732,0.01589838099607476,0.002410082421261863,0.015714643521858068,1.3724576234817505,1.433982491493225,0.09857015311717987,4.76837158203125e-07
electricity_C3_b81551_i81552_o81552_lr0.0003,electricity,C3,81551,81552,81552,0,0.16932247206568718,0.0051399179417438625,0.0,0.0051399179417438625,0.0,0.0,0.0,0.0
electricity_C3_b81551_i81552_o81552_lr0.0003,electricity,C3,81551,81552,81552,256,0.16840948164463043,0.009491981507179843,0.001514727955983649,0.009370342157680569,0.5808197259902954,0.8142610788345337,0.04228068795055151,0.0
electricity_C3_b81551_i81552_o81552_lr0.0003,electricity,C3,81551,81552,81552,512,0.16768919676542282,0.012828941470077916,0.0020607569996483007,0.012662346537316273,0.9180791974067688,1.1015242338180542,0.06938358023762703,0.0
electricity_C3_b81551_i81552_o81552_lr0.0003,electricity,C3,81551,81552,81552,768,0.16815437749028206,0.01504607966068989,0.0022470849842003192,0.014877335857928577,1.1121454238891602,1.260951280593872,0.07830693013966084,0.0
electricity_C3_b81551_i81552_o81552_lr0.0003,electricity,C3,81551,81552,81552,1024,0.1678769811987877,0.017228227193441085,0.0023379078366919563,0.017068860511936852,1.3554258346557617,1.4321136474609375,0.09698053821921349,2.384185791015625e-06
electricity_MAG_ONLY_b81551_i81552_o81552_lr0.0003,electricity,MAG_ONLY,81551,81552,81552,0,0.16932247206568718,0.00493003692224929,0.0,0.004930036922249289,0.0,0.0,0.0,0.0
electricity_MAG_ONLY_b81551_i81552_o81552_lr0.0003,electricity,MAG_ONLY,81551,81552,81552,256,0.16839038208127022,0.008863212429318812,0.001536124562910411,0.008729081045244955,0.595085620880127,0.8288000822067261,0.0426445072516799,0.0
electricity_MAG_ONLY_b81551_i81552_o81552_lr0.0003,electricity,MAG_ONLY,81551,81552,81552,512,0.16774503514170647,0.012285518835950785,0.002285953152797034,0.012070973086363785,0.9500503540039062,1.1209367513656616,0.07075372897088528,0.0
electricity_MAG_ONLY_b81551_i81552_o81552_lr0.0003,electricity,MAG_ONLY,81551,81552,81552,768,0.16820843890309334,0.0142230472622352,0.002394379444030611,0.014020057792383732,1.1513170003890991,1.2744135856628418,0.08088626712560654,0.0
electricity_MAG_ONLY_b81551_i81552_o81552_lr0.0003,electricity,MAG_ONLY,81551,81552,81552,1024,0.16795742511749268,0.016412470422316784,0.002505661770249359,0.016220075352985697,1.4344711303710938,1.4588325023651123,0.1011977568268776,6.67572021484375e-06
electricity_C3_b81552_i81551_o81551_lr0.0003,electricity,C3,81552,81551,81551,0,0.17600557208061218,0.0055597713181045165,0.0,0.005559771318104517,0.0,0.0,0.0,0.0
electricity_C3_b81552_i81551_o81551_lr0.0003,electricity,C3,81552,81551,81551,256,0.17596393451094627,0.008744024330147312,0.0007691317672715458,0.008710131905475479,0.34471672773361206,0.5480002164840698,0.025409794878214598,0.0
electricity_C3_b81552_i81551_o81551_lr0.0003,electricity,C3,81552,81551,81551,512,0.17532390728592873,0.012425092358022308,0.0008981396722494928,0.012392589125542568,0.7353240847587585,0.86223965883255,0.05812725331634283,0.0
electricity_C3_b81552_i81551_o81551_lr0.0003,electricity,C3,81552,81551,81551,768,0.17687299847602844,0.018007540920771697,0.003111119075231363,0.017736754723257545,1.1772416830062866,1.1959888935089111,0.09268229454755783,4.76837158203125e-07
electricity_C3_b81552_i81551_o81551_lr0.0003,electricity,C3,81552,81551,81551,1024,0.17577968910336494,0.018967042548372927,0.001635224414485592,0.01889642146402485,1.4725775718688965,1.3777395486831665,0.11733589507639408,4.76837158203125e-06
electricity_MAG_ONLY_b81552_i81551_o81551_lr0.0003,electricity,MAG_ONLY,81552,81551,81551,0,0.17600557208061218,0.00525422465614445,0.0,0.00525422465614445,0.0,0.0,0.0,0.0
electricity_MAG_ONLY_b81552_i81551_o81551_lr0.0003,electricity,MAG_ONLY,81552,81551,81551,256,0.17594756558537483,0.008601528537465588,0.0008120426448355166,0.00856311157954884,0.38422566652297974,0.5737577676773071,0.02729114331305027,0.0
electricity_MAG_ONLY_b81552_i81551_o81551_lr0.0003,electricity,MAG_ONLY,81552,81551,81551,512,0.17536365613341331,0.011831677223976498,0.0008130245903709872,0.011803710304299081,0.7725740671157837,0.869663655757904,0.05871435161679983,0.0
electricity_MAG_ONLY_b81552_i81551_o81551_lr0.0003,electricity,MAG_ONLY,81552,81551,81551,768,0.17702708393335342,0.016948416951984614,0.003392772001488367,0.016605358632809954,1.2107491493225098,1.1999454498291016,0.09551902301609516,4.76837158203125e-07
electricity_MAG_ONLY_b81552_i81551_o81551_lr0.0003,electricity,MAG_ONLY,81552,81551,81551,1024,0.1761888675391674,0.018369442740139606,0.0021408706949997093,0.018244262091149616,1.5249311923980713,1.3790277242660522,0.11885891295969486,6.67572021484375e-06
electricity_C3_b81552_i81551_o81552_lr0.0003,electricity,C3,81552,81551,81552,0,0.17600557208061218,0.0055597713181045165,0.0,0.005559771318104517,0.0,0.0,0.0,0.0
