source,arm,init,gradient_low_norm,gradient_high_norm,native_cosine,total_difference_norm,Jacobian_component_norm,output_signal_component_norm,components_cosine,Jacobian_change_fixed_signal_cosine,signal_change_fixed_J_cosine,output_to_J_norm_ratio
electricity,C3,81551,0.005673590070044,0.0025701167113581,0.3944184038430349,0.0052242198060552,0.0020225880732238,0.0059452895640043,-0.5049890830506677,0.8993603908656884,0.201095486933473,2.9394465648796753
electricity,C3,81552,0.0055192970221464,0.0025036520457459,0.3931325541116825,0.0050858615768644,0.0019748593465658,0.0057983726632656,-0.5089178709257672,0.8993989874675935,0.1968202304389884,2.9360939923892473
electricity,MAG_ONLY,81551,0.0054814392012876,0.0025007006479698,0.4065369112366043,0.0050154281950664,0.0019399023132271,0.0056932680289509,-0.4989867264177507,0.8998202120151519,0.2252711394220946,2.9348220217748677
electricity,MAG_ONLY,81552,0.005348210872184,0.0024417013731231,0.4047265020399807,0.0048984521841486,0.0018967070512289,0.0055657536973571,-0.5011212779043239,0.8998695921637295,0.2216761307211822,2.9344298022991895
ettm1,C3,81551,0.0052886697351685,0.0042834693026653,0.7337621050615613,0.0036156682588694,0.0027212725502668,0.0026782838528741,-0.1032794616406272,0.8069246907565373,0.8916313241478904,0.9842027225870906
ettm1,C3,81552,0.0051441063976147,0.0041450407238091,0.732702939874316,0.0035209418708372,0.0026501284990238,0.0026097108965595,-0.1038697214556566,0.8060183951026215,0.891362415180593,0.9847488140747938
ettm1,MAG_ONLY,81551,0.0052848101811839,0.0042250928243696,0.7395891856026896,0.0035710404550141,0.0026937542597148,0.0026311519430475,-0.1006636361395043,0.8086030302917074,0.894993409331047,0.9767601976158256
ettm1,MAG_ONLY,81552,0.0051464734014299,0.0041005442134347,0.7389488544963473,0.0034802400677634,0.0026248558274364,0.0025645502585893,-0.1006239458503742,0.8080599347557461,0.8948953535526414,0.977025188120142
