source,batch,v_disagreement_fraction,v_cosine,h_max_difference
electricity,0,0.08203125,0.8321330118154161,0.0
electricity,1,0.0870768204331398,0.8168828406721018,0.0
electricity,2,0.0871853306889534,0.815056867376675,0.0
electricity,3,0.05810546875,0.875699611436099,0.0
electricity,4,0.0719943568110466,0.8302851366959298,0.0
electricity,5,0.08203125,0.8784456811045351,0.0
electricity,6,0.0753038227558136,0.8721364108271537,0.0
electricity,7,0.0755208358168602,0.8592113657992669,0.0
electricity,8,0.06982421875,0.8778377843736842,0.0
electricity,9,0.0752495676279068,0.869361076788964,0.0
electricity,10,0.0632052943110466,0.8847569931079015,0.0
electricity,11,0.0686848983168602,0.8774931286246258,0.0
electricity,12,0.0793185755610466,0.8929426649117276,0.0
electricity,13,0.0732421875,0.8432200373168258,0.0
electricity,14,0.067762590944767,0.8699873441849584,0.0
electricity,15,0.0715603306889534,0.8668621760234506,0.0
electricity,16,0.0653754323720932,0.8779898967944987,0.0
electricity,17,0.0623914934694767,0.8813548182977925,0.0
electricity,18,0.0707465261220932,0.8649424990400468,0.0
electricity,19,0.0673285573720932,0.8501021301358381,0.0
electricity,20,0.06982421875,0.8644209603354055,0.0
electricity,21,0.0657552108168602,0.8457754402946468,0.0
electricity,22,0.0712348073720932,0.839064145596655,0.0
electricity,23,0.0655924454331398,0.8650676128306617,0.0
electricity,24,0.0754123255610466,0.8444893474013322,0.0
electricity,25,0.0730251744389534,0.8204197480461869,0.0
electricity,26,0.0685763880610466,0.8406314033265753,0.0
electricity,27,0.0803493931889534,0.8387738247563692,0.0
electricity,28,0.0670572891831398,0.8791841083748195,0.0
electricity,29,0.068359375,0.8653825001743903,0.0
electricity,30,0.074598528444767,0.8546546776069808,0.0
electricity,31,0.0753580704331398,0.8417855522459042,0.0
ettm1,0,0.0406358502805233,0.8780204731958942,0.0
ettm1,1,0.0513237863779068,0.8842953434984154,0.0
ettm1,2,0.0515407994389534,0.8545052195218636,0.0
ettm1,3,0.0374891497194767,0.9118489181294397,0.0
ettm1,4,0.0368923619389534,0.9043998192585104,0.0
ettm1,5,0.0347222238779068,0.913715480097786,0.0
ettm1,6,0.0429144985973835,0.8815247199950798,0.0
ettm1,7,0.0426974818110466,0.880832384082514,0.0
ettm1,8,0.0486111119389534,0.8886866290581694,0.0
ettm1,9,0.0508355051279068,0.8489608518082759,0.0
ettm1,10,0.0531141497194767,0.8469807465079832,0.0
ettm1,11,0.0485026054084301,0.8670918403312665,0.0
ettm1,12,0.0411783866584301,0.8857573535354437,0.0
ettm1,13,0.05517578125,0.8585364752469634,0.0
ettm1,14,0.0512152798473835,0.8782848499928629,0.0
ettm1,15,0.0577799491584301,0.8274109832845107,0.0
ettm1,16,0.048828125,0.8875763348303459,0.0
ettm1,17,0.0552300363779068,0.8514303121936905,0.0
ettm1,18,0.0687934011220932,0.8384197825040202,0.0
ettm1,19,0.0614691860973835,0.8782641277850022,0.0
ettm1,20,0.0750325545668602,0.8499264326528978,0.0
ettm1,21,0.0480143241584301,0.8956917605309137,0.0
ettm1,22,0.0637478306889534,0.8458115818234421,0.0
ettm1,23,0.0557725690305233,0.8849547796794685,0.0
ettm1,24,0.0447591133415699,0.9062931237578928,0.0
ettm1,25,0.0556640625,0.8899168465922769,0.0
ettm1,26,0.0521375872194767,0.8622042565658896,0.0
ettm1,27,0.0566948801279068,0.8168714563622298,0.0
ettm1,28,0.0565863735973835,0.8567470885186226,0.0
ettm1,29,0.0434027798473835,0.8831747722561016,0.0
ettm1,30,0.0507269985973835,0.8337514781583681,0.0
ettm1,31,0.0475260429084301,0.8815828367832345,0.0
