source,B0,init,arm,first_batch_overlap,gradient_cosine,gradient_relative_difference
electricity,81551,81551,C3,1,0.7304858707268529,0.6894888281822205
electricity,81551,81551,MAG_ONLY,1,0.7412261869869511,0.6775010824203491
electricity,81551,81552,C3,1,0.733159660084579,0.6855161786079407
electricity,81551,81552,MAG_ONLY,1,0.7438916169975955,0.673541247844696
electricity,81552,81551,C3,1,0.8031575453398309,0.601067066192627
electricity,81552,81551,MAG_ONLY,1,0.8123597711951419,0.5901150107383728
electricity,81552,81552,C3,1,0.8068588779204958,0.5966988801956177
electricity,81552,81552,MAG_ONLY,1,0.8158713794443916,0.5858938097953796
ettm1,81551,81551,C3,2,0.21478603636515803,1.2737720012664795
ettm1,81551,81551,MAG_ONLY,2,0.22335978426311692,1.271095871925354
ettm1,81551,81552,C3,2,0.2188709095664103,1.267317533493042
ettm1,81551,81552,MAG_ONLY,2,0.2262489665936827,1.2662245035171509
ettm1,81552,81551,C3,2,0.2617054382622576,1.3055901527404785
ettm1,81552,81551,MAG_ONLY,2,0.2600397294589672,1.3119056224822998
ettm1,81552,81552,C3,2,0.2671040233572927,1.3004698753356934
ettm1,81552,81552,MAG_ONLY,2,0.2648111499925448,1.3075525760650635
