panel,kind,arm,trained_b,received_b,i,o,condition,nmae,pinball
electricity,shape,C3,81551,81552,81552,81551,RAMP8_D32,0.4950393079048228,0.3880417368556929
electricity,shape,C3,81551,81552,81552,81551,STEP12_D17,0.3553498007081735,0.28793229045134805
electricity,shape,C3,81551,81552,81552,81551,STEP12_D63,0.20565186671533014,0.17025120149831086
electricity,shape,C3,81551,81552,81552,81551,STEP6_D17,0.2554784272168519,0.208373985205348
electricity,shape,C3,81551,81552,81552,81551,STEP6_D63,0.18843201155201517,0.15489727114919422
electricity,shape,C3,81551,81552,81552,81551,STEP8_D31,0.23059908729043282,0.19085732554555324
electricity,shape,C3,81551,81552,81552,81551,STEP8_D33,0.2311443643033618,0.18999265096350768
electricity,shape,C3,81551,81552,81552,81552,PAIRED_SHIFT8_D32,0.2215853885368698,0.18259297399501717
electricity,shape,C3,81551,81552,81552,81552,PULSE8_D32,2.9370055504477683,2.823186791096547
electricity,shape,C3,81551,81552,81552,81552,RAMP8_D32,0.48827158725203235,0.38256927842438565
electricity,shape,C3,81551,81552,81552,81552,STEP12_D17,0.3428115152339771,0.27886790131697226
electricity,shape,C3,81551,81552,81552,81552,STEP12_D63,0.20660359860591915,0.17088985600276205
electricity,shape,C3,81551,81552,81552,81552,STEP6_D17,0.2530480545599112,0.206642806166543
electricity,shape,C3,81551,81552,81552,81552,STEP6_D63,0.18857980231937424,0.15497924705816135
electricity,shape,C3,81551,81552,81552,81552,STEP8_D31,0.22759564594142395,0.18829198543112444
electricity,shape,C3,81551,81552,81552,81552,STEP8_D33,0.2275530906588288,0.18698822495333595
electricity,shape,C3,81552,81551,81551,81551,PAIRED_SHIFT8_D32,0.2120506973781081,0.17303843833495805
electricity,shape,C3,81552,81551,81551,81551,PULSE8_D32,3.0019201496820043,2.9055978670928995
electricity,shape,C3,81552,81551,81551,81551,RAMP8_D32,0.49641568833176175,0.38824993643912703
electricity,shape,C3,81552,81551,81551,81551,STEP12_D17,0.29312232635529273,0.24078622856603574
electricity,shape,C3,81552,81551,81551,81551,STEP12_D63,0.2241118333760933,0.18114731514988625
electricity,shape,C3,81552,81551,81551,81551,STEP6_D17,0.23532134075615171,0.19279405914268816
electricity,shape,C3,81552,81551,81551,81551,STEP6_D63,0.20506826767283243,0.16651664626032506
electricity,shape,C3,81552,81551,81551,81551,STEP8_D31,0.2127654676638956,0.17409190979165226
electricity,shape,C3,81552,81551,81551,81551,STEP8_D33,0.21623724015570434,0.17584280410350697
electricity,shape,C3,81552,81551,81551,81552,PAIRED_SHIFT8_D32,0.21171360698908614,0.1727284213596526
electricity,shape,C3,81552,81551,81551,81552,PULSE8_D32,3.0039357427084337,2.9077728472432938
electricity,shape,C3,81552,81551,81551,81552,RAMP8_D32,0.49487300305423965,0.3868578031724707
electricity,shape,C3,81552,81551,81551,81552,STEP12_D17,0.2893933174693199,0.23794423104122225
electricity,shape,C3,81552,81551,81551,81552,STEP12_D63,0.2235872281281708,0.18082110547761404
electricity,shape,C3,81552,81551,81551,81552,STEP6_D17,0.23468778193868647,0.19228614101944833
