source,b,i,o,step,C3_MAG_gradient_cosine,C3_MAG_gradient_difference_norm
electricity,81551,81551,81551,0,0.9919484738136752,0.0006884977064556845
electricity,81551,81551,81551,256,0.9769803980669729,0.002190096670370183
electricity,81551,81551,81551,512,0.9764262902859449,0.003005595917332743
electricity,81551,81551,81551,768,0.9714749802347843,0.003694122832512652
electricity,81551,81551,81551,1024,0.9693461397809379,0.00432154910454043
electricity,81551,81551,81552,0,0.9919484738136752,0.0006884977064556845
electricity,81551,81551,81552,256,0.978971843344742,0.002023723869576054
electricity,81551,81551,81552,512,0.9794116764504431,0.0028062816190397117
electricity,81551,81551,81552,768,0.9737365886592586,0.0035959106228218973
electricity,81551,81551,81552,1024,0.9715849013853987,0.004292451316342802
electricity,81551,81552,81551,0,0.991987601440043,0.0006709084622200726
electricity,81551,81552,81551,256,0.9761758598079067,0.002035599732359792
electricity,81551,81552,81551,512,0.9754647402322026,0.002776285052089698
electricity,81551,81552,81551,768,0.9749326712744748,0.0032729681435599532
electricity,81551,81552,81551,1024,0.9716635288451034,0.00386602376695518
electricity,81551,81552,81552,0,0.991987601440043,0.0006709084622200726
electricity,81551,81552,81552,256,0.9762193795546201,0.0020968193813773153
electricity,81551,81552,81552,512,0.9711484496602407,0.0030642952726180894
electricity,81551,81552,81552,768,0.9676656440645324,0.003810060096942384
electricity,81551,81552,81552,1024,0.9658920108152192,0.0044669964159405025
electricity,81552,81551,81551,0,0.9953984126407068,0.0006018343200703661
electricity,81552,81551,81551,256,0.9891920421450848,0.0012829967882862184
electricity,81552,81551,81551,512,0.9873975140148862,0.0020143277891110116
electricity,81552,81551,81551,768,0.9812803938853162,0.003542338971384552
electricity,81552,81551,81551,1024,0.9802856643473506,0.0037542811156708873
electricity,81552,81551,81552,0,0.9953984126407068,0.0006018343200703661
electricity,81552,81551,81552,256,0.9875333683116119,0.0013828827113992468
electricity,81552,81551,81552,512,0.984734378753884,0.002251091803430994
electricity,81552,81551,81552,768,0.976188449535843,0.0038783497189326813
electricity,81552,81551,81552,1024,0.9759675533900036,0.004305771273885856
electricity,81552,81552,81551,0,0.9954151040341331,0.000590101782297677
electricity,81552,81552,81551,256,0.990136690418708,0.0010668593326567987
electricity,81552,81552,81551,512,0.9896633113024338,0.0015853971957872333
electricity,81552,81552,81551,768,0.9830278131795539,0.0029484821210234396
electricity,81552,81552,81551,1024,0.9827482889553373,0.0032927332284454305
electricity,81552,81552,81552,0,0.9954151040341331,0.000590101782297677
electricity,81552,81552,81552,256,0.9892067665117908,0.0011015267832945224
electricity,81552,81552,81552,512,0.9844389309744764,0.001954372298446812
electricity,81552,81552,81552,768,0.9689247543457559,0.003807282568196815
electricity,81552,81552,81552,1024,0.9686746253574335,0.004386230739308911
ettm1,81551,81551,81551,0,0.997049870528121,0.0006349163758442149
ettm1,81551,81551,81551,256,0.9938116606668469,0.002111729769095172
ettm1,81551,81551,81551,512,0.9930483951057816,0.0030023416026235513
ettm1,81551,81551,81551,768,0.991038979684362,0.0027979120617680287
ettm1,81551,81551,81551,1024,0.9909797809734306,0.0034570083990441815
ettm1,81551,81551,81552,0,0.997049870528121,0.0006349163758442149
ettm1,81551,81551,81552,256,0.9952273711186819,0.0018945185318525893
ettm1,81551,81551,81552,512,0.9950544435657344,0.0024983590404604027
ettm1,81551,81551,81552,768,0.9928162886988176,0.0025579694754007125
ettm1,81551,81551,81552,1024,0.9917149853722882,0.003410491342592478
ettm1,81551,81552,81551,0,0.9970942762707727,0.0006104649377585351
ettm1,81551,81552,81551,256,0.9932776365054824,0.0017698221943051446
ettm1,81551,81552,81551,512,0.989683031485255,0.0029465282902711113
ettm1,81551,81552,81551,768,0.9853485806915266,0.0028962174294989373
ettm1,81551,81552,81551,1024,0.9796531051956454,0.004232400027570041
ettm1,81551,81552,81552,0,0.9970942762707727,0.0006104649377585351
ettm1,81551,81552,81552,256,0.9937486945344831,0.001645272659148132
ettm1,81551,81552,81552,512,0.9941773949163485,0.0021606493546974925
ettm1,81551,81552,81552,768,0.9877359688106584,0.0027152107046922334
ettm1,81551,81552,81552,1024,0.9882016178286567,0.0033075269456886076
ettm1,81552,81551,81551,0,0.9984363989433913,0.0007043406300584631
ettm1,81552,81551,81551,256,0.9907632293688688,0.0028014107784821445
ettm1,81552,81551,81551,512,0.981499784908379,0.00521058243405704
ettm1,81552,81551,81551,768,0.9801417195667982,0.005595965902541115
ettm1,81552,81551,81551,1024,0.9826731519132504,0.00644124186115704
ettm1,81552,81551,81552,0,0.9984363989433913,0.0007043406300584631
ettm1,81552,81551,81552,256,0.9915480127770083,0.0026607988317029754
ettm1,81552,81551,81552,512,0.9861475437482147,0.004591464463321573
ettm1,81552,81551,81552,768,0.9874127028281977,0.004628961538045288
ettm1,81552,81551,81552,1024,0.9882775411477562,0.005142095728265774
ettm1,81552,81552,81551,0,0.9984447800326703,0.0006832507237860287
ettm1,81552,81552,81551,256,0.9961205029763848,0.0014398329312095442
ettm1,81552,81552,81551,512,0.9879235736153484,0.0034270953221986274
ettm1,81552,81552,81551,768,0.9815047498830366,0.004531242692845362
ettm1,81552,81552,81551,1024,0.9797116760263053,0.0057592493830803115
ettm1,81552,81552,81552,0,0.9984447800326703,0.0006832507237860287
ettm1,81552,81552,81552,256,0.990051456329548,0.002264286741177935
ettm1,81552,81552,81552,512,0.9801290809386384,0.00440280224884072
ettm1,81552,81552,81552,768,0.9822036275266824,0.00443651071036635
ettm1,81552,81552,81552,1024,0.9797699892928845,0.005547463301223705
