source,b,batch,relative_l2,max_abs,down_gradient_zero,i,arm,alternate_autograd,initial_prediction_exact
electricity,81551,0,8.307396370810238e-08,3.4924596548080444e-10,True,,,,
electricity,81552,0,8.557995556657261e-08,2.3283064365386963e-10,True,,,,
electricity,81551,0,6.793482754119395e-08,2.3283064365386963e-10,,81551.0,MAG_ONLY,True,True
electricity,81551,0,8.369951842723822e-08,3.4924596548080444e-10,,81552.0,C3,True,True
electricity,81551,0,6.789459661149522e-08,2.3283064365386963e-10,,81552.0,MAG_ONLY,True,True
electricity,81552,0,8.677132257162157e-08,3.4924596548080444e-10,,81551.0,MAG_ONLY,True,True
electricity,81552,0,8.574858867405055e-08,2.3283064365386963e-10,,81552.0,C3,True,True
electricity,81552,0,8.698070530499535e-08,3.4924596548080444e-10,,81552.0,MAG_ONLY,True,True
electricity,81551,1,6.175020672571918e-08,2.9103830456733704e-10,True,,,,
electricity,81552,1,6.139758568224352e-08,2.3283064365386963e-10,True,,,,
electricity,81551,2,5.6043749196987847e-08,2.3283064365386963e-10,True,,,,
electricity,81552,2,7.138778101989374e-08,1.1641532182693481e-10,True,,,,
electricity,81551,3,5.3660485832551785e-08,1.1641532182693481e-10,True,,,,
electricity,81552,3,5.958353810342487e-08,1.1641532182693481e-10,True,,,,
electricity,81551,4,3.94270038839295e-08,1.1641532182693481e-10,True,,,,
electricity,81552,4,6.548278008722264e-08,2.3283064365386963e-10,True,,,,
electricity,81551,5,7.831465609342558e-08,4.656612873077393e-10,True,,,,
electricity,81552,5,6.384475881304752e-08,5.820766091346741e-11,True,,,,
electricity,81551,6,6.401952390433507e-08,1.1641532182693481e-10,True,,,,
electricity,81552,6,8.300257547944057e-08,1.1641532182693481e-10,True,,,,
electricity,81551,7,5.269361835757991e-08,5.820766091346741e-11,True,,,,
electricity,81552,7,5.733283714448589e-08,5.820766091346741e-11,True,,,,
electricity,81551,8,3.49104603003525e-08,1.1641532182693481e-10,True,,,,
electricity,81552,8,3.319861008321823e-08,5.820766091346741e-11,True,,,,
electricity,81551,9,4.183144852731857e-08,1.1641532182693481e-10,True,,,,
electricity,81552,9,5.570336014670829e-08,2.3283064365386963e-10,True,,,,
electricity,81551,10,4.389958618844503e-08,5.820766091346741e-11,True,,,,
electricity,81552,10,4.9655316303187647e-08,2.9103830456733704e-11,True,,,,
electricity,81551,11,5.622006327143936e-08,1.1641532182693481e-10,True,,,,
electricity,81552,11,6.340788871739278e-08,5.820766091346741e-11,True,,,,
electricity,81551,12,6.043209310746533e-08,4.656612873077393e-10,True,,,,
electricity,81552,12,4.879240833588483e-08,1.1641532182693481e-10,True,,,,
electricity,81551,13,7.80836373337479e-08,4.656612873077393e-10,True,,,,
electricity,81552,13,7.148005209955954e-08,1.1641532182693481e-10,True,,,,
electricity,81551,14,5.191865426468212e-08,1.1641532182693481e-10,True,,,,
electricity,81552,14,6.414251885189515e-08,1.1641532182693481e-10,True,,,,
electricity,81551,15,7.184083727906909e-08,2.3283064365386963e-10,True,,,,
electricity,81552,15,8.083407720960167e-08,1.4551915228366852e-10,True,,,,
electricity,81551,16,6.594976298401889e-08,2.3283064365386963e-10,True,,,,
electricity,81552,16,7.089320774866792e-08,1.4551915228366852e-10,True,,,,
electricity,81551,17,6.778645911253989e-08,1.1641532182693481e-10,True,,,,
electricity,81552,17,7.813970626102673e-08,1.1641532182693481e-10,True,,,,
electricity,81551,18,5.654440471403177e-08,2.3283064365386963e-10,True,,,,
electricity,81552,18,7.425845893749283e-08,2.3283064365386963e-10,True,,,,
electricity,81551,19,6.137539543260573e-08,2.3283064365386963e-10,True,,,,
electricity,81552,19,7.073081320640995e-08,1.1641532182693481e-10,True,,,,
electricity,81551,20,6.692457077406289e-08,1.1641532182693481e-10,True,,,,
electricity,81552,20,7.704733917535123e-08,1.1641532182693481e-10,True,,,,
electricity,81551,21,6.490662229907684e-08,4.656612873077393e-10,True,,,,
electricity,81552,21,6.353415216153735e-08,3.4924596548080444e-10,True,,,,
electricity,81551,22,6.26394083269588e-08,1.1641532182693481e-10,True,,,,
electricity,81552,22,8.219190306135715e-08,1.1641532182693481e-10,True,,,,
electricity,81551,23,4.0350673913280843e-08,1.1641532182693481e-10,True,,,,
electricity,81552,23,5.614992915070616e-08,1.1641532182693481e-10,True,,,,
electricity,81551,24,6.524902573801228e-08,1.1641532182693481e-10,True,,,,
electricity,81552,24,8.487500480214294e-08,1.1641532182693481e-10,True,,,,
electricity,81551,25,6.193739920945518e-08,1.1641532182693481e-10,True,,,,
electricity,81552,25,8.102310999902329e-08,1.1641532182693481e-10,True,,,,
electricity,81551,26,4.032168376966183e-08,2.3283064365386963e-10,True,,,,
electricity,81552,26,5.481265574758254e-08,1.7462298274040222e-10,True,,,,
electricity,81551,27,6.28009431125065e-08,2.3283064365386963e-10,True,,,,
electricity,81552,27,5.4297693452554086e-08,2.3283064365386963e-10,True,,,,
electricity,81551,28,7.335128771046584e-08,1.1641532182693481e-10,True,,,,
electricity,81552,28,7.443904337378626e-08,1.1641532182693481e-10,True,,,,
electricity,81551,29,4.020117216896324e-08,1.1641532182693481e-10,True,,,,
electricity,81552,29,4.073110204672048e-08,1.1641532182693481e-10,True,,,,
electricity,81551,30,3.6820107851553985e-08,1.1641532182693481e-10,True,,,,
electricity,81552,30,5.704411876195081e-08,1.1641532182693481e-10,True,,,,
electricity,81551,31,6.84754652979791e-08,1.1641532182693481e-10,True,,,,
electricity,81552,31,8.030546183590559e-08,5.820766091346741e-11,True,,,,
ettm1,81551,0,5.49066605515236e-08,1.7462298274040222e-10,True,,,,
ettm1,81552,0,5.359246557645747e-08,1.7462298274040222e-10,True,,,,
ettm1,81551,0,5.29885184619161e-08,2.3283064365386963e-10,,81551.0,MAG_ONLY,True,True
ettm1,81551,0,5.535186176075513e-08,1.7462298274040222e-10,,81552.0,C3,True,True
ettm1,81551,0,5.381381029678778e-08,2.3283064365386963e-10,,81552.0,MAG_ONLY,True,True
ettm1,81552,0,5.0837154930150064e-08,1.1641532182693481e-10,,81551.0,MAG_ONLY,True,True
ettm1,81552,0,5.3847202252654824e-08,1.7462298274040222e-10,,81552.0,C3,True,True
ettm1,81552,0,5.132817904041076e-08,1.1641532182693481e-10,,81552.0,MAG_ONLY,True,True
ettm1,81551,1,5.339553510452788e-08,1.1641532182693481e-10,True,,,,
ettm1,81552,1,4.973548684006346e-08,1.1641532182693481e-10,True,,,,
ettm1,81551,2,4.4322487013914724e-08,2.3283064365386963e-10,True,,,,
ettm1,81552,2,5.280545067876119e-08,2.3283064365386963e-10,True,,,,
ettm1,81551,3,3.5550311139331825e-08,1.1641532182693481e-10,True,,,,
ettm1,81552,3,3.713138241323577e-08,1.1641532182693481e-10,True,,,,
ettm1,81551,4,5.7931387686949165e-08,1.1641532182693481e-10,True,,,,
ettm1,81552,4,5.338969444323993e-08,2.3283064365386963e-10,True,,,,
ettm1,81551,5,4.9571770688316974e-08,4.656612873077393e-10,True,,,,
ettm1,81552,5,4.2310571046755285e-08,2.3283064365386963e-10,True,,,,
ettm1,81551,6,4.53798172372899e-08,1.1641532182693481e-10,True,,,,
ettm1,81552,6,5.4566839935432654e-08,4.656612873077393e-10,True,,,,
ettm1,81551,7,3.953743288320766e-08,1.1641532182693481e-10,True,,,,
ettm1,81552,7,3.9031085918850295e-08,2.3283064365386963e-10,True,,,,
ettm1,81551,8,4.526824781692085e-08,1.1641532182693481e-10,True,,,,
ettm1,81552,8,5.116264389926073e-08,1.1641532182693481e-10,True,,,,
ettm1,81551,9,4.4797300091659054e-08,1.1641532182693481e-10,True,,,,
ettm1,81552,9,4.888907412237131e-08,5.820766091346741e-11,True,,,,
ettm1,81551,10,3.2885449030573e-08,2.3283064365386963e-10,True,,,,
ettm1,81552,10,3.796238345898928e-08,4.656612873077393e-10,True,,,,
ettm1,81551,11,2.8968797138873015e-08,2.3283064365386963e-10,True,,,,
ettm1,81552,11,4.177035251018424e-08,4.656612873077393e-10,True,,,,
ettm1,81551,12,4.590870616993925e-08,2.3283064365386963e-10,True,,,,
ettm1,81552,12,3.828401418104477e-08,1.1641532182693481e-10,True,,,,
ettm1,81551,13,4.2256967702769543e-08,1.1641532182693481e-10,True,,,,
ettm1,81552,13,5.549156867346028e-08,1.4551915228366852e-10,True,,,,
ettm1,81551,14,4.8372285732511955e-08,1.1641532182693481e-10,True,,,,
ettm1,81552,14,5.86170720850987e-08,1.1641532182693481e-10,True,,,,
ettm1,81551,15,4.968738664956618e-08,1.7462298274040222e-10,True,,,,
ettm1,81552,15,4.9748823727213676e-08,2.3283064365386963e-10,True,,,,
