source,arm,init,gradient_low_norm,gradient_high_norm,native_cosine,total_difference_norm,Jacobian_component_norm,output_signal_component_norm,components_cosine,Jacobian_change_fixed_signal_cosine,signal_change_fixed_J_cosine
electricity,C3,81551,0.005673590070044047,0.0025701167113581056,0.39441840384303495,0.005224219806055266,0.0020225880732238893,0.005945289564004336,-0.5049890830506677,0.8993603908656884,0.20109548693347307
electricity,C3,81552,0.005519297022146439,0.0025036520457459672,0.3931325541116825,0.005085861576864466,0.0019748593465658323,0.005798372663265651,-0.5089178709257672,0.8993989874675935,0.19682023043898847
electricity,MAG_ONLY,81551,0.005481439201287633,0.0025007006479698343,0.4065369112366043,0.005015428195066464,0.001939902313227159,0.005693268028950982,-0.4989867264177507,0.8998202120151519,0.22527113942209465
electricity,MAG_ONLY,81552,0.005348210872184035,0.002441701373123161,0.40472650203998073,0.0048984521841486115,0.0018967070512289864,0.00556575369735712,-0.5011212779043239,0.8998695921637295,0.2216761307211822
ettm1,C3,81551,0.005288669735168541,0.004283469302665348,0.7337621050615613,0.003615668258869438,0.0027212725502668337,0.0026782838528741624,-0.10327946164062723,0.8069246907565373,0.8916313241478904
ettm1,C3,81552,0.005144106397614764,0.004145040723809104,0.732702939874316,0.0035209418708372865,0.0026501284990238824,0.0026097108965595773,-0.10386972145565661,0.8060183951026215,0.891362415180593
ettm1,MAG_ONLY,81551,0.005284810181183967,0.004225092824369618,0.7395891856026896,0.0035710404550141576,0.00269375425971483,0.002631151943047585,-0.10066363613950434,0.8086030302917074,0.894993409331047
ettm1,MAG_ONLY,81552,0.005146473401429952,0.004100544213434776,0.7389488544963473,0.0034802400677634206,0.002624855827436499,0.002564550258589389,-0.1006239458503742,0.8080599347557461,0.8948953535526414
