key,candidate,phase,seed,steps,seconds,trainable_parameters,peak_allocated_bytes,peak_reserved_bytes
h1_eval_190_BLOCK_A_s92251,h1,main,92251,32,1.3998776999942493,288,654181376,734003200
h1_eval_190_BLOCK_A_s92252,h1,main,92252,32,1.4476493000111077,288,654181376,734003200
h1_eval_190_BLOCK_B_s92251,h1,main,92251,32,1.4047514000267256,288,654181376,734003200
h1_eval_190_BLOCK_B_s92252,h1,main,92252,32,1.4376551000168547,288,654181376,734003200
h1_eval_190_LOCAL_LORA_s92251,h1,main,92251,64,3.1326135999988765,294912,656169984,734003200
h1_eval_190_LOCAL_LORA_s92252,h1,main,92252,64,3.1804826999723446,294912,656169984,734003200
h1_eval_190_RIDGE_s92251,h1,main,92251,64,3.026979799993569,288,654182912,734003200
h1_eval_190_RIDGE_s92252,h1,main,92252,64,2.9444501000107266,288,654182912,734003200
h1_eval_227_BLOCK_A_s92251,h1,main,92251,32,1.4144880999810994,288,654181376,731906048
h1_eval_227_BLOCK_A_s92252,h1,main,92252,32,1.415467400016496,288,654181376,731906048
h1_eval_227_BLOCK_B_s92251,h1,main,92251,32,1.4177795000141487,288,654181376,731906048
h1_eval_227_BLOCK_B_s92252,h1,main,92252,32,1.4388533999735955,288,654181376,731906048
h1_eval_227_LOCAL_LORA_s92251,h1,main,92251,64,3.0879077999852598,294912,656169984,731906048
h1_eval_227_LOCAL_LORA_s92252,h1,main,92252,64,3.188806399994064,294912,656169984,731906048
h1_eval_227_RIDGE_s92251,h1,main,92251,64,2.87551519999397,288,654182912,731906048
h1_eval_227_RIDGE_s92252,h1,main,92252,64,2.9051608000008855,288,654182912,731906048
h1_eval_26_BLOCK_A_s92251,h1,main,92251,32,1.4157737999921665,288,654181376,734003200
h1_eval_26_BLOCK_A_s92252,h1,main,92252,32,1.4345965000102296,288,654181376,734003200
h1_eval_26_BLOCK_B_s92251,h1,main,92251,32,1.3897172000142746,288,654181376,734003200
h1_eval_26_BLOCK_B_s92252,h1,main,92252,32,1.4195506000251044,288,654181376,734003200
h1_eval_26_LOCAL_LORA_s92251,h1,main,92251,64,3.1643618999805767,294912,656169984,734003200
h1_eval_26_LOCAL_LORA_s92252,h1,main,92252,64,3.1363369999744464,294912,656169984,734003200
h1_eval_26_RIDGE_s92251,h1,main,92251,64,2.84308140000212,288,654182912,734003200
h1_eval_26_RIDGE_s92252,h1,main,92252,64,2.920444999996107,288,654182912,734003200
h1_eval_83_BLOCK_A_s92251,h1,main,92251,32,1.4176753000065219,288,654181376,731906048
h1_eval_83_BLOCK_A_s92252,h1,main,92252,32,1.4111529999936465,288,654181376,731906048
h1_eval_83_BLOCK_B_s92251,h1,main,92251,32,1.4040831000020262,288,654181376,731906048
h1_eval_83_BLOCK_B_s92252,h1,main,92252,32,1.4437054000154603,288,654181376,731906048
h1_eval_83_LOCAL_LORA_s92251,h1,main,92251,64,3.1839491999999154,294912,656169984,731906048
h1_eval_83_LOCAL_LORA_s92252,h1,main,92252,64,3.3797497000196017,294912,656169984,731906048
h1_eval_83_RIDGE_s92251,h1,main,92251,64,2.881915100006154,288,654182912,731906048
h1_eval_83_RIDGE_s92252,h1,main,92252,64,2.9389704999921378,288,654182912,731906048
h1_SHARED_s92251,h1,main,92251,256,12.471897600014927,294912,462732800,473956352
h1_SHARED_s92252,h1,main,92252,256,12.42928860001848,294912,463650304,541065216
h2_CENTROID_BIAS_s92261,h2,main,92261,256,7.0784885000030044,24,262933504,339738624
h2_CENTROID_BIAS_s92262,h2,main,92262,256,7.243135800003074,24,262933504,339738624
h2_GENERIC_BIAS_s92261,h2,main,92261,256,7.054241300007561,24,262933504,339738624
h2_GENERIC_BIAS_s92262,h2,main,92262,256,7.15461920000962,24,262933504,339738624
h2_KEY_BIAS_s92261,h2,main,92261,256,7.1859653999854345,24,262933504,339738624
h2_KEY_BIAS_s92262,h2,main,92262,256,7.118813800014323,24,262933504,339738624
h2_QV_LORA_s92261,h2,main,92261,256,13.090751499985345,294912,272384000,348127232
h2_QV_LORA_s92262,h2,main,92262,256,12.622848700004397,294912,272384000,348127232
h2_SET_BIAS_s92261,h2,main,92261,256,7.869426100020064,24,262933504,339738624
h2_SET_BIAS_s92262,h2,main,92262,256,7.560988100012764,24,262933504,339738624
smoke_h1_coefficient,h1,smoke,92250,2,0.09947310001007281,288,653024256,717225984
smoke_h1_local,h1,smoke,92250,2,0.12750109998160042,294912,462754816,717225984
smoke_h1_ridge,h1,smoke,92250,2,0.10051439999369904,288,653025280,717225984
smoke_h1_shared,h1,smoke,92250,2,0.180534200015245,294912,462746112,505413632
smoke_h2_CENTROID_BIAS,h2,smoke,92260,2,0.05428149999352172,24,453703680,494927872
smoke_h2_GENERIC_BIAS,h2,smoke,92260,2,0.05734560001292266,24,453703680,494927872
smoke_h2_KEY_BIAS,h2,smoke,92260,2,0.05332440001075156,24,453703680,494927872
smoke_h2_QV_LORA,h2,smoke,92260,2,0.1374327999947127,294912,656118784,721420288
smoke_h2_SET_BIAS,h2,smoke,92260,2,0.05469769999035634,24,453697536,494927872
