candidate,arm,seed,condition,mode,selected,scaled_pinball,raw_mae,scaled_mae,coverage80,raw_width80,scaled_width80,crossing
h1,F0,92251,CLEAN,RAW,True,0.13802469406475676,45.939088974680224,0.1738948148842791,0.8299851190476191,147.89732650773865,0.5845722757687972,0.00548735119047619
h1,F0,92251,CLEAN,CAL,False,0.14687537952564406,48.43806809671238,0.1851117000315139,0.7369791666666666,143.81726857499874,0.5717212269400115,0.00548735119047619
h1,F0,92252,CLEAN,RAW,True,0.13802469406475676,45.939088974680224,0.1738948148842791,0.8299851190476191,147.89732650773865,0.5845722757687972,0.00548735119047619
h1,F0,92252,CLEAN,CAL,False,0.14687537952564406,48.43806809671238,0.1851117000315139,0.7369791666666666,143.81726857499874,0.5717212269400115,0.00548735119047619
h1,SHARED,92251,CLEAN,RAW,True,0.13882746100892498,45.98915647892725,0.17490784174407834,0.8046875,141.8449717263381,0.5608321910348422,0.005766369047619048
h1,SHARED,92251,CLEAN,CAL,False,0.147200720183695,48.47545482148951,0.1853959750604648,0.7139136904761905,138.37576634281965,0.5498734053004863,0.005766369047619048
h1,SHARED,92252,CLEAN,RAW,True,0.13737212373797006,45.675563267299104,0.17314046937424635,0.8143601190476191,141.98887132321084,0.5604835661532417,0.005580357142857143
h1,SHARED,92252,CLEAN,CAL,False,0.14656110689505591,48.27406160786429,0.18466387144678187,0.7180059523809523,138.51685135962902,0.5495773135948765,0.005580357142857143
h1,LOCAL_LORA,92251,CLEAN,RAW,True,0.14075050888031465,46.38275581456366,0.17777735598018696,0.8035714285714286,137.0677670623575,0.5450208735703334,0.004743303571428571
h1,LOCAL_LORA,92251,CLEAN,CAL,False,0.14919917592372636,48.91778127549405,0.18777897501971508,0.6934523809523809,133.30301863273527,0.5346242321866823,0.004743303571428571
h1,LOCAL_LORA,92252,CLEAN,RAW,True,0.1391273380872682,45.888661906832745,0.17559551873135276,0.8024553571428571,135.77735063717478,0.5368645277484778,0.004557291666666666
h1,LOCAL_LORA,92252,CLEAN,CAL,False,0.14770883688399356,48.38208625625117,0.18601281407853254,0.6912202380952381,131.93347792607577,0.5255298628686289,0.004557291666666666
h1,RIDGE,92251,CLEAN,RAW,True,0.1387208725005459,45.96256500340644,0.1747825958564619,0.8065476190476191,142.0487632779848,0.5618172072969618,0.005580357142857143
h1,RIDGE,92251,CLEAN,CAL,False,0.14720265859834186,48.48558671542197,0.18542009600503973,0.7146577380952381,138.52971993174214,0.5507015918569884,0.005580357142857143
h1,RIDGE,92252,CLEAN,RAW,True,0.13741032853325963,45.68702751681918,0.17317526368285502,0.8147321428571428,141.98184769210363,0.5605946478384636,0.005440848214285714
h1,RIDGE,92252,CLEAN,CAL,False,0.1465940301590032,48.28544618641371,0.18470722228788242,0.7176339285714286,138.44663983524785,0.5494859633949689,0.005440848214285714
h1,UNSHRUNK,92251,CLEAN,RAW,True,0.1387794672920753,45.98027569339389,0.17485355809751815,0.8046875,141.8915716693515,0.5612149584715029,0.005673363095238096
h1,UNSHRUNK,92251,CLEAN,CAL,False,0.14721525439144126,48.48655211608745,0.18542457490729566,0.7142857142857143,138.39525749644497,0.5501885551130958,0.005673363095238096
h1,UNSHRUNK,92252,CLEAN,RAW,True,0.13738734600323418,45.6798207731474,0.17315227075925294,0.8143601190476191,141.91267848014832,0.5604425051754909,0.00548735119047619
h1,UNSHRUNK,92252,CLEAN,CAL,False,0.1465763882229963,48.28003549769447,0.18468436328470766,0.7180059523809523,138.40264164579543,0.5494125508243388,0.00548735119047619
h1,FIXED_SHRINK,92251,CLEAN,RAW,True,0.1387794672920753,45.98027569339389,0.17485355809751815,0.8046875,141.8915716693515,0.5612149584715029,0.005673363095238096
h1,FIXED_SHRINK,92251,CLEAN,CAL,False,0.14721525439144126,48.48655211608745,0.18542457490729566,0.7142857142857143,138.39525749644497,0.5501885551130958,0.005673363095238096
h1,FIXED_SHRINK,92252,CLEAN,RAW,True,0.13738734600323418,45.6798207731474,0.17315227075925294,0.8143601190476191,141.91267848014832,0.5604425051754909,0.00548735119047619
h1,FIXED_SHRINK,92252,CLEAN,CAL,False,0.1465763882229963,48.28003549769447,0.18468436328470766,0.7180059523809523,138.40264164579543,0.5494125508243388,0.00548735119047619
h1,U_SHRINK,92251,CLEAN,RAW,True,0.13882369966065827,45.98849421881494,0.1749033936336204,0.8046875,141.84818157127927,0.5608612731036007,0.005766369047619048
h1,U_SHRINK,92251,CLEAN,CAL,False,0.1472017664943525,48.47627805792269,0.18539804280054323,0.7139136904761905,138.3771104127723,0.5498974644961037,0.005766369047619048
h1,U_SHRINK,92252,CLEAN,RAW,True,0.13737641707545667,45.67682936361858,0.17314409572513725,0.8143601190476191,141.97480433327812,0.5604718110157185,0.005580357142857143
h1,U_SHRINK,92252,CLEAN,CAL,False,0.14656568026178513,48.27592731800205,0.1846699698871202,0.7180059523809523,138.49199845581055,0.5495293226812002,0.005580357142857143
h1,PERMUTED_G,92251,CLEAN,RAW,True,0.13882356707384114,45.988413101150876,0.17490343567418468,0.8046875,141.84878667905218,0.5608610417531026,0.005766369047619048
h1,PERMUTED_G,92251,CLEAN,CAL,False,0.14720147031387285,48.47617182846593,0.18539783626250836,0.7139136904761905,138.37774750756068,0.5498973916105792,0.005766369047619048
h1,PERMUTED_G,92252,CLEAN,RAW,True,0.13737516644291542,45.67639325630097,0.17314265526809286,0.8143601190476191,141.97202992013524,0.560473141651491,0.005580357142857143
h1,PERMUTED_G,92252,CLEAN,CAL,False,0.14656464734642322,48.275295319589205,0.1846686448271485,0.7180059523809523,138.49267499814405,0.54954293337966,0.005580357142857143
h1,CHRONOS2_DIRECT,0,CLEAN,RAW,True,0.13530942427412362,43.50584049877666,0.1709516206538309,0.7775297619047619,130.7649491429329,0.5151834904706545,9.300595238095238e-05
h1,CHRONOS2_DIRECT,0,CLEAN,CAL,False,0.1445174382693406,46.18357897790188,0.1818644045011754,0.6763392857142857,128.0377603728314,0.5106464886037296,9.300595238095238e-05
h2,F0_NATIVE,92261,BLOCK48,RAW,True,0.1429694969810119,47.86700495155085,0.18042730435766965,0.8368675595238095,158.16583050184306,0.6296517413854136,0.008998325892857142
h2,F0_NATIVE,92261,BLOCK48,CAL,False,0.1521546352915887,50.99717792264187,0.19244278338365584,0.7529761904761905,157.20267859041948,0.6325177432096527,0.008998325892857142
h2,F0_NATIVE,92261,IID48,RAW,True,0.16146104328288513,52.548931294963474,0.20080082779094183,0.9056919642857143,217.1252767507519,0.8450376920334676,0.0031854538690476194
h2,F0_NATIVE,92261,IID48,CAL,False,0.16853086695765707,56.03146489317335,0.211625160852983,0.8463541666666666,213.6438540172651,0.8413019393243779,0.0031854538690476194
h2,F0_NATIVE,92261,ALIGNED48_LAST,RAW,True,0.1605646451571251,52.751449143602734,0.20232705094889236,0.8277529761904762,175.3857184747855,0.7127023129207204,0.005626860119047619
h2,F0_NATIVE,92261,ALIGNED48_LAST,CAL,False,0.16629465846757802,54.91771756541537,0.20928431110430556,0.7626488095238095,174.3859508115603,0.7149170903689568,0.005626860119047619
h2,F0_NATIVE,92261,CLEAN,RAW,True,0.13802469406475676,45.939088974680224,0.1738948148842791,0.8299851190476191,147.89732650773865,0.5845722757687972,0.00548735119047619
h2,F0_NATIVE,92261,CLEAN,CAL,False,0.14719486993290246,48.75433531633399,0.1854902710238244,0.7514880952380952,146.71926406848655,0.5864532698245339,0.00548735119047619
h2,F0_NATIVE,92262,BLOCK48,RAW,True,0.1429694969810119,47.86700495155085,0.18042730435766965,0.8368675595238095,158.16583050184306,0.6296517413854136,0.008998325892857142
h2,F0_NATIVE,92262,BLOCK48,CAL,False,0.1521546352915887,50.99717792264187,0.19244278338365584,0.7529761904761905,157.20267859041948,0.6325177432096527,0.008998325892857142
h2,F0_NATIVE,92262,IID48,RAW,True,0.16146104328288513,52.548931294963474,0.20080082779094183,0.9056919642857143,217.1252767507519,0.8450376920334676,0.0031854538690476194
h2,F0_NATIVE,92262,IID48,CAL,False,0.16853086695765707,56.03146489317335,0.211625160852983,0.8463541666666666,213.6438540172651,0.8413019393243779,0.0031854538690476194
h2,F0_NATIVE,92262,ALIGNED48_LAST,RAW,True,0.1605646451571251,52.751449143602734,0.20232705094889236,0.8277529761904762,175.3857184747855,0.7127023129207204,0.005626860119047619
h2,F0_NATIVE,92262,ALIGNED48_LAST,CAL,False,0.16629465846757802,54.91771756541537,0.20928431110430556,0.7626488095238095,174.3859508115603,0.7149170903689568,0.005626860119047619
h2,F0_NATIVE,92262,CLEAN,RAW,True,0.13802469406475676,45.939088974680224,0.1738948148842791,0.8299851190476191,147.89732650773865,0.5845722757687972,0.00548735119047619
h2,F0_NATIVE,92262,CLEAN,CAL,False,0.14719486993290246,48.75433531633399,0.1854902710238244,0.7514880952380952,146.71926406848655,0.5864532698245339,0.00548735119047619
h2,F0_INTERP,92261,BLOCK48,RAW,True,0.2562820183640723,87.86242451022069,0.30513988489076843,0.8078497023809524,221.7534405411709,0.8508948126571361,0.007138206845238095
h2,F0_INTERP,92261,BLOCK48,CAL,False,0.2637592627533225,90.91635320670649,0.3155219922349982,0.7215401785714286,217.29270172535666,0.8425126580958809,0.007138206845238095
h2,F0_INTERP,92261,IID48,RAW,True,0.15527352265284722,49.8262199873016,0.19619654537093306,0.8344494047619048,167.64773302347888,0.6786444194828847,0.006975446428571429
h2,F0_INTERP,92261,IID48,CAL,False,0.16360946141043126,52.67996898092521,0.2068336182358506,0.7451636904761905,165.07635230896787,0.6737221298359317,0.006975446428571429
h2,F0_INTERP,92261,ALIGNED48_LAST,RAW,True,0.44948804575110113,180.70869821735792,0.5515787397636422,0.5699404761904762,290.68689113642483,0.9948566722798765,0.012369791666666668
h2,F0_INTERP,92261,ALIGNED48_LAST,CAL,False,0.4627957633665592,184.26179068806488,0.5659541470577985,0.4654017857142857,280.2782059170397,0.9696334105243186,0.012369791666666668
h2,F0_INTERP,92261,CLEAN,RAW,True,0.13802469406475676,45.939088974680224,0.1738948148842791,0.8299851190476191,147.89732650773865,0.5845722757687972,0.00548735119047619
h2,F0_INTERP,92261,CLEAN,CAL,False,0.14610141090638068,48.29080378373544,0.1841746460410807,0.7526041666666666,146.1197830841664,0.5823472900378898,0.00548735119047619
h2,F0_INTERP,92262,BLOCK48,RAW,True,0.2562820183640723,87.86242451022069,0.30513988489076843,0.8078497023809524,221.7534405411709,0.8508948126571361,0.007138206845238095
h2,F0_INTERP,92262,BLOCK48,CAL,False,0.2637592627533225,90.91635320670649,0.3155219922349982,0.7215401785714286,217.29270172535666,0.8425126580958809,0.007138206845238095
h2,F0_INTERP,92262,IID48,RAW,True,0.15527352265284722,49.8262199873016,0.19619654537093306,0.8344494047619048,167.64773302347888,0.6786444194828847,0.006975446428571429
h2,F0_INTERP,92262,IID48,CAL,False,0.16360946141043126,52.67996898092521,0.2068336182358506,0.7451636904761905,165.07635230896787,0.6737221298359317,0.006975446428571429
h2,F0_INTERP,92262,ALIGNED48_LAST,RAW,True,0.44948804575110113,180.70869821735792,0.5515787397636422,0.5699404761904762,290.68689113642483,0.9948566722798765,0.012369791666666668
h2,F0_INTERP,92262,ALIGNED48_LAST,CAL,False,0.4627957633665592,184.26179068806488,0.5659541470577985,0.4654017857142857,280.2782059170397,0.9696334105243186,0.012369791666666668
h2,F0_INTERP,92262,CLEAN,RAW,True,0.13802469406475676,45.939088974680224,0.1738948148842791,0.8299851190476191,147.89732650773865,0.5845722757687972,0.00548735119047619
h2,F0_INTERP,92262,CLEAN,CAL,False,0.14610141090638068,48.29080378373544,0.1841746460410807,0.7526041666666666,146.1197830841664,0.5823472900378898,0.00548735119047619
h2,QV_LORA,92261,BLOCK48,RAW,True,0.14218203566544116,47.674329916990935,0.17954967299715982,0.7862723214285715,140.57120060317573,0.5590842825439364,0.010067894345238096
h2,QV_LORA,92261,BLOCK48,CAL,False,0.15247147221428337,50.893886511277884,0.19221263728524918,0.6899181547619048,139.5702943713982,0.5589247104750842,0.010067894345238096
h2,QV_LORA,92261,IID48,RAW,True,0.15593119253649923,51.639656324471744,0.19647224470952848,0.8162202380952381,167.3636573808534,0.6537914369677347,0.007649739583333332
