candidate,proposal,baseline,mean_effect_pct,ci_low,ci_high,winning_clients
h1,U_SHRINK,F0,-0.05460204335999583,-0.7725060130049307,0.69482879592686,4
h1,U_SHRINK,SHARED,-0.00020798239917309605,-0.007093108207087266,0.004214365220627942,4
h1,U_SHRINK,LOCAL_LORA,1.313728065961497,0.16595778682119253,2.6746644806157924,6
h1,U_SHRINK,RIDGE,-0.02472312647761109,-0.0675373877433576,0.01947929194364754,2
h1,U_SHRINK,UNSHRUNK,-0.011958793541964607,-0.03601081289785117,0.014539526811597595,4
h1,U_SHRINK,FIXED_SHRINK,-0.011958793541964607,-0.03601081289785117,0.014539526811597595,4
h1,U_SHRINK,PERMUTED_G,-0.0005029424400209348,-0.002211711142248927,0.0004221838299411496,3
h1,U_SHRINK,CHRONOS2_DIRECT,-2.062409258560045,-5.487602591521781,0.7842709535485042,2
h2,SET_BIAS,F0_NATIVE,-0.0391578019473431,-0.06908927453485227,-0.016017810474724958,3
h2,SET_BIAS,F0_INTERP,44.19215144064303,35.39698710065883,51.67239393730364,8
h2,SET_BIAS,QV_LORA,-0.5514456867578322,-1.092989152268743,-0.18100293327749462,1
h2,SET_BIAS,CENTROID_BIAS,-0.0371281739239669,-0.06872657074602599,-0.013689470428259218,3
h2,SET_BIAS,KEY_BIAS,-0.039691057902451504,-0.0873088887482841,-0.01216806478517791,4
h2,SET_BIAS,GENERIC_BIAS,0.02321967003639702,-0.2605246053813932,0.2314955317435673,6
h2,SET_BIAS,CHRONOS2_DIRECT,-2.048687771923615,-4.501793754291243,-0.37622338769514385,3
