candidate,proposal,baseline,series,proposal_score,baseline_score,effect_pct
h1,U_SHRINK,F0,141,0.183115554182174,0.18292094155701308,-0.10639165942641758
h1,U_SHRINK,F0,145,0.11302672697671286,0.1127559433896311,-0.24015016764664468
h1,U_SHRINK,F0,160,0.10521274921842393,0.10554185840067194,0.3118281099415633
h1,U_SHRINK,F0,181,0.09380918584019045,0.0941367280418741,0.34794304890006156
h1,U_SHRINK,F0,190,0.08292743987529692,0.08201060437801767,-1.117947495001026
h1,U_SHRINK,F0,227,0.10301258049347159,0.10329554466619582,0.27393647387081965
h1,U_SHRINK,F0,26,0.25314852233086793,0.25356840848269446,0.16559087716764534
h1,U_SHRINK,F0,83,0.1705477080273221,0.1699675236019558,-0.3413501668265954
h1,U_SHRINK,SHARED,141,0.183115554182174,0.18312140239115632,0.0031936239598112964
h1,U_SHRINK,SHARED,145,0.11302672697671286,0.11302440615230584,-0.002053383411621339
h1,U_SHRINK,SHARED,160,0.10521274921842393,0.10521604120470004,0.0031287874343363573
h1,U_SHRINK,SHARED,181,0.09380918584019045,0.0938088879886614,-0.0003175088581030084
h1,U_SHRINK,SHARED,190,0.08292743987529692,0.08294148057396307,0.016928439869872906
h1,U_SHRINK,SHARED,227,0.10301258049347159,0.10301236590733062,-0.0002083110499185283
h1,U_SHRINK,SHARED,26,0.25314852233086793,0.2531531618524612,0.0018326935201170749
h1,U_SHRINK,SHARED,83,0.1705477080273221,0.17052059291700172,-0.015901369949835795
h1,U_SHRINK,LOCAL_LORA,141,0.183115554182174,0.18151935797930618,-0.8793531558489753
h1,U_SHRINK,LOCAL_LORA,145,0.11302672697671286,0.11561042614540105,2.234832319914406
h1,U_SHRINK,LOCAL_LORA,160,0.10521274921842393,0.10690854007544899,1.5862071035936767
h1,U_SHRINK,LOCAL_LORA,181,0.09380918584019045,0.09272615041989814,-1.1679935114182223
h1,U_SHRINK,LOCAL_LORA,190,0.08292743987529692,0.08301371715269461,0.10393135057304602
h1,U_SHRINK,LOCAL_LORA,227,0.10301258049347159,0.10332729435967761,0.30457960614986507
h1,U_SHRINK,LOCAL_LORA,26,0.25314852233086793,0.2549446728973781,0.7045256314232407
h1,U_SHRINK,LOCAL_LORA,83,0.1705477080273221,0.18146122884052665,6.014243859659771
h1,U_SHRINK,RIDGE,141,0.183115554182174,0.18300330872285556,-0.06133520759913818
h1,U_SHRINK,RIDGE,145,0.11302672697671286,0.1129997676352777,-0.023857873338435507
h1,U_SHRINK,RIDGE,160,0.10521274921842393,0.1051321359929833,-0.07667800590108045
h1,U_SHRINK,RIDGE,181,0.09380918584019045,0.09379043231104242,-0.01999514096047018
