candidate,arm,seed,condition,mode,selected,series,scaled_pinball,raw_mae,scaled_mae,coverage80,raw_width80,scaled_width80,crossing
h1,F0,92251,CLEAN,RAW,True,160,0.10554185840067194,44.587657565162296,0.13283644562429817,0.8482142857142857,157.56206839425224,0.4694120811374104,0.0
h1,F0,92251,CLEAN,RAW,True,83,0.16996752360195577,60.53398382096064,0.20718448037675488,0.8779761904761905,188.25225647290546,0.6443148703453624,0.04389880952380952
h1,F0,92251,CLEAN,RAW,True,227,0.10329554466619581,10.59585480462937,0.12856896429796208,0.8779761904761905,43.45285715375628,0.5272523022498279,0.0
h1,F0,92251,CLEAN,RAW,True,145,0.1127559433896311,14.42090552193778,0.1391704560253921,0.7946428571428571,45.08336980002267,0.43508177240921647,0.0
h1,F0,92251,CLEAN,RAW,True,181,0.09413672804187412,156.69202677408856,0.12245526571580354,0.7916666666666667,482.06250363304497,0.3767332211428881,0.0
h1,F0,92251,CLEAN,RAW,True,141,0.18292094155701308,45.239151727585565,0.24019481123227812,0.7976190476190476,141.42359570094519,0.750880875877809,0.0
h1,F0,92251,CLEAN,RAW,True,190,0.08201060437801766,9.986230350676037,0.10224476317567363,0.8630952380952381,41.93301032838367,0.4293342492323361,0.0
h1,F0,92251,CLEAN,RAW,True,26,0.25356840848269446,25.456901232401528,0.3185033326260704,0.7886904761904762,83.40895057859875,1.0435688337555271,0.0
h1,F0,92251,CLEAN,CAL,False,160,0.10530491562136882,44.84374124816445,0.13359937527994717,0.8363095238095238,150.30046201966346,0.4477781574688839,0.0
h1,F0,92251,CLEAN,CAL,False,83,0.20590487360469492,73.06140711212863,0.2500610188302108,0.4732142857142857,210.23527143798387,0.7195542523448192,0.04389880952380952
h1,F0,92251,CLEAN,CAL,False,227,0.10595429079476786,11.177992895024444,0.1356325653703161,0.8571428571428571,40.84128106177099,0.4955637184099314,0.0
h1,F0,92251,CLEAN,CAL,False,145,0.11164989612620031,14.32825271107373,0.13827630038999403,0.7797619047619048,43.9335263767219,0.4239850882699904,0.0
h1,F0,92251,CLEAN,CAL,False,181,0.09571830271600783,157.76938364950885,0.12329722318592132,0.7589285714285714,452.7075818555295,0.3537922660710967,0.0
h1,F0,92251,CLEAN,CAL,False,141,0.1998351480640756,49.037575972117914,0.26036233780062495,0.6458333333333333,130.25181052110207,0.6915648911626554,0.0
h1,F0,92251,CLEAN,CAL,False,190,0.09695091145400749,11.808884031714902,0.12090613863217638,0.7470238095238095,38.815650024578304,0.39741692359461445,0.0
h1,F0,92251,CLEAN,CAL,False,26,0.25368469782402975,25.477307153966088,0.3187586407629204,0.7976190476190476,83.45256530263985,1.0441145181981006,0.0
h1,F0,92252,CLEAN,RAW,True,160,0.10554185840067194,44.587657565162296,0.13283644562429817,0.8482142857142857,157.56206839425224,0.4694120811374104,0.0
h1,F0,92252,CLEAN,RAW,True,83,0.16996752360195577,60.53398382096064,0.20718448037675488,0.8779761904761905,188.25225647290546,0.6443148703453624,0.04389880952380952
h1,F0,92252,CLEAN,RAW,True,227,0.10329554466619581,10.59585480462937,0.12856896429796208,0.8779761904761905,43.45285715375628,0.5272523022498279,0.0
h1,F0,92252,CLEAN,RAW,True,145,0.1127559433896311,14.42090552193778,0.1391704560253921,0.7946428571428571,45.08336980002267,0.43508177240921647,0.0
h1,F0,92252,CLEAN,RAW,True,181,0.09413672804187412,156.69202677408856,0.12245526571580354,0.7916666666666667,482.06250363304497,0.3767332211428881,0.0
h1,F0,92252,CLEAN,RAW,True,141,0.18292094155701308,45.239151727585565,0.24019481123227812,0.7976190476190476,141.42359570094519,0.750880875877809,0.0
h1,F0,92252,CLEAN,RAW,True,190,0.08201060437801766,9.986230350676037,0.10224476317567363,0.8630952380952381,41.93301032838367,0.4293342492323361,0.0
h1,F0,92252,CLEAN,RAW,True,26,0.25356840848269446,25.456901232401528,0.3185033326260704,0.7886904761904762,83.40895057859875,1.0435688337555271,0.0
h1,F0,92252,CLEAN,CAL,False,160,0.10530491562136882,44.84374124816445,0.13359937527994717,0.8363095238095238,150.30046201966346,0.4477781574688839,0.0
h1,F0,92252,CLEAN,CAL,False,83,0.20590487360469492,73.06140711212863,0.2500610188302108,0.4732142857142857,210.23527143798387,0.7195542523448192,0.04389880952380952
h1,F0,92252,CLEAN,CAL,False,227,0.10595429079476786,11.177992895024444,0.1356325653703161,0.8571428571428571,40.84128106177099,0.4955637184099314,0.0
h1,F0,92252,CLEAN,CAL,False,145,0.11164989612620031,14.32825271107373,0.13827630038999403,0.7797619047619048,43.9335263767219,0.4239850882699904,0.0
h1,F0,92252,CLEAN,CAL,False,181,0.09571830271600783,157.76938364950885,0.12329722318592132,0.7589285714285714,452.7075818555295,0.3537922660710967,0.0
h1,F0,92252,CLEAN,CAL,False,141,0.1998351480640756,49.037575972117914,0.26036233780062495,0.6458333333333333,130.25181052110207,0.6915648911626554,0.0
h1,F0,92252,CLEAN,CAL,False,190,0.09695091145400749,11.808884031714902,0.12090613863217638,0.7470238095238095,38.815650024578304,0.39741692359461445,0.0
h1,F0,92252,CLEAN,CAL,False,26,0.25368469782402975,25.477307153966088,0.3187586407629204,0.7976190476190476,83.45256530263985,1.0441145181981006,0.0
h1,SHARED,92251,CLEAN,RAW,True,160,0.1056456983052586,44.86076972598121,0.1336501068633291,0.8363095238095238,148.8949425106957,0.4435908054970063,0.0
h1,SHARED,92251,CLEAN,RAW,True,83,0.17182891197117417,61.11095264979771,0.2091592221573347,0.8660714285714286,183.57813704581488,0.6283171622218581,0.046130952380952384
h1,SHARED,92251,CLEAN,RAW,True,227,0.10410296233285303,10.73455270131429,0.1302519096814053,0.8511904761904762,40.72091129847935,0.4941031646288022,0.0
h1,SHARED,92251,CLEAN,RAW,True,145,0.1132164430343483,14.546878088088263,0.14038616744179253,0.7678571428571429,43.16206623259045,0.4165400315153461,0.0
h1,SHARED,92251,CLEAN,RAW,True,181,0.0939237797859994,155.73416500999815,0.12170669401591859,0.7619047619047619,462.08940960112074,0.3611241912056324,0.0
h1,SHARED,92251,CLEAN,RAW,True,141,0.18435586594958744,45.142702829270135,0.23968272106171226,0.7589285714285714,135.1841224488758,0.7177527326050475,0.0
h1,SHARED,92251,CLEAN,RAW,True,190,0.08361067325555752,10.240234465826125,0.1048454032257411,0.8214285714285714,39.72354861668178,0.40671251094613836,0.0
h1,SHARED,92251,CLEAN,RAW,True,26,0.2539353534366214,25.542996361142112,0.3195805095053932,0.7738095238095238,81.40663605644589,1.0185169296589067,0.0
h1,SHARED,92251,CLEAN,CAL,False,160,0.10511764177397585,44.789540764997994,0.13343790011107495,0.8154761904761905,143.2671056889865,0.42682424091897603,0.0
h1,SHARED,92251,CLEAN,CAL,False,83,0.20684577232360035,73.21869814479894,0.25059936537234667,0.43154761904761907,202.7577927108875,0.6939617265136467,0.046130952380952384
