candidate,proposal,baseline,seed,proposal_score,baseline_score,effect_pct
h1,U_SHRINK,F0,92251,0.13882369966065827,0.13802469406475673,-0.578885974944943
h1,U_SHRINK,F0,92252,0.13737641707545667,0.13802469406475673,0.4696818882249513
h1,U_SHRINK,SHARED,92251,0.13882369966065827,0.138827461008925,0.002709369053791154
h1,U_SHRINK,SHARED,92252,0.13737641707545667,0.1373721237379701,-0.003125333852137346
h1,U_SHRINK,LOCAL_LORA,92251,0.13882369966065827,0.14075050888031465,1.3689536435671539
h1,U_SHRINK,LOCAL_LORA,92252,0.13737641707545667,0.13912733808726818,1.2585024883558402
h1,U_SHRINK,RIDGE,92251,0.13882369966065827,0.1387208725005459,-0.07412522590063939
h1,U_SHRINK,RIDGE,92252,0.13737641707545667,0.1374103285332596,0.024678972945417203
h1,U_SHRINK,UNSHRUNK,92251,0.13882369966065827,0.1387794672920753,-0.031872415600128656
h1,U_SHRINK,UNSHRUNK,92252,0.13737641707545667,0.13738734600323418,0.00795482851619944
h1,U_SHRINK,FIXED_SHRINK,92251,0.13882369966065827,0.1387794672920753,-0.031872415600128656
h1,U_SHRINK,FIXED_SHRINK,92252,0.13737641707545667,0.13738734600323418,0.00795482851619944
h1,U_SHRINK,PERMUTED_G,92251,0.13882369966065827,0.13882356707384114,-9.550742711137507e-05
h1,U_SHRINK,PERMUTED_G,92252,0.13737641707545667,0.13737516644291545,-0.0009103774529304944
h1,U_SHRINK,CHRONOS2_DIRECT,92251,0.13882369966065827,0.13530942427412365,-2.5972140561436747
h1,U_SHRINK,CHRONOS2_DIRECT,92252,0.13737641707545667,0.13530942427412365,-1.5276044609764152
h2,SET_BIAS,F0_NATIVE,92261,0.14298451107319243,0.14296949698101194,-0.010501605235756793
h2,SET_BIAS,F0_NATIVE,92262,0.14306645031377732,0.14296949698101194,-0.0678139986589294
h2,SET_BIAS,F0_INTERP,92261,0.14298451107319243,0.2562820183640723,44.208137587682906
h2,SET_BIAS,F0_INTERP,92262,0.14306645031377732,0.2562820183640723,44.17616529360315
h2,SET_BIAS,QV_LORA,92261,0.14298451107319243,0.14218203566544116,-0.5643999989137335
h2,SET_BIAS,QV_LORA,92262,0.14306645031377732,0.14230017613922424,-0.538491374601931
h2,SET_BIAS,CENTROID_BIAS,92261,0.14298451107319243,0.14297201238337223,-0.008742053505329443
h2,SET_BIAS,CENTROID_BIAS,92262,0.14306645031377732,0.14297278270408675,-0.06551429434260436
h2,SET_BIAS,KEY_BIAS,92261,0.14298451107319243,0.14296862074336367,-0.011114557688354586
h2,SET_BIAS,KEY_BIAS,92262,0.14306645031377732,0.142968848971717,-0.06826755811654842
h2,SET_BIAS,GENERIC_BIAS,92261,0.14298451107319243,0.14305140338226927,0.046761029598625804
h2,SET_BIAS,GENERIC_BIAS,92262,0.14306645031377732,0.1430659900854722,-0.00032168952583176946
h2,SET_BIAS,CHRONOS2_DIRECT,92261,0.14298451107319243,0.14015415956464175,-2.0194559457546966
h2,SET_BIAS,CHRONOS2_DIRECT,92262,0.14306645031377732,0.14015415956464175,-2.077919598092533
