arm,updates,clip_fraction,gradnorm_median,gradnorm_max,contaminated_updates,minimum_boundary_free_MiB,mean_update_seconds,extra_theta_nonzero_fraction,extra_theta_mean_norm,extra_u_nonzero_fraction,extra_u_mean_norm,extra_v_nonzero_fraction,extra_v_mean_norm
H0,2048,0.0283203125,0.26230037212371826,3.2906911373138428,0,8125,0.09781947320955453,,,,,,
H1,2048,0.0283203125,0.2649078965187073,2.90126371383667,0,8126,0.09929631786631887,1.0,0.03925989025526633,,,,
H2,2048,0.02734375,0.264510378241539,2.9512689113616943,0,8125,0.09905685379793283,,,1.0,0.030748062787040453,1.0,0.013086523653754512
H3,2048,0.02880859375,0.2640618234872818,3.3448853492736816,0,8099,0.09925921640524393,,,1.0,0.018268356785789308,1.0,0.025976271354949176
