arm,LoRA_parameters,extra_parameters,total_trainable,frozen_parameters,input_rows,context,horizon,native_calls_per_update,CPU_fitted_scalar_entries_used,shared_prepared_CPU_scalar_storage,CPU_scalar_entries_in_forward,unique_training_origins,occurrences_per_unique_origin
H0,1179648,0,1179648,119477664,4,336,48,1,0,12,0,64,8
H1,1179648,4,1179652,119477664,4,336,48,1,12,12,12,64,8
H2,1179648,8,1179656,119477664,4,336,48,1,12,12,12,64,8
H3,1179648,8,1179656,119477664,4,336,48,1,12,12,12,64,8
