arm,seed,policy,metric,value
H0,73101,selected,observed_donor_normalized_RMSE,0.3955586416032178
H0,73101,selected,predicted_only_normalized_RMSE,0.3747362433348834
H0,73101,fixed512,observed_donor_normalized_RMSE,0.3955586416032178
H0,73101,fixed512,predicted_only_normalized_RMSE,0.3747362433348834
H1,73101,selected,observed_donor_normalized_RMSE,0.3955930334861498
H1,73101,selected,predicted_only_normalized_RMSE,0.3745484720016833
H1,73101,fixed512,observed_donor_normalized_RMSE,0.3955930334861498
H1,73101,fixed512,predicted_only_normalized_RMSE,0.3745484720016833
H2,73101,selected,observed_donor_normalized_RMSE,0.3957147275936114
H2,73101,selected,predicted_only_normalized_RMSE,0.37472583082690814
H2,73101,fixed512,observed_donor_normalized_RMSE,0.3957147275936114
H2,73101,fixed512,predicted_only_normalized_RMSE,0.37472583082690814
H3,73101,selected,observed_donor_normalized_RMSE,0.39555257017226536
H3,73101,selected,predicted_only_normalized_RMSE,0.37470562233754423
H3,73101,fixed512,observed_donor_normalized_RMSE,0.39555257017226536
H3,73101,fixed512,predicted_only_normalized_RMSE,0.37470562233754423
H0,73102,selected,observed_donor_normalized_RMSE,0.3909200272992895
H0,73102,selected,predicted_only_normalized_RMSE,0.37369800236116624
H0,73102,fixed512,observed_donor_normalized_RMSE,0.3909200272992895
H0,73102,fixed512,predicted_only_normalized_RMSE,0.37369800236116624
H1,73102,selected,observed_donor_normalized_RMSE,0.39099107839738095
H1,73102,selected,predicted_only_normalized_RMSE,0.3739467979734417
H1,73102,fixed512,observed_donor_normalized_RMSE,0.39099107839738095
H1,73102,fixed512,predicted_only_normalized_RMSE,0.3739467979734417
H2,73102,selected,observed_donor_normalized_RMSE,0.3909489669399556
H2,73102,selected,predicted_only_normalized_RMSE,0.3738136320790345
H2,73102,fixed512,observed_donor_normalized_RMSE,0.3909489669399556
H2,73102,fixed512,predicted_only_normalized_RMSE,0.3738136320790345
H3,73102,selected,observed_donor_normalized_RMSE,0.3904863364630262
H3,73102,selected,predicted_only_normalized_RMSE,0.37352984869408046
H3,73102,fixed512,observed_donor_normalized_RMSE,0.3904863364630262
H3,73102,fixed512,predicted_only_normalized_RMSE,0.37352984869408046
BLEND,73101,selected,observed_donor_normalized_RMSE,0.3955586416032178
BLEND,73101,selected,predicted_only_normalized_RMSE,0.3747362433348834
FROZEN_RIDGE,73101,selected,observed_donor_normalized_RMSE,0.6474029353939794
FROZEN_RIDGE,73101,selected,predicted_only_normalized_RMSE,0.5791801875212773
BLEND,73102,selected,observed_donor_normalized_RMSE,0.3909200272992895
BLEND,73102,selected,predicted_only_normalized_RMSE,0.37369800236116624
FROZEN_RIDGE,73102,selected,observed_donor_normalized_RMSE,0.6474029353939794
FROZEN_RIDGE,73102,selected,predicted_only_normalized_RMSE,0.5791801875212773
FROZEN,73101,selected,observed_donor_normalized_RMSE,0.3684121970760967
FROZEN,73101,selected,predicted_only_normalized_RMSE,0.3817422516856367
FROZEN,73102,selected,observed_donor_normalized_RMSE,0.3684121970760967
FROZEN,73102,selected,predicted_only_normalized_RMSE,0.3817422516856367
