arm,seed,policy,condition,score,revision
H0,73101,selected,PRIMARY,0.38211360686989315,
H0,73101,selected,standard,0.38211360686989315,
H0,73101,fixed512,PRIMARY,0.38211360686989315,
H0,73101,fixed512,standard,0.38211360686989315,
H1,73101,selected,PRIMARY,0.3819987572689669,
H1,73101,selected,standard,0.381998757268967,
H1,73101,fixed512,PRIMARY,0.3819987572689669,
H1,73101,fixed512,standard,0.381998757268967,
H2,73101,selected,PRIMARY,0.3821411758997635,
H2,73101,selected,standard,0.38214117589976354,
H2,73101,fixed512,PRIMARY,0.3821411758997635,
H2,73101,fixed512,standard,0.38214117589976354,
H3,73101,selected,PRIMARY,0.3820574121025961,
H3,73101,selected,standard,0.3820574121025961,
H3,73101,fixed512,PRIMARY,0.3820574121025961,
H3,73101,fixed512,standard,0.3820574121025961,
H0,73102,selected,PRIMARY,0.37988788761580466,
H0,73102,selected,standard,0.37988788761580466,
H0,73102,fixed512,PRIMARY,0.37988788761580466,
H0,73102,fixed512,standard,0.37988788761580466,
H1,73102,selected,PRIMARY,0.38005306562666286,
H1,73102,selected,standard,0.38005306562666286,
H1,73102,fixed512,PRIMARY,0.38005306562666286,
H1,73102,fixed512,standard,0.38005306562666286,
H2,73102,selected,PRIMARY,0.3799654817317737,
H2,73102,selected,standard,0.3799654817317737,
H2,73102,fixed512,PRIMARY,0.3799654817317737,
H2,73102,fixed512,standard,0.3799654817317737,
H3,73102,selected,PRIMARY,0.3796014632323503,
H3,73102,selected,standard,0.3796014632323502,
H3,73102,fixed512,PRIMARY,0.3796014632323503,
H3,73102,fixed512,standard,0.3796014632323502,
BLEND,73101,selected,PRIMARY,0.38211360686989315,
BLEND,73101,selected,standard,0.38211360686989315,
FROZEN_RIDGE,73101,selected,PRIMARY,0.5961252619473769,
FROZEN_RIDGE,73101,selected,standard,0.5961252619473769,
BLEND,73102,selected,PRIMARY,0.37988788761580466,
BLEND,73102,selected,standard,0.37988788761580466,
FROZEN_RIDGE,73102,selected,PRIMARY,0.5961252619473769,
FROZEN_RIDGE,73102,selected,standard,0.5961252619473769,
FROZEN,73101,selected,PRIMARY,0.3758959099274145,
FROZEN,73101,selected,standard,0.37589590992741445,
FROZEN,73102,selected,PRIMARY,0.3758959099274145,
FROZEN,73102,selected,standard,0.37589590992741445,
