id,arm,seed,updates,optimizer_seconds,seconds,trainable_parameters,peak_allocated_bytes,peak_reserved_bytes,status
H0_73100_1e-04,H0,73100,512,50.28078097614343,63.34500962900347,1179648,634260480,645922816,COMPLETE
H0_73100_3e-05,H0,73100,512,50.41764083955786,62.36871544999303,1179648,633457664,650117120,COMPLETE
H1_73100_1e-04,H1,73100,512,50.821030691906344,64.09805831298581,1179652,633459712,650117120,COMPLETE
H1_73100_3e-05,H1,73100,512,51.20500492170686,63.37088028999278,1179652,633459712,650117120,COMPLETE
H2_73100_1e-04,H2,73100,512,50.78423659715918,64.01828233897686,1179656,633461760,650117120,COMPLETE
H2_73100_3e-05,H2,73100,512,50.69551007114933,62.60571509701549,1179656,633461760,650117120,COMPLETE
H3_73100_1e-04,H3,73100,512,50.733086669351906,63.850382230011746,1179656,633461760,650117120,COMPLETE
H3_73100_3e-05,H3,73100,512,50.687129383324645,62.7688382990018,1179656,633461760,650117120,COMPLETE
H0_73101_3e-05,H0,73101,512,49.70620888590929,62.67796316399472,1179648,633457664,650117120,COMPLETE
H1_73101_3e-05,H1,73101,512,50.60642372444272,63.840571479988284,1179652,633459712,650117120,COMPLETE
H2_73101_3e-05,H2,73101,512,50.64685728389304,63.594365525001194,1179656,633461760,650117120,COMPLETE
H3_73101_3e-05,H3,73101,512,50.954656062065624,64.05154264500015,1179656,633461760,650117120,COMPLETE
H0_73102_3e-05,H0,73102,512,49.92965043155709,63.022228969988646,1179648,633457664,650117120,COMPLETE
H1_73102_3e-05,H1,73102,512,50.72639965216513,63.915615166013595,1179652,633459712,650117120,COMPLETE
H2_73102_3e-05,H2,73102,512,50.74183262596489,64.10990645500715,1179656,633461760,650117120,COMPLETE
H3_73102_3e-05,H3,73102,512,50.9080030831974,63.88681711800746,1179656,633461760,650117120,COMPLETE
