arm,seed,policy,normalized_RMSE,raw_revision_RMS,E_accuracy_protected,accuracy_ratio
D0,73101,selected,0.37003370253366685,0.12524122405038607,True,1.0
D0,73101,fixed512,0.39532181680541495,0.22019206654099635,True,1.0
D1,73101,selected,0.37003370253366685,0.12524122405038607,True,1.0
D1,73101,fixed512,0.38525380366286244,0.19866699830280224,True,0.9745321084884415
D2,73101,selected,0.37003370253366685,0.12524122405038607,True,1.0
D2,73101,fixed512,0.384472438377201,0.20571180406846232,True,0.9725555788550011
D3,73101,selected,0.37003370253366685,0.12524122405038607,True,1.0
D3,73101,fixed512,0.3867143741234418,0.20912531815167673,True,0.9782267451072403
D0,73102,selected,0.37003370253366685,0.12524122405038607,True,1.0
D0,73102,fixed512,0.3993744696973299,0.23741243198900286,True,1.0
D1,73102,selected,0.37003370253366685,0.12524122405038607,True,1.0
D1,73102,fixed512,0.3847119276552199,0.20825884185494722,True,0.963286230957071
D2,73102,selected,0.37003370253366685,0.12524122405038607,True,1.0
D2,73102,fixed512,0.39363253705203405,0.22349993152884562,True,0.9856226847708932
D3,73102,selected,0.37003370253366685,0.12524122405038607,True,1.0
D3,73102,fixed512,0.394219619058057,0.22344377081776642,True,0.9870926886158258
BLEND,73101,selected,0.3706924442463532,0.09393091803778957,True,1.0017802208506303
BLEND,73102,selected,0.3706924442463532,0.09393091803778957,True,1.0017802208506303
FROZEN,73101,selected,0.37003370253366685,0.12524122405038607,True,1.0
FROZEN,73102,selected,0.37003370253366685,0.12524122405038607,True,1.0
