arm,seed,policy,normalized_RMSE,raw_revision_RMS,E_accuracy_protected,accuracy_ratio,selected_D0_reference,accuracy_harm_vs_selected_D0_percent,protected_vs_selected_D0
D0,73101,selected,0.3700337025336668,0.125241224050386,True,1.0,0.3700337025336668,0.0,True
D0,73101,fixed512,0.3953218168054149,0.2201920665409963,True,1.0,0.3700337025336668,6.834002983673448,False
D1,73101,selected,0.3700337025336668,0.125241224050386,True,1.0,0.3700337025336668,0.0,True
D1,73101,fixed512,0.3852538036628624,0.1986669983028022,True,0.9745321084884416,0.3700337025336668,4.113166185939732,False
D2,73101,selected,0.3700337025336668,0.125241224050386,True,1.0,0.3700337025336668,0.0,True
D2,73101,fixed512,0.384472438377201,0.2057118040684623,True,0.9725555788550012,0.3700337025336668,3.902005613183457,False
D3,73101,selected,0.3700337025336668,0.125241224050386,True,1.0,0.3700337025336668,0.0,True
D3,73101,fixed512,0.3867143741234418,0.2091253181516767,True,0.9782267451072404,0.3700337025336668,4.507879005496074,False
D0,73102,selected,0.3700337025336668,0.125241224050386,True,1.0,0.3700337025336668,0.0,True
D0,73102,fixed512,0.3993744696973299,0.2374124319890028,True,1.0,0.3700337025336668,7.929214815505525,False
D1,73102,selected,0.3700337025336668,0.125241224050386,True,1.0,0.3700337025336668,0.0,True
D1,73102,fixed512,0.3847119276552199,0.2082588418549472,True,0.963286230957071,0.3700337025336668,3.966726549784383,False
D2,73102,selected,0.3700337025336668,0.125241224050386,True,1.0,0.3700337025336668,0.0,True
D2,73102,fixed512,0.393632537052034,0.2234999315288456,True,0.9856226847708932,0.3700337025336668,6.377482471673002,False
D3,73102,selected,0.3700337025336668,0.125241224050386,True,1.0,0.3700337025336668,0.0,True
D3,73102,fixed512,0.394219619058057,0.2234437708177664,True,0.9870926886158258,0.3700337025336668,6.536138832432359,False
BLEND,73101,selected,0.3706924442463532,0.0939309180377895,True,1.0017802208506303,0.3700337025336668,0.1780220850630565,True
BLEND,73102,selected,0.3706924442463532,0.0939309180377895,True,1.0017802208506303,0.3700337025336668,0.1780220850630565,True
FROZEN,73101,selected,0.3700337025336668,0.125241224050386,True,1.0,0.3700337025336668,0.0,True
FROZEN,73102,selected,0.3700337025336668,0.125241224050386,True,1.0,0.3700337025336668,0.0,True
