id,unique_origins,each_occurrences,total_updates,contaminated_updates,clip_fraction
D0_73100_1e-04,64,8,512,0,0.00390625
D0_73100_3e-05,64,8,512,0,0.0
D1_73100_1e-04,64,8,512,0,0.005859375
D1_73100_3e-05,64,8,512,0,0.005859375
D2_73100_1e-04,64,8,512,0,0.005859375
D2_73100_3e-05,64,8,512,0,0.0
D3_73100_1e-04,64,8,512,0,0.00390625
D3_73100_3e-05,64,8,512,0,0.0
D0_73101_3e-05,64,8,512,0,0.00390625
D1_73101_3e-05,64,8,512,0,0.00390625
D2_73101_3e-05,64,8,512,0,0.00390625
D3_73101_3e-05,64,8,512,0,0.00390625
D0_73102_3e-05,64,8,512,0,0.0
D1_73102_3e-05,64,8,512,0,0.0
D2_73102_3e-05,64,8,512,0,0.001953125
D3_73102_3e-05,64,8,512,0,0.001953125
