arm,seed,policy,condition,score,revision
D0,73101,selected,PRIMARY,0.37003370253366685,0.12524122405038607
D0,73101,fixed512,PRIMARY,0.39532181680541495,0.22019206654099635
D1,73101,selected,PRIMARY,0.37003370253366685,0.12524122405038607
D1,73101,fixed512,PRIMARY,0.38525380366286244,0.19866699830280224
D2,73101,selected,PRIMARY,0.37003370253366685,0.12524122405038607
D2,73101,fixed512,PRIMARY,0.384472438377201,0.20571180406846232
D3,73101,selected,PRIMARY,0.37003370253366685,0.12524122405038607
D3,73101,fixed512,PRIMARY,0.3867143741234418,0.20912531815167673
D0,73102,selected,PRIMARY,0.37003370253366685,0.12524122405038607
D0,73102,fixed512,PRIMARY,0.3993744696973299,0.23741243198900286
D1,73102,selected,PRIMARY,0.37003370253366685,0.12524122405038607
D1,73102,fixed512,PRIMARY,0.3847119276552199,0.20825884185494722
D2,73102,selected,PRIMARY,0.37003370253366685,0.12524122405038607
D2,73102,fixed512,PRIMARY,0.39363253705203405,0.22349993152884562
D3,73102,selected,PRIMARY,0.37003370253366685,0.12524122405038607
D3,73102,fixed512,PRIMARY,0.394219619058057,0.22344377081776642
BLEND,73101,selected,PRIMARY,0.3706924442463532,0.09393091803778957
BLEND,73102,selected,PRIMARY,0.3706924442463532,0.09393091803778957
FROZEN,73101,selected,PRIMARY,0.37003370253366685,0.12524122405038607
FROZEN,73102,selected,PRIMARY,0.37003370253366685,0.12524122405038607
