arm,seed,policy,metric,channel,condition,scalar,recorded
D0,73101,selected,raw_RMSE,0,early,0.02353200793938128,0.0235320079393812
D0,73101,selected,raw_MAE,0,early,0.006538315642601811,0.0065383156426018
D0,73101,selected,raw_RMSE,0,late,0.017660432228562624,0.0176604322285626
D0,73101,selected,raw_MAE,0,late,0.006012423505475938,0.0060124235054759
D0,73101,selected,raw_RMSE,1,early,0.01677289706989728,0.0167728970698972
D0,73101,selected,raw_MAE,1,early,0.007459768441575579,0.0074597684415755
D0,73101,selected,raw_RMSE,1,late,0.0192885039499525,0.0192885039499525
D0,73101,selected,raw_MAE,1,late,0.008038793319093141,0.0080387933190931
D0,73101,selected,raw_RMSE,2,early,0.025903227268502114,0.0259032272685021
D0,73101,selected,raw_MAE,2,early,0.015268632701180953,0.0152686327011809
D0,73101,selected,raw_RMSE,2,late,0.038767236746983166,0.0387672367469831
D0,73101,selected,raw_MAE,2,late,0.021441694021133783,0.0214416940211337
D0,73101,selected,raw_RMSE,3,early,0.014640568968092977,0.0146405689680929
D0,73101,selected,raw_MAE,3,early,0.006402166736811827,0.0064021667368118
D0,73101,selected,raw_RMSE,3,late,0.012627096656209823,0.0126270966562098
D0,73101,selected,raw_MAE,3,late,0.006500017508027183,0.0065000175080271
D0,73101,selected,revision_RMS_normalized,,,0.1252412240503861,0.125241224050386
D0,73101,fixed512,raw_RMSE,0,early,0.025555172749861542,0.0255551727498615
D0,73101,fixed512,raw_MAE,0,early,0.0090337756290799,0.0090337756290799
D0,73101,fixed512,raw_RMSE,0,late,0.01827565219380037,0.0182756521938003
D0,73101,fixed512,raw_MAE,0,late,0.007032032256883879,0.0070320322568838
D0,73101,fixed512,raw_RMSE,1,early,0.01962279904764131,0.0196227990476413
D0,73101,fixed512,raw_MAE,1,early,0.010020981009479147,0.0100209810094791
D0,73101,fixed512,raw_RMSE,1,late,0.0204359617384349,0.0204359617384349
D0,73101,fixed512,raw_MAE,1,late,0.0094244063099594,0.0094244063099594
D0,73101,fixed512,raw_RMSE,2,early,0.03354854947143305,0.033548549471433
D0,73101,fixed512,raw_MAE,2,early,0.022187870541519564,0.0221878705415195
D0,73101,fixed512,raw_RMSE,2,late,0.03559713196110889,0.0355971319611088
D0,73101,fixed512,raw_MAE,2,late,0.02272161583296256,0.0227216158329625
D0,73101,fixed512,raw_RMSE,3,early,0.01601918197746749,0.0160191819774674
D0,73101,fixed512,raw_MAE,3,early,0.008930535181129623,0.0089305351811296
D0,73101,fixed512,raw_RMSE,3,late,0.012503753657366853,0.0125037536573668
D0,73101,fixed512,raw_MAE,3,late,0.007216539375430633,0.0072165393754306
D0,73101,fixed512,revision_RMS_normalized,,,0.22019206654099638,0.2201920665409963
D1,73101,selected,raw_RMSE,0,early,0.02353200793938128,0.0235320079393812
D1,73101,selected,raw_MAE,0,early,0.006538315642601811,0.0065383156426018
D1,73101,selected,raw_RMSE,0,late,0.017660432228562624,0.0176604322285626
D1,73101,selected,raw_MAE,0,late,0.006012423505475938,0.0060124235054759
D1,73101,selected,raw_RMSE,1,early,0.01677289706989728,0.0167728970698972
D1,73101,selected,raw_MAE,1,early,0.007459768441575579,0.0074597684415755
D1,73101,selected,raw_RMSE,1,late,0.0192885039499525,0.0192885039499525
D1,73101,selected,raw_MAE,1,late,0.008038793319093141,0.0080387933190931
D1,73101,selected,raw_RMSE,2,early,0.025903227268502114,0.0259032272685021
D1,73101,selected,raw_MAE,2,early,0.015268632701180953,0.0152686327011809
D1,73101,selected,raw_RMSE,2,late,0.038767236746983166,0.0387672367469831
D1,73101,selected,raw_MAE,2,late,0.021441694021133783,0.0214416940211337
D1,73101,selected,raw_RMSE,3,early,0.014640568968092977,0.0146405689680929
D1,73101,selected,raw_MAE,3,early,0.006402166736811827,0.0064021667368118
D1,73101,selected,raw_RMSE,3,late,0.012627096656209823,0.0126270966562098
D1,73101,selected,raw_MAE,3,late,0.006500017508027183,0.0065000175080271
D1,73101,selected,revision_RMS_normalized,,,0.1252412240503861,0.125241224050386
D1,73101,fixed512,raw_RMSE,0,early,0.024476309653649844,0.0244763096536498
D1,73101,fixed512,raw_MAE,0,early,0.008524339644751551,0.0085243396447515
D1,73101,fixed512,raw_RMSE,0,late,0.01677041554251089,0.0167704155425108
D1,73101,fixed512,raw_MAE,0,late,0.006573584684589877,0.0065735846845898
D1,73101,fixed512,raw_RMSE,1,early,0.019288025433662797,0.0192880254336627
D1,73101,fixed512,raw_MAE,1,early,0.009708903509175677,0.0097089035091756
D1,73101,fixed512,raw_RMSE,1,late,0.02038413746207978,0.0203841374620797
D1,73101,fixed512,raw_MAE,1,late,0.009255085790682157,0.0092550857906821
D1,73101,fixed512,raw_RMSE,2,early,0.03252837411875113,0.0325283741187511
D1,73101,fixed512,raw_MAE,2,early,0.021554887962387873,0.0215548879623878
D1,73101,fixed512,raw_RMSE,2,late,0.03438858115091832,0.0343885811509183
D1,73101,fixed512,raw_MAE,2,late,0.02205845994057405,0.022058459940574
D1,73101,fixed512,raw_RMSE,3,early,0.015925671443590535,0.0159256714435905
D1,73101,fixed512,raw_MAE,3,early,0.008692632518229463,0.0086926325182294
D1,73101,fixed512,raw_RMSE,3,late,0.01239572164568555,0.0123957216456855
D1,73101,fixed512,raw_MAE,3,late,0.007008932996926402,0.0070089329969264
D1,73101,fixed512,revision_RMS_normalized,,,0.19866699830280224,0.1986669983028022
D2,73101,selected,raw_RMSE,0,early,0.02353200793938128,0.0235320079393812
D2,73101,selected,raw_MAE,0,early,0.006538315642601811,0.0065383156426018
D2,73101,selected,raw_RMSE,0,late,0.017660432228562624,0.0176604322285626
D2,73101,selected,raw_MAE,0,late,0.006012423505475938,0.0060124235054759
D2,73101,selected,raw_RMSE,1,early,0.01677289706989728,0.0167728970698972
D2,73101,selected,raw_MAE,1,early,0.007459768441575579,0.0074597684415755
D2,73101,selected,raw_RMSE,1,late,0.0192885039499525,0.0192885039499525
D2,73101,selected,raw_MAE,1,late,0.008038793319093141,0.0080387933190931
D2,73101,selected,raw_RMSE,2,early,0.025903227268502114,0.0259032272685021
D2,73101,selected,raw_MAE,2,early,0.015268632701180953,0.0152686327011809
D2,73101,selected,raw_RMSE,2,late,0.038767236746983166,0.0387672367469831
D2,73101,selected,raw_MAE,2,late,0.021441694021133783,0.0214416940211337
D2,73101,selected,raw_RMSE,3,early,0.014640568968092977,0.0146405689680929
D2,73101,selected,raw_MAE,3,early,0.006402166736811827,0.0064021667368118
D2,73101,selected,raw_RMSE,3,late,0.012627096656209823,0.0126270966562098
D2,73101,selected,raw_MAE,3,late,0.006500017508027183,0.0065000175080271
D2,73101,selected,revision_RMS_normalized,,,0.1252412240503861,0.125241224050386
D2,73101,fixed512,raw_RMSE,0,early,0.02362883948376435,0.0236288394837643
D2,73101,fixed512,raw_MAE,0,early,0.008317646226358678,0.0083176462263586
D2,73101,fixed512,raw_RMSE,0,late,0.01655049588676217,0.0165504958867621
D2,73101,fixed512,raw_MAE,0,late,0.006598714609839954,0.0065987146098399
D2,73101,fixed512,raw_RMSE,1,early,0.0200689218388912,0.0200689218388912
D2,73101,fixed512,raw_MAE,1,early,0.009890682586407637,0.0098906825864076
D2,73101,fixed512,raw_RMSE,1,late,0.02084419656503584,0.0208441965650358
D2,73101,fixed512,raw_MAE,1,late,0.00935678100285683,0.0093567810028568
D2,73101,fixed512,raw_RMSE,2,early,0.032152296169870156,0.0321522961698701
D2,73101,fixed512,raw_MAE,2,early,0.02136717231721462,0.0213671723172146
D2,73101,fixed512,raw_RMSE,2,late,0.03442746380801324,0.0344274638080132
D2,73101,fixed512,raw_MAE,2,late,0.022222674054309027,0.022222674054309
D2,73101,fixed512,raw_RMSE,3,early,0.015710770770642594,0.0157107707706425
D2,73101,fixed512,raw_MAE,3,early,0.008555481699685332,0.0085554816996853
D2,73101,fixed512,raw_RMSE,3,late,0.012337414049926108,0.0123374140499261
D2,73101,fixed512,raw_MAE,3,late,0.006960880067227602,0.0069608800672276
D2,73101,fixed512,revision_RMS_normalized,,,0.20571180406846235,0.2057118040684623
D3,73101,selected,raw_RMSE,0,early,0.02353200793938128,0.0235320079393812
D3,73101,selected,raw_MAE,0,early,0.006538315642601811,0.0065383156426018
D3,73101,selected,raw_RMSE,0,late,0.017660432228562624,0.0176604322285626
D3,73101,selected,raw_MAE,0,late,0.006012423505475938,0.0060124235054759
D3,73101,selected,raw_RMSE,1,early,0.01677289706989728,0.0167728970698972
D3,73101,selected,raw_MAE,1,early,0.007459768441575579,0.0074597684415755
D3,73101,selected,raw_RMSE,1,late,0.0192885039499525,0.0192885039499525
D3,73101,selected,raw_MAE,1,late,0.008038793319093141,0.0080387933190931
D3,73101,selected,raw_RMSE,2,early,0.025903227268502114,0.0259032272685021
D3,73101,selected,raw_MAE,2,early,0.015268632701180953,0.0152686327011809
D3,73101,selected,raw_RMSE,2,late,0.038767236746983166,0.0387672367469831
D3,73101,selected,raw_MAE,2,late,0.021441694021133783,0.0214416940211337
D3,73101,selected,raw_RMSE,3,early,0.014640568968092977,0.0146405689680929
D3,73101,selected,raw_MAE,3,early,0.006402166736811827,0.0064021667368118
D3,73101,selected,raw_RMSE,3,late,0.012627096656209823,0.0126270966562098
D3,73101,selected,raw_MAE,3,late,0.006500017508027183,0.0065000175080271
D3,73101,selected,revision_RMS_normalized,,,0.1252412240503861,0.125241224050386
D3,73101,fixed512,raw_RMSE,0,early,0.02405797042865348,0.0240579704286534
D3,73101,fixed512,raw_MAE,0,early,0.008496041336927253,0.0084960413369272
D3,73101,fixed512,raw_RMSE,0,late,0.016908486766428487,0.0169084867664284
D3,73101,fixed512,raw_MAE,0,late,0.00668578768428221,0.0066857876842822
D3,73101,fixed512,raw_RMSE,1,early,0.019959374813632347,0.0199593748136323
D3,73101,fixed512,raw_MAE,1,early,0.009893634678163411,0.0098936346781634
D3,73101,fixed512,raw_RMSE,1,late,0.020752074316368753,0.0207520743163687
D3,73101,fixed512,raw_MAE,1,late,0.009353787960845511,0.0093537879608455
D3,73101,fixed512,raw_RMSE,2,early,0.03248927492879091,0.0324892749287909
D3,73101,fixed512,raw_MAE,2,early,0.021525515237683427,0.0215255152376834
D3,73101,fixed512,raw_RMSE,2,late,0.03477140473558481,0.0347714047355848
D3,73101,fixed512,raw_MAE,2,late,0.022424465408011265,0.0224244654080112
D3,73101,fixed512,raw_RMSE,3,early,0.0157443095410713,0.0157443095410713
D3,73101,fixed512,raw_MAE,3,early,0.008614589535662284,0.0086145895356622
D3,73101,fixed512,raw_RMSE,3,late,0.012328755863817454,0.0123287558638174
D3,73101,fixed512,raw_MAE,3,late,0.0069783687438583,0.0069783687438583
D3,73101,fixed512,revision_RMS_normalized,,,0.20912531815167673,0.2091253181516767
D0,73102,selected,raw_RMSE,0,early,0.02353200793938128,0.0235320079393812
D0,73102,selected,raw_MAE,0,early,0.006538315642601811,0.0065383156426018
D0,73102,selected,raw_RMSE,0,late,0.017660432228562624,0.0176604322285626
D0,73102,selected,raw_MAE,0,late,0.006012423505475938,0.0060124235054759
D0,73102,selected,raw_RMSE,1,early,0.01677289706989728,0.0167728970698972
D0,73102,selected,raw_MAE,1,early,0.007459768441575579,0.0074597684415755
D0,73102,selected,raw_RMSE,1,late,0.0192885039499525,0.0192885039499525
D0,73102,selected,raw_MAE,1,late,0.008038793319093141,0.0080387933190931
D0,73102,selected,raw_RMSE,2,early,0.025903227268502114,0.0259032272685021
D0,73102,selected,raw_MAE,2,early,0.015268632701180953,0.0152686327011809
D0,73102,selected,raw_RMSE,2,late,0.038767236746983166,0.0387672367469831
D0,73102,selected,raw_MAE,2,late,0.021441694021133783,0.0214416940211337
D0,73102,selected,raw_RMSE,3,early,0.014640568968092977,0.0146405689680929
D0,73102,selected,raw_MAE,3,early,0.006402166736811827,0.0064021667368118
D0,73102,selected,raw_RMSE,3,late,0.012627096656209823,0.0126270966562098
D0,73102,selected,raw_MAE,3,late,0.006500017508027183,0.0065000175080271
D0,73102,selected,revision_RMS_normalized,,,0.1252412240503861,0.125241224050386
D0,73102,fixed512,raw_RMSE,0,early,0.025333083881312914,0.0253330838813129
D0,73102,fixed512,raw_MAE,0,early,0.008915291606208969,0.0089152916062089
D0,73102,fixed512,raw_RMSE,0,late,0.017754743178339086,0.017754743178339
D0,73102,fixed512,raw_MAE,0,late,0.006938240690977545,0.0069382406909775
D0,73102,fixed512,raw_RMSE,1,early,0.020561456548731427,0.0205614565487314
D0,73102,fixed512,raw_MAE,1,early,0.010451661762533088,0.010451661762533
D0,73102,fixed512,raw_RMSE,1,late,0.021159052161174106,0.0211590521611741
D0,73102,fixed512,raw_MAE,1,late,0.009839799085260408,0.0098397990852604
D0,73102,fixed512,raw_RMSE,2,early,0.033375895638024976,0.0333758956380249
D0,73102,fixed512,raw_MAE,2,early,0.02217696205721004,0.02217696205721
D0,73102,fixed512,raw_RMSE,2,late,0.03615138833103328,0.0361513883310332
D0,73102,fixed512,raw_MAE,2,late,0.02305487235055771,0.0230548723505577
D0,73102,fixed512,raw_RMSE,3,early,0.016209482208762928,0.0162094822087629
D0,73102,fixed512,raw_MAE,3,early,0.008906183947365693,0.0089061839473656
D0,73102,fixed512,raw_RMSE,3,late,0.01248508460509014,0.0124850846050901
D0,73102,fixed512,raw_MAE,3,late,0.0072365129190458295,0.0072365129190458
D0,73102,fixed512,revision_RMS_normalized,,,0.2374124319890029,0.2374124319890028
D1,73102,selected,raw_RMSE,0,early,0.02353200793938128,0.0235320079393812
D1,73102,selected,raw_MAE,0,early,0.006538315642601811,0.0065383156426018
D1,73102,selected,raw_RMSE,0,late,0.017660432228562624,0.0176604322285626
D1,73102,selected,raw_MAE,0,late,0.006012423505475938,0.0060124235054759
D1,73102,selected,raw_RMSE,1,early,0.01677289706989728,0.0167728970698972
D1,73102,selected,raw_MAE,1,early,0.007459768441575579,0.0074597684415755
D1,73102,selected,raw_RMSE,1,late,0.0192885039499525,0.0192885039499525
D1,73102,selected,raw_MAE,1,late,0.008038793319093141,0.0080387933190931
D1,73102,selected,raw_RMSE,2,early,0.025903227268502114,0.0259032272685021
D1,73102,selected,raw_MAE,2,early,0.015268632701180953,0.0152686327011809
D1,73102,selected,raw_RMSE,2,late,0.038767236746983166,0.0387672367469831
D1,73102,selected,raw_MAE,2,late,0.021441694021133783,0.0214416940211337
D1,73102,selected,raw_RMSE,3,early,0.014640568968092977,0.0146405689680929
D1,73102,selected,raw_MAE,3,early,0.006402166736811827,0.0064021667368118
D1,73102,selected,raw_RMSE,3,late,0.012627096656209823,0.0126270966562098
D1,73102,selected,raw_MAE,3,late,0.006500017508027183,0.0065000175080271
D1,73102,selected,revision_RMS_normalized,,,0.1252412240503861,0.125241224050386
D1,73102,fixed512,raw_RMSE,0,early,0.02393948603964687,0.0239394860396468
D1,73102,fixed512,raw_MAE,0,early,0.008385345743292904,0.0083853457432929
D1,73102,fixed512,raw_RMSE,0,late,0.01642250289985203,0.016422502899852
D1,73102,fixed512,raw_MAE,0,late,0.006559122300019953,0.0065591223000199
D1,73102,fixed512,raw_RMSE,1,early,0.019784485201413234,0.0197844852014132
D1,73102,fixed512,raw_MAE,1,early,0.010127929798344848,0.0101279297983448
D1,73102,fixed512,raw_RMSE,1,late,0.020670155724290328,0.0206701557242903
