bin,origins,unique_utc_dates,origin_fraction
S<1,18224,890,0.8223455620233744
1<=S<2,3689,383,0.16646360723794051
2<=S<3,236,43,0.010649338928748702
S>=3,12,3,0.0005414918099363748
