index,origin_utc,utc_date,year,S,bin
35064,2024-01-01T00:00:00+00:00,2024-01-01,2024,0.09909367473762366,S<1
35065,2024-01-01T01:00:00+00:00,2024-01-01,2024,0.14563989373295397,S<1
35066,2024-01-01T02:00:00+00:00,2024-01-01,2024,0.19287863413762352,S<1
35067,2024-01-01T03:00:00+00:00,2024-01-01,2024,0.22655167779047994,S<1
35068,2024-01-01T04:00:00+00:00,2024-01-01,2024,0.19550914669791164,S<1
35069,2024-01-01T05:00:00+00:00,2024-01-01,2024,0.13740793808117105,S<1
35070,2024-01-01T06:00:00+00:00,2024-01-01,2024,0.07069513575686236,S<1
35071,2024-01-01T07:00:00+00:00,2024-01-01,2024,0.02456763039494952,S<1
35072,2024-01-01T08:00:00+00:00,2024-01-01,2024,0.09545398295401164,S<1
35073,2024-01-01T09:00:00+00:00,2024-01-01,2024,0.15678664451008298,S<1
35074,2024-01-01T10:00:00+00:00,2024-01-01,2024,0.22693330587273372,S<1
35075,2024-01-01T11:00:00+00:00,2024-01-01,2024,0.3555568919133711,S<1
35076,2024-01-01T12:00:00+00:00,2024-01-01,2024,0.41689213321181146,S<1
35077,2024-01-01T13:00:00+00:00,2024-01-01,2024,0.3555568919133711,S<1
35078,2024-01-01T14:00:00+00:00,2024-01-01,2024,0.23663841912065542,S<1
35079,2024-01-01T15:00:00+00:00,2024-01-01,2024,0.19429870946657246,S<1
35080,2024-01-01T16:00:00+00:00,2024-01-01,2024,0.1751569345170629,S<1
35081,2024-01-01T17:00:00+00:00,2024-01-01,2024,0.14712885629505354,S<1
35082,2024-01-01T18:00:00+00:00,2024-01-01,2024,0.10965631342760862,S<1
35083,2024-01-01T19:00:00+00:00,2024-01-01,2024,0.10934147030196133,S<1
35084,2024-01-01T20:00:00+00:00,2024-01-01,2024,0.10055969266723294,S<1
35085,2024-01-01T21:00:00+00:00,2024-01-01,2024,0.07644768851996456,S<1
35086,2024-01-01T22:00:00+00:00,2024-01-01,2024,0.0420946137825675,S<1
35087,2024-01-01T23:00:00+00:00,2024-01-01,2024,0.022089902412136292,S<1
35088,2024-01-02T00:00:00+00:00,2024-01-02,2024,0.001302122863114546,S<1
35089,2024-01-02T01:00:00+00:00,2024-01-02,2024,0.042989478890672506,S<1
35090,2024-01-02T02:00:00+00:00,2024-01-02,2024,0.069269037739019,S<1
35091,2024-01-02T03:00:00+00:00,2024-01-02,2024,0.07557215479724756,S<1
35092,2024-01-02T04:00:00+00:00,2024-01-02,2024,0.08666058586428661,S<1
35093,2024-01-02T05:00:00+00:00,2024-01-02,2024,0.1630770341726657,S<1
35094,2024-01-02T06:00:00+00:00,2024-01-02,2024,0.2029007442041452,S<1
35095,2024-01-02T07:00:00+00:00,2024-01-02,2024,0.2368062316979735,S<1
35096,2024-01-02T08:00:00+00:00,2024-01-02,2024,0.28725124063847324,S<1
