arm,seed,comparison,method_score,baseline_score,gain_percent,ci_low,ci_high
C0,73101,NEW_vs_OLD_WEIGHTS_ON_NEW_E,0.689290668783611,0.7342089655860822,6.117917229002392,0.7628504318645034,11.655765848953216
C0,73101,NEW_vs_OLD_WEIGHTS_ON_OLD_E,0.8391930122159516,0.9266089536873112,9.43396252793588,-1.2106557287551598,10.55471396539607
C0,73102,NEW_vs_OLD_WEIGHTS_ON_NEW_E,0.68539635582348,0.7148330381855914,4.117980114185597,0.4642075704145757,8.078679793398035
C0,73102,NEW_vs_OLD_WEIGHTS_ON_OLD_E,0.8113359228020309,0.8596981333590326,5.625487444998824,-3.4365504265322415,6.546196902658182
C1,73101,NEW_vs_OLD_WEIGHTS_ON_NEW_E,0.6693248720478322,0.7357392231992621,9.02688738852825,3.959064696115341,15.62487280573731
C1,73101,NEW_vs_OLD_WEIGHTS_ON_OLD_E,0.6584763906303498,0.6820602528537842,3.4577388324210423,-1.556882813150332,4.184253850212401
C1,73102,NEW_vs_OLD_WEIGHTS_ON_NEW_E,0.6675268624501649,0.7393786801290125,9.717864419124226,2.755723452565195,17.45566502295545
C1,73102,NEW_vs_OLD_WEIGHTS_ON_OLD_E,0.6463396783007598,0.6953936804436531,7.054134013929701,2.9038362862284606,7.757421309959603
C2,73101,NEW_vs_OLD_WEIGHTS_ON_NEW_E,0.6686816306423919,0.7364361708560019,9.200327590489609,1.5874301193025309,18.22022247560748
C2,73101,NEW_vs_OLD_WEIGHTS_ON_OLD_E,0.5170920420404183,0.6444093899584322,19.75721488574625,12.226504140878031,21.095744346605265
C2,73102,NEW_vs_OLD_WEIGHTS_ON_NEW_E,0.6784061906343006,0.7318629886068859,7.304208411241187,-0.5312229711955593,15.433436879252156
C2,73102,NEW_vs_OLD_WEIGHTS_ON_OLD_E,0.490730320598319,0.6384142131810375,23.13292679479228,22.996969428639794,24.256037875033698
C3,73101,NEW_vs_OLD_WEIGHTS_ON_NEW_E,0.6685674727647326,0.7416645405570056,9.855812674740463,2.1066786385240586,19.316503155671494
C3,73101,NEW_vs_OLD_WEIGHTS_ON_OLD_E,0.5219868593256989,0.6513152341650288,19.856494682659452,11.949924592906456,21.255056674803996
C3,73102,NEW_vs_OLD_WEIGHTS_ON_NEW_E,0.6785050447128413,0.7328848377525881,7.419964261575377,-1.1555692883912203,15.900019149047287
C3,73102,NEW_vs_OLD_WEIGHTS_ON_OLD_E,0.49404777717348947,0.6447976806378013,23.379411556691338,23.379411556691355,23.820141137063068
