arm,LoRA_parameters,extra_trainable_parameters,unique_TRAIN_origins,distinct_TRAIN_days,occurrences_per_origin,context_slots,horizon_slots,input_rows
C0,1179648,0,64,64,8,336,48,12
C1,1179648,0,64,64,8,336,48,12
C2,1179648,0,64,64,8,336,48,12
C3,1179648,4,64,64,8,336,48,12
