id,unique_origins,each_occurrences,total_updates,contaminated_updates,clip_fraction
C0_73100_1e-04,64,8,512,0,0.119140625
C0_73100_3e-05,64,8,512,0,0.177734375
C1_73100_1e-04,64,8,512,0,0.115234375
C1_73100_3e-05,64,8,512,0,0.123046875
C2_73100_1e-04,64,8,512,0,0.125
C2_73100_3e-05,64,8,512,0,0.130859375
C3_73100_1e-04,64,8,512,0,0.125
C3_73100_3e-05,64,8,512,0,0.130859375
C0_73101_1e-04,64,8,512,0,0.126953125
C1_73101_3e-05,64,8,512,0,0.126953125
C2_73101_1e-04,64,8,512,0,0.103515625
C3_73101_1e-04,64,8,512,0,0.107421875
C0_73102_1e-04,64,8,512,0,0.142578125
C1_73102_3e-05,64,8,512,0,0.12890625
C2_73102_1e-04,64,8,512,0,0.123046875
C3_73102_1e-04,64,8,512,0,0.123046875
