source,path_index,seed,candidate,baseline,candidate_primary,baseline_primary,gain_percent,positive_months,ci_low,ci_high
SELECTED,0,-1,STD,INIT0,0.14947867266943127,0.14947867266943127,0.0,0,0.0,0.0
SELECTED,0,61710,STD,INIT0,0.14947867266943127,0.14947867266943127,0.0,0,0.0,0.0
SELECTED,0,61711,STD,INIT0,0.14947867266943127,0.14947867266943127,0.0,0,0.0,0.0
SELECTED,0,-1,EXODROP,STD,0.14947867266943127,0.14947867266943127,0.0,0,0.0,0.0
SELECTED,0,61710,EXODROP,STD,0.14947867266943127,0.14947867266943127,0.0,0,0.0,0.0
SELECTED,0,61711,EXODROP,STD,0.14947867266943127,0.14947867266943127,0.0,0,0.0,0.0
SELECTED,0,-1,VINTAGE,STD,0.142617769773132,0.14947867266943127,4.589887489482859,2,-1.066171921206791,10.77532277641786
SELECTED,0,61710,VINTAGE,STD,0.14184264473295763,0.14947867266943127,5.108439752713448,3,-0.41032338572835525,11.30120210850173
SELECTED,0,61711,VINTAGE,STD,0.14339289481330642,0.14947867266943127,4.071335226252252,2,-1.7220204566852086,10.249443444333995
SELECTED,0,-1,EXODROP,INIT0,0.14947867266943127,0.14947867266943127,0.0,0,0.0,0.0
SELECTED,0,61710,EXODROP,INIT0,0.14947867266943127,0.14947867266943127,0.0,0,0.0,0.0
SELECTED,0,61711,EXODROP,INIT0,0.14947867266943127,0.14947867266943127,0.0,0,0.0,0.0
SELECTED,0,-1,VINTAGE,INIT0,0.142617769773132,0.14947867266943127,4.589887489482859,2,-1.066171921206791,10.77532277641786
SELECTED,0,61710,VINTAGE,INIT0,0.14184264473295763,0.14947867266943127,5.108439752713448,3,-0.41032338572835525,11.30120210850173
SELECTED,0,61711,VINTAGE,INIT0,0.14339289481330642,0.14947867266943127,4.071335226252252,2,-1.7220204566852086,10.249443444333995
SELECTED,3,-1,STD,INIT0,0.17716063061242793,0.17716063061242793,0.0,0,0.0,0.0
SELECTED,3,61710,STD,INIT0,0.17716063061242793,0.17716063061242793,0.0,0,0.0,0.0
SELECTED,3,61711,STD,INIT0,0.17716063061242793,0.17716063061242793,0.0,0,0.0,0.0
SELECTED,3,-1,EXODROP,STD,0.17716063061242793,0.17716063061242793,0.0,0,0.0,0.0
SELECTED,3,61710,EXODROP,STD,0.17716063061242793,0.17716063061242793,0.0,0,0.0,0.0
SELECTED,3,61711,EXODROP,STD,0.17716063061242793,0.17716063061242793,0.0,0,0.0,0.0
SELECTED,3,-1,VINTAGE,STD,0.17824023902049524,0.17716063061242793,-0.6093952162707964,1,-7.212290722616841,7.525615326255135
SELECTED,3,61710,VINTAGE,STD,0.17812297522474474,0.17716063061242793,-0.5432045533988425,1,-6.768377844539618,7.460363152414936
SELECTED,3,61711,VINTAGE,STD,0.17835750281624574,0.17716063061242793,-0.6755858791427503,1,-7.656203600694082,7.590867500095318
SELECTED,3,-1,EXODROP,INIT0,0.17716063061242793,0.17716063061242793,0.0,0,0.0,0.0
SELECTED,3,61710,EXODROP,INIT0,0.17716063061242793,0.17716063061242793,0.0,0,0.0,0.0
SELECTED,3,61711,EXODROP,INIT0,0.17716063061242793,0.17716063061242793,0.0,0,0.0,0.0
SELECTED,3,-1,VINTAGE,INIT0,0.17824023902049524,0.17716063061242793,-0.6093952162707964,1,-7.212290722616841,7.525615326255135
SELECTED,3,61710,VINTAGE,INIT0,0.17812297522474474,0.17716063061242793,-0.5432045533988425,1,-6.768377844539618,7.460363152414936
