arm,seed,trainable_parameters,full_trajectory_seconds,optimizer_seconds,peak_allocated_MiB,peak_reserved_MiB,selected_updates,selected_checkpoint_elapsed_seconds
STD,61710,147456,22.614383126987377,12.416692206228618,588.4189453125,596.0,0,0.13724405798711814
EXODROP,61710,147456,22.582115315977717,12.239391288894694,588.4189453125,596.0,0,0.138454946980346
VINTAGE,61710,147456,22.47285323002143,12.313559695146978,588.4189453125,596.0,120,22.470326845010277
STD,61711,147456,22.673245988000417,12.353858730260981,588.4189453125,596.0,0,0.13794994697673246
EXODROP,61711,147456,22.788497317000292,12.388362188939936,588.4189453125,596.0,0,0.13979663600912318
VINTAGE,61711,147456,22.852923035999993,12.559711723122746,588.4189453125,596.0,120,22.84802474200842
