id,path_index,normalized_max_abs,old_primary,new_primary
D_0601,0,5.238360294124357e-07,0.13541750051209434,0.1354175281636358
D_0601,3,7.483371848749082e-07,0.09640252265209387,0.0964025156434855
D_0608,0,8.301024558489012e-07,0.13862928337351238,0.1386292279445635
D_0608,3,6.64081964679121e-07,0.2056063905109875,0.2056063725730437
D_0615,0,1.5743061176546169e-06,0.27485403410001485,0.2748540468576296
D_0615,3,1.7492290196162409e-06,0.22713915245949304,0.2271391109157376
D_0622,0,1.3190337582364643e-06,0.18909836831219443,0.1890983238310973
D_0622,3,9.892753186773481e-07,0.24248040118843947,0.242480422277195
D_0701,0,9.81428555914405e-07,0.10282181790198679,0.102821790672537
D_0701,3,5.88857133548643e-07,0.12556978815552916,0.1255697725201779
D_0708,0,6.975618930179531e-07,0.09431376888531147,0.0943137802386849
D_0708,3,5.580495144143625e-07,0.17801995390184022,0.178019963028967
D_0715,0,1.3279317812802076e-06,0.0983690209023344,0.0983690055052307
D_0715,3,1.3279317812802076e-06,0.13531903944718526,0.1353190191781475
D_0722,0,8.294291340491095e-07,0.14413285202184892,0.1441328575342338
D_0722,3,6.911909450409245e-07,0.15198644221758167,0.1519864258292249
D_0801,0,7.540852097198601e-07,0.21047175785429614,0.2104717366175958
D_0801,3,7.540852097198601e-07,0.21738465414280367,0.2173846827186806
D_0808,0,6.462132644485913e-07,0.13997181037915496,0.1399718447175687
D_0808,3,7.754559173383095e-07,0.22428135121372184,0.2242813698577438
D_0815,0,1.0735597130811232e-06,0.13131910054869805,0.1313190917018817
D_0815,3,9.393647489459828e-07,0.10813157945889591,0.1081315928724015
D_0822,0,6.910008567487813e-07,0.20629094434850845,0.2062909541383727
D_0822,3,8.292010280985375e-07,0.243520105179332,0.2435201480412651
D_0901,0,1.1425101855487317e-06,0.10039183835303613,0.1003918139245135
D_0901,3,7.140688659679573e-07,0.09612181018235794,0.0961218005625291
D_0908,0,9.500780799643815e-07,0.15348085988238222,0.1534808890501394
D_0908,3,8.143526399694699e-07,0.2622916586944582,0.2622916692303474
D_0915,0,1.4936552922201778e-06,0.15346850903908546,0.1534685409107702
D_0915,3,1.1949242337761423e-06,0.20897671163377163,0.2089767781529247
D_0922,0,1.438739048735372e-06,0.11862738998209545,0.1186273309024459
D_0922,3,1.1509912389882978e-06,0.11133844403119152,0.1113384463969752
