arm,seed,source,step,id,month,path_index,prediction,primary,raw_2pinball,raw_RMSE,raw_MAE,coverage80,width80
INIT0,-1,INIT0,0,D_0601,6,0,.cache/covariate_lora_controls_20260916/INIT0_D_0601_k0.npz,0.13541752816363586,56549.34487614707,121158.32068874112,77011.28138563369,0.7916666666666666,253115.64542643228
INIT0,-1,INIT0,0,D_0601,6,3,.cache/covariate_lora_controls_20260916/INIT0_D_0601_k3.npz,0.09640251564348555,40256.96804526031,79439.63172033367,58745.735297309024,0.875,246547.9324544271
INIT0,-1,INIT0,0,D_0608,6,0,.cache/covariate_lora_controls_20260916/INIT0_D_0608_k0.npz,0.13862922794456353,52188.297272742544,112647.19934395485,80147.96504720052,0.9583333333333334,319151.82755533856
INIT0,-1,INIT0,0,D_0608,6,3,.cache/covariate_lora_controls_20260916/INIT0_D_0608_k3.npz,0.20560637257304373,77402.48324331133,176360.29630746026,116168.32651095919,0.8333333333333334,290151.25797526044
INIT0,-1,INIT0,0,D_0615,6,0,.cache/covariate_lora_controls_20260916/INIT0_D_0615_k0.npz,0.27485404685762965,98205.4249955822,244025.07279634842,133686.58051215278,0.7916666666666666,310477.4766438802
INIT0,-1,INIT0,0,D_0615,6,3,.cache/covariate_lora_controls_20260916/INIT0_D_0615_k3.npz,0.22713911091573769,81156.86552780878,167956.79814665733,119146.13454861112,0.7083333333333334,294592.89111328125
INIT0,-1,INIT0,0,D_0622,6,0,.cache/covariate_lora_controls_20260916/INIT0_D_0622_k0.npz,0.18909832383109737,71680.62327833066,158536.60586091105,112439.90532769098,0.9166666666666666,356092.6956380208
INIT0,-1,INIT0,0,D_0622,6,3,.cache/covariate_lora_controls_20260916/INIT0_D_0622_k3.npz,0.24248042227719502,91915.92738361338,217804.04211591012,134251.60112847222,0.8333333333333334,357360.9384765625
INIT0,-1,INIT0,0,D_0701,7,0,.cache/covariate_lora_controls_20260916/INIT0_D_0701_k0.npz,0.10282179067253709,49109.753417400374,109250.75701565588,67254.00162760417,0.9583333333333334,333771.294921875
INIT0,-1,INIT0,0,D_0701,7,3,.cache/covariate_lora_controls_20260916/INIT0_D_0701_k3.npz,0.12556977252017792,59974.646665943284,136463.76926686132,91247.65223524305,0.8333333333333334,303331.916015625
INIT0,-1,INIT0,0,D_0708,7,0,.cache/covariate_lora_controls_20260916/INIT0_D_0708_k0.npz,0.09431378023868492,42251.52867378679,91663.82133258822,58407.6203342014,0.7916666666666666,169128.53450520834
INIT0,-1,INIT0,0,D_0708,7,3,.cache/covariate_lora_controls_20260916/INIT0_D_0708_k3.npz,0.17801996302896705,79750.97120897404,175470.25987972898,101926.705078125,0.75,195986.93229166666
INIT0,-1,INIT0,0,D_0715,7,0,.cache/covariate_lora_controls_20260916/INIT0_D_0715_k0.npz,0.09836900550523073,37038.42580316776,65319.615374605775,52105.782606336805,0.9583333333333334,289886.54833984375
INIT0,-1,INIT0,0,D_0715,7,3,.cache/covariate_lora_controls_20260916/INIT0_D_0715_k3.npz,0.1353190191781475,50951.0432259147,106757.62646920803,73301.25637478298,0.875,256639.4275716146
INIT0,-1,INIT0,0,D_0722,7,0,.cache/covariate_lora_controls_20260916/INIT0_D_0722_k0.npz,0.14413285753423383,65165.08687303654,146424.91872379155,90322.01356336806,0.7916666666666666,253811.18098958334
INIT0,-1,INIT0,0,D_0722,7,3,.cache/covariate_lora_controls_20260916/INIT0_D_0722_k3.npz,0.15198642582922495,68715.82796678656,134765.34148077274,103169.08365885417,0.7083333333333334,257108.60498046875
INIT0,-1,INIT0,0,D_0801,8,0,.cache/covariate_lora_controls_20260916/INIT0_D_0801_k0.npz,0.21047173661759586,104665.75953786376,217891.28435238427,132948.74576822916,0.625,153547.15006510416
INIT0,-1,INIT0,0,D_0801,8,3,.cache/covariate_lora_controls_20260916/INIT0_D_0801_k3.npz,0.21738468271868067,108103.5073606461,237321.60053542434,137335.85546875003,0.625,149527.09733072916
INIT0,-1,INIT0,0,D_0808,8,0,.cache/covariate_lora_controls_20260916/INIT0_D_0808_k0.npz,0.13997184471756877,67688.49214440725,131907.0169102864,93760.01128472223,0.625,192690.4853515625
INIT0,-1,INIT0,0,D_0808,8,3,.cache/covariate_lora_controls_20260916/INIT0_D_0808_k3.npz,0.2242813698577438,108459.4389134838,209353.0472163783,151073.21039496525,0.5833333333333334,259058.34700520834
INIT0,-1,INIT0,0,D_0815,8,0,.cache/covariate_lora_controls_20260916/INIT0_D_0815_k0.npz,0.13131909170188175,61160.590371352104,132063.21817974746,89381.30289713542,0.75,244236.35546875
INIT0,-1,INIT0,0,D_0815,8,3,.cache/covariate_lora_controls_20260916/INIT0_D_0815_k3.npz,0.1081315928724015,50361.23820353836,107940.60987303204,69040.96028645833,0.7083333333333334,248243.3028971354
INIT0,-1,INIT0,0,D_0822,8,0,.cache/covariate_lora_controls_20260916/INIT0_D_0822_k0.npz,0.20629095413837278,93293.55027367003,196275.17195356442,130009.36349826388,0.6666666666666666,267189.7998046875
INIT0,-1,INIT0,0,D_0822,8,3,.cache/covariate_lora_controls_20260916/INIT0_D_0822_k3.npz,0.24352014804126512,110130.17642402448,244113.0562866368,145927.81119791666,0.6666666666666666,233333.8155924479
INIT0,-1,INIT0,0,D_0901,9,0,.cache/covariate_lora_controls_20260916/INIT0_D_0901_k0.npz,0.10039181392451355,43934.756641270884,100153.00942484953,58365.8840467665,0.8333333333333334,222962.87272135416
INIT0,-1,INIT0,0,D_0901,9,3,.cache/covariate_lora_controls_20260916/INIT0_D_0901_k3.npz,0.09612180056252914,42066.0584817295,93601.02996250942,56415.728841145836,0.875,229502.74186197916
INIT0,-1,INIT0,0,D_0908,9,0,.cache/covariate_lora_controls_20260916/INIT0_D_0908_k0.npz,0.15348088905013949,70676.17954300492,156358.48526701867,102188.4438205295,0.6666666666666666,224804.08256022134
