model,count,amplitude,seed,mae
chronos-bolt-small,0,0,-1,0.3132663380887361
chronos-bolt-small,1,1,0,0.34458857545484806
chronos-bolt-small,1,1,1,0.33721214088234136
chronos-bolt-small,1,1,2,0.30952952631139213
chronos-bolt-small,1,1,3,0.33762909172889793
chronos-bolt-small,1,1,4,0.31567491152179444
chronos-bolt-small,1,1,5,0.3363857160214802
chronos-bolt-small,1,1,6,0.36039551863302494
chronos-bolt-small,1,1,7,0.3170743638542017
chronos-bolt-small,1,10,0,0.32126905062557215
chronos-bolt-small,1,10,1,0.31463802091400156
chronos-bolt-small,1,10,2,0.3137716314880645
chronos-bolt-small,1,10,3,0.30962320589548925
chronos-bolt-small,1,10,4,0.3249794445358684
chronos-bolt-small,1,10,5,0.3210752107910348
chronos-bolt-small,1,10,6,0.37847670799908245
chronos-bolt-small,1,10,7,0.33265215016524324
chronos-bolt-small,1,100,0,0.3707375143779909
chronos-bolt-small,1,100,1,0.4158859001248611
chronos-bolt-small,1,100,2,0.352637202136405
chronos-bolt-small,1,100,3,0.5693787566627844
chronos-bolt-small,1,100,4,0.37421475491225736
chronos-bolt-small,1,100,5,0.6534960861093833
chronos-bolt-small,1,100,6,0.5034480613898021
chronos-bolt-small,1,100,7,0.3873059225510342
chronos-bolt-small,16,1,0,0.3399326319116635
chronos-bolt-small,16,1,1,0.3533025841237513
chronos-bolt-small,16,1,2,0.3262280782577118
chronos-bolt-small,16,1,3,0.3739415842932185
chronos-bolt-small,16,1,4,0.346645892196987
chronos-bolt-small,16,1,5,0.40135384529219026
chronos-bolt-small,16,1,6,0.33241716458667087
chronos-bolt-small,16,1,7,0.3480448160911446
chronos-bolt-small,16,10,0,0.39245739339379043
chronos-bolt-small,16,10,1,0.7621294527556284
chronos-bolt-small,16,10,2,0.4178766243141768
chronos-bolt-small,16,10,3,0.4517223678188866
chronos-bolt-small,16,10,4,0.444434870920314
chronos-bolt-small,16,10,5,0.42071616668590706
chronos-bolt-small,16,10,6,0.45327526722439926
chronos-bolt-small,16,10,7,0.5432108941962478
chronos-bolt-small,16,100,0,0.5562524265660759
chronos-bolt-small,16,100,1,0.5398310952219619
chronos-bolt-small,16,100,2,0.4596123852569767
chronos-bolt-small,16,100,3,0.5098428330349208
chronos-bolt-small,16,100,4,0.46749974684096707
chronos-bolt-small,16,100,5,0.5643234953880699
chronos-bolt-small,16,100,6,0.49496286929288835
chronos-bolt-small,16,100,7,0.5488479252341686
chronos-t5-small,0,0,-1,0.004384996367987903
chronos-t5-small,1,1,0,0.004351747324784605
chronos-t5-small,1,1,1,0.004796779929045859
chronos-t5-small,1,1,2,0.004659760475040971
chronos-t5-small,1,1,3,0.004518845017395301
chronos-t5-small,1,1,4,0.004351304432501254
chronos-t5-small,1,1,5,0.004819913658709086
chronos-t5-small,1,1,6,0.00510309393285369
chronos-t5-small,1,1,7,0.00480292494790064
chronos-t5-small,1,10,0,0.0043200715270973016
chronos-t5-small,1,10,1,0.005085541884235552
chronos-t5-small,1,10,2,0.0044703592545825635
chronos-t5-small,1,10,3,0.004190688631073504
chronos-t5-small,1,10,4,0.004448095722803566
chronos-t5-small,1,10,5,0.004476106700153859
chronos-t5-small,1,10,6,0.0046226491303506916
chronos-t5-small,1,10,7,0.003874199212615479
chronos-t5-small,1,100,0,0.005706735763512372
chronos-t5-small,1,100,1,0.005398369011580924
chronos-t5-small,1,100,2,0.004578173288671227
chronos-t5-small,1,100,3,0.03431751293885736
chronos-t5-small,1,100,4,0.004834633259865731
chronos-t5-small,1,100,5,0.020574159215017974
chronos-t5-small,1,100,6,0.006738026328664094
chronos-t5-small,1,100,7,0.005084049782848949
chronos-t5-small,16,1,0,0.05133850398831354
chronos-t5-small,16,1,1,0.11208743752573144
chronos-t5-small,16,1,2,0.004316767221929967
chronos-t5-small,16,1,3,0.0055145735206207115
chronos-t5-small,16,1,4,0.11839658895261773
chronos-t5-small,16,1,5,0.011965382899568344
chronos-t5-small,16,1,6,0.012978279992809805
chronos-t5-small,16,1,7,0.00837785608422061
chronos-t5-small,16,10,0,0.019953458261504697
chronos-t5-small,16,10,1,0.11646094413909103
chronos-t5-small,16,10,2,0.01629716179695548
chronos-t5-small,16,10,3,0.0349852521982275
chronos-t5-small,16,10,4,0.032139078027164494
chronos-t5-small,16,10,5,0.03507916111323266
chronos-t5-small,16,10,6,0.022023808553628444
chronos-t5-small,16,10,7,0.006109931232873999
chronos-t5-small,16,100,0,0.23992762363138626
chronos-t5-small,16,100,1,0.24521235461075358
chronos-t5-small,16,100,2,0.3170279839463301
chronos-t5-small,16,100,3,0.18574065189808855
chronos-t5-small,16,100,4,0.13913675618038995
chronos-t5-small,16,100,5,0.2692129971322838
chronos-t5-small,16,100,6,0.2545255505710289
chronos-t5-small,16,100,7,0.08972923647467995
