source,panel,new,baseline,new_nmae,baseline_nmae,gain_pct,ci_low_pct,ci_high_pct,paired_difference,origins,time_blocks,bootstrap_draws
electricity,FAULT,A5,A4,0.17507044786832093,0.17515304977555785,0.04715984525690553,-0.3057767848486975,0.4798079470171705,-8.260190723688432e-05,128,32,2000
electricity,FAULT,A5,A2,0.17507044786832093,0.1750842858654064,0.007903620257554422,-0.3317117326223201,0.42439077104690576,-1.383799708545581e-05,128,32,2000
electricity,FAULT,A5,A3,0.17507044786832093,0.19756946964422406,11.387904121228122,5.049476475528554,17.03950552794828,-0.022499021775903134,128,32,2000
electricity,FAULT,A5,A1,0.17507044786832093,0.17189819259985423,-1.845426772956893,-7.259899547584073,1.8714075418806975,0.0031722552684667208,128,32,2000
electricity,FAULT,A1,A0,0.17189819259985423,0.17407819627760804,1.2523128825836949,0.7576163645595252,1.8432682167095413,-0.0021800036777538225,128,32,2000
electricity,FAULT,A2,A1,0.1750842858654064,0.17189819259985423,-1.8534768849890026,-7.441432871474958,2.1331195917824766,0.0031860932655521767,128,32,2000
electricity,FAULT,A3,A1,0.19756946964422406,0.17189819259985423,-14.934000559347126,-20.596371718039794,-10.462972280540306,0.025671277044369854,128,32,2000
electricity,REFERENCE,A5,A4,0.17126301999742422,0.1712634514689202,0.0002519343691109732,-0.31584065254906757,0.4153689651950033,-4.314714959867405e-07,128,32,2000
electricity,REFERENCE,A5,A2,0.17126301999742422,0.1712116966679343,-0.029976532263131794,-0.3544816294555897,0.3805897809182548,5.132332948989981e-05,128,32,2000
electricity,REFERENCE,A5,A3,0.17126301999742422,0.18558607655197457,7.717743065999394,1.6156801933006115,13.072593515250743,-0.014323056554550337,128,32,2000
electricity,REFERENCE,A5,A1,0.17126301999742422,0.1662006482567659,-3.0459398286084793,-8.797761494956479,0.8313007279365838,0.005062371740658346,128,32,2000
electricity,REFERENCE,A1,A0,0.1662006482567659,0.16703894642148442,0.5018579095938946,0.10386943079988636,1.063732843029257,-0.0008382981647185677,128,32,2000
electricity,REFERENCE,A2,A1,0.1712116966679343,0.1662006482567659,-3.015059486065752,-9.05237809787599,1.1280654386989912,0.005011048411168445,128,32,2000
electricity,REFERENCE,A3,A1,0.18558607655197457,0.1662006482567659,-11.66387044727999,-16.656638241892413,-7.64199278134958,0.019385428295208687,128,32,2000
electricity,SHIFT,A5,A4,0.4417432198176095,0.4588978543504656,3.738225047301025,3.3244876356717645,4.218220387803702,-0.0171546345328561,128,32,2000
electricity,SHIFT,A5,A2,0.4417432198176095,0.458556412956166,3.6665484689587524,3.2473931555819266,4.1436971995039995,-0.016813193138556504,128,32,2000
electricity,SHIFT,A5,A3,0.4417432198176095,0.24382912801919643,-81.16917507199202,-95.40173669787437,-67.96175322244996,0.19791409179841313,128,32,2000
electricity,SHIFT,A5,A1,0.4417432198176095,0.21679648304351687,-103.7594031121528,-119.8514647274933,-88.63225299278497,0.22494673677409266,128,32,2000
electricity,SHIFT,A1,A0,0.21679648304351687,0.21562879960377146,-0.5415248064688516,-0.800396102274149,-0.2998550796193881,0.0011676834397454203,128,32,2000
electricity,SHIFT,A2,A1,0.458556412956166,0.21679648304351687,-111.51469180619569,-128.2683422193006,-95.57841855529384,0.24175992991264914,128,32,2000
electricity,SHIFT,A3,A1,0.24382912801919643,0.21679648304351687,-12.469134460199417,-16.22391893961683,-9.14672525057884,0.027032644975679518,128,32,2000
electricity,SHIFT_POINT,A5,A4,0.1959394021343567,0.1971230172875091,0.600444924920196,-0.09411684250146601,1.6205251106217509,-0.0011836151531523966,128,32,2000
electricity,SHIFT_POINT,A5,A2,0.1959394021343567,0.1971712106917973,0.6247405760296587,-0.07661098713531322,1.671641743516833,-0.0012318085574406056,128,32,2000
electricity,SHIFT_POINT,A5,A3,0.1959394021343567,0.2218563872289096,11.681874665980185,8.650618160898839,14.728842483574576,-0.025916985094552904,128,32,2000
electricity,SHIFT_POINT,A5,A1,0.1959394021343567,0.19579281075362215,-0.07487066566453926,-2.280902920819648,1.9569044684549712,0.00014659138073457403,128,32,2000
electricity,SHIFT_POINT,A1,A0,0.19579281075362215,0.19489981632369027,-0.4581812578257072,-0.9044204528104016,0.034943277060696436,0.0008929944299318689,128,32,2000
electricity,SHIFT_POINT,A2,A1,0.1971712106917973,0.19579281075362215,-0.7040094745407455,-3.2588707206349032,1.790033925360645,0.0013783999381751799,128,32,2000
electricity,SHIFT_POINT,A3,A1,0.2218563872289096,0.19579281075362215,-13.311814859272243,-16.969232201295874,-9.678136004371341,0.026063576475287474,128,32,2000
electricity,HISTORY_SUBSET,A5,A4,0.2927952469761543,0.2954094773021577,0.884951407069956,-0.3965416577910502,2.8739829551083225,-0.002614230326003503,50,25,2000
